### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Schistosoma	ATT	I	S	0.0	0.243243177925	0.111111111111	0.0222222222222	0.288888888889	0.441176470588	0.00980392156863	1325.0	-1.48116438356	5.0	0.0	0.0
Versteria_mustelae	ATA	I	S	0.0	0.260869482657	0.0909090909091	0.0161290322581	0.338709677419	0.574074074074	0.00925925925926	1328.0	-1.55978485726	4.0	0.0	0.212
Haplorchis_taichui	ATT	I	S	0.0	0.831744809944	0.111111111111	0.0322580645161	0.354838709677	0.430555555556	0.0416666666667	1320.0	-1.53846153846	5.0	0.0	0.001
Haplorchis_taichui	ATA	I	S	0.0	0.831744809944	0.222222222222	0.0571428571429	0.457142857143	0.486111111111	0.0416666666667	1320.0	-1.54292002935	4.0	0.0	0.035
Halocynthia	ATT	I	S	1.0	0.622641379149	0.1	0.0178571428571	0.696428571429	0.629213483146	0.0112359550562	1348.0	-1.69541284404	5.0	0.0	0.0
Echinococcus_equinus	ATC	I	S	0.0	0.0119047577946	0.333333333333	0.333333333333	0.0	0.0375	0.0125	1331.0	0.0854700854701	7.0	0.0	0.012
Taenia_crassiceps	ATA	I	S	0.0	0.738095238095	0.1	0.0196078431373	0.411764705882	0.520408163265	0.0102040816327	1333.0	-1.5567839196	4.0	0.0	0.248
Tetrancistrum_nebulosi	ATA	I	S	0.0	0.729729636418	0.0909090909091	0.0181818181818	0.345454545455	0.572916666667	0.0104166666667	1333.0	-1.66247086247	4.0	0.0	0.254
Trichinella	ATT	I	S	0.0	0.366666633027	0.0909090909091	0.0243902439024	0.439024390244	0.299270072993	0.014598540146	1343.0	-1.78799249531	5.0	0.0	0.0
Trichinella	ATA	I	S	0.0	0.366666633027	0.0909090909091	0.0178571428571	0.125	0.408759124088	0.014598540146	1343.0	-1.49838932352	4.0	0.0	0.197
Pseudogarypus_banksi	ATT	I	S	0.0	0.649999879161	0.0833333333333	0.0106382978723	0.436170212766	0.559523809524	0.00595238095238	1347.0	-1.80784955029	5.0	0.0	0.0
Benedenia_hoshinai	ATA	I	S	0.0	0.2375	0.1	0.0204081632653	0.367346938776	0.418803418803	0.00854700854701	1333.0	-1.67171981181	4.0	0.0	0.249
Ciona	ATT	I	S	0.0	0.550847302555	0.0909090909091	0.0117647058824	0.611764705882	0.607142857143	0.00714285714286	1348.0	-1.82882069795	5.0	0.0	0.0
Caenorhabditis	ATT	I	S	0.0	0.569767293321	0.0833333333333	0.0131578947368	0.473684210526	0.638655462185	0.00840336134454	1346.0	-1.76373441186	5.0	0.0	0.0
