### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Metaseiulus_occidentalis	AAA	K	Q	0.0	0.620689655172	0.125	0.0357142857143	0.75	0.756756756757	0.027027027027	1280.0	0.739288969918	0.0	0.0	0.21
Aphrocallistes_vastus	AAA	K	Q	0.0	0.0468691645884	0.125	0.030303030303	0.848484848485	1.0	0.030303030303	1349.0	0.790285273709	0.0	0.0	0.273
Fasciola	AAG	K	Q	0.0	0.0769230769231	0.125	0.0357142857143	0.821428571429	0.848484848485	0.0606060606061	1332.0	0.864791288566	2.0	0.0	0.0
Fasciola	AAA	K	Q	0.0	0.0769230769231	0.25	0.2	0.2	0.151515151515	0.0606060606061	1332.0	0.850515463918	0.0	0.0	0.4
Trichobilharzia_regenti	AAG	K	Q	0.0	0.08	0.142857142857	0.0384615384615	0.846153846154	0.722222222222	0.0555555555556	1324.0	0.9443359375	2.0	0.0	0.0
Trichobilharzia_regenti	AAA	K	Q	0.0	0.08	0.2	0.1	0.1	0.277777777778	0.0555555555556	1324.0	0.615384615385	0.0	0.0	0.385
Euseius_nicholsi	AAA	K	Q	1.0	0.571428571429	0.125	0.0357142857143	0.821428571429	0.8	0.0285714285714	1296.0	0.635869565217	0.0	0.0	0.21
Daphnia	AAG	K	Q	2.0	0.671875	0.125	0.047619047619	0.952380952381	0.65625	0.03125	1351.0	0.976997578692	2.0	0.0	0.0
Haplorchis_taichui	AAG	K	Q	0.0	0.0740740740741	0.125	0.0344827586207	0.827586206897	0.674418604651	0.046511627907	1320.0	0.84750219106	2.0	0.0	0.0
Haplorchis_taichui	AAA	K	Q	0.0	0.0740740740741	0.2	0.0714285714286	0.0714285714286	0.325581395349	0.046511627907	1320.0	0.442413162706	0.0	0.0	0.385
Lumbricus	AAG	K	Q	0.0	0.166666666667	0.166666666667	0.1	0.9	0.333333333333	0.0333333333333	1350.0	0.918987341772	2.0	0.0	0.0
Echinococcus_equinus	AAG	K	Q	0.0	0.0373558151566	0.125	0.037037037037	0.814814814815	0.931034482759	0.0344827586207	1331.0	0.857815442561	2.0	0.0	0.0
Axinella	AAA	K	Q	1.0	0.551724137931	0.125	0.0357142857143	0.892857142857	0.848484848485	0.030303030303	1348.0	0.910828025478	0.0	0.0	0.21
Geodia	AAA	K	Q	1.0	0.6	0.142857142857	0.037037037037	0.851851851852	0.794117647059	0.0294117647059	1350.0	0.925471698113	0.0	0.0	0.181
Tetrancistrum_nebulosi	AAA	K	Q	0.0	0.0014245014245	0.333333333333	0.166666666667	0.0	0.285714285714	0.047619047619	1333.0	0.455128205128	0.0	0.0	0.461
Strigamia_maritima	AAA	K	Q	0.0	0.68	0.142857142857	0.0588235294118	0.882352941176	0.653846153846	0.0384615384615	1351.0	0.797888386124	0.0	0.0	0.181
Caenorhabditis	AAA	K	Q	0.0	0.6	0.1	0.0333333333333	0.633333333333	0.833333333333	0.0277777777778	1346.0	0.628595600677	0.0	0.0	0.21
