### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Metaseiulus_occidentalis	TTT	F	C	0.0	0.62	0.1	0.00961538461538	0.721153846154	0.77037037037	0.00740740740741	1280.0	-1.57627952756	21.0	0.0	0.0
Schistosoma	TTC	F	C	0.0	0.0373134328358	0.25	0.125	0.5	0.0695652173913	0.00869565217391	1325.0	-0.993630573248	23.0	0.0	0.0
Fasciola	TTT	F	C	0.0	0.514285714286	0.0909090909091	0.00769230769231	0.515384615385	0.970149253731	0.00746268656716	1332.0	-1.72288919504	21.0	0.0	0.0
Trichobilharzia_regenti	TTT	F	C	0.0	0.521739130435	0.0833333333333	0.00862068965517	0.560344827586	0.95867768595	0.00826446280992	1324.0	-1.70794701987	21.0	0.0	0.0
Versteria_mustelae	TTT	F	C	0.0	0.514285714286	0.0909090909091	0.00819672131148	0.549180327869	0.968253968254	0.00793650793651	1328.0	-1.69434517553	21.0	0.0	0.0
Haplorchis_taichui	TTT	F	C	0.0	0.553846153846	0.0909090909091	0.00970873786408	0.553398058252	0.887931034483	0.00862068965517	1320.0	-1.68194271482	21.0	0.0	0.0
Lumbricus	TTT	F	C	0.0	0.660714285714	0.0833333333333	0.0117647058824	0.882352941176	0.674603174603	0.00793650793651	1350.0	-1.67209653092	21.0	0.0	0.0
Echinococcus_equinus	TTT	F	C	0.0	0.0269642484299	0.0833333333333	0.00751879699248	0.541353383459	0.985185185185	0.00740740740741	1331.0	-1.6968003084	21.0	0.0	0.0
Taenia_crassiceps	TTT	F	C	0.0	0.520833333333	0.0833333333333	0.00757575757576	0.515151515152	0.95652173913	0.00724637681159	1333.0	-1.67604813665	21.0	0.0	0.0
Suberites_domuncula	TTT	F	C	0.0	0.569444444444	0.0909090909091	0.00854700854701	0.786324786325	0.87969924812	0.00751879699248	1351.0	-1.69997803646	21.0	0.0	0.0
Tetrancistrum_nebulosi	TTT	F	C	0.0	0.56338028169	0.0833333333333	0.00925925925926	0.564814814815	0.870967741935	0.00806451612903	1333.0	-1.68887834954	21.0	0.0	0.0
Benedenia_hoshinai	TTC	F	C	0.0	0.05	0.2	0.1	0.6	0.0833333333333	0.00833333333333	1333.0	-1.13231552163	23.0	0.0	0.0
Ciona	TTT	F	C	0.0	0.625	0.0909090909091	0.0168067226891	0.747899159664	0.856115107914	0.0143884892086	1348.0	-1.58935115327	21.0	0.0	0.0
Caenorhabditis	TTT	F	C	0.0	0.550505050505	0.0833333333333	0.00714285714286	0.628571428571	0.903225806452	0.00645161290323	1346.0	-1.66447127698	21.0	0.0	0.0
Ascidiella_aspersa	TTC	F	C	0.0	0.119047619048	0.142857142857	0.03125	0.75	0.235294117647	0.00735294117647	1350.0	-1.50837988827	23.0	0.0	0.0
