### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Caenorhabditis	TAT	Y	W	0.0	0.645712114633	0.363636363636	0.0571428571429	0.6	0.864197530864	0.0493827160494	1865.0	1.11169916435	17.0	0.0
Schistosoma	TAT	Y	W	0.0	0.674838112858	0.333333333333	0.09	0.36	0.961538461538	0.0865384615385	1800.0	0.558225150165	17.0	0.0
Fasciola	TAT	Y	W	0.0	0.681705997495	0.272727272727	0.05	0.3875	0.869565217391	0.0434782608696	1825.0	0.0779693951907	17.0	0.0
Dunaliella_salina	TAT	Y	W	0.0	0.418131359852	0.142857142857	0.0227272727273	0.659090909091	0.709677419355	0.0483870967742	1392.0	1.2149822695	17.0	0.0
Dunaliella_salina	TAC	Y	W	0.0	0.418131359852	0.5	0.111111111111	0.833333333333	0.290322580645	0.0483870967742	1392.0	2.18822292324	19.0	0.0
Pseudendoclonium_akinetum	TAT	Y	W	1.0	0.830728664223	0.181818181818	0.0566037735849	0.867924528302	0.654320987654	0.0617283950617	1930.0	1.90110701107	17.0	0.0
Pseudendoclonium_akinetum	TAC	Y	W	1.0	0.830728664223	0.222222222222	0.0714285714286	0.785714285714	0.345679012346	0.0617283950617	1930.0	1.6955922865	19.0	0.0
Lumbricus	TAC	Y	W	0.0	0.0449875419115	0.181818181818	0.0882352941176	0.705882352941	0.478873239437	0.0422535211268	1920.0	1.72869565217	19.0	0.0
Halocynthia	TAT	Y	W	0.0	0.557647058824	0.181818181818	0.027397260274	0.630136986301	0.935897435897	0.025641025641	1893.0	0.84829968119	17.0	0.0
Limulus	TAT	Y	W	0.0	0.420825771325	0.222222222222	0.063829787234	0.723404255319	0.661971830986	0.0422535211268	1919.0	1.5896346644	17.0	0.0
Bracteacoccus_aerius	TAT	Y	W	0.0	0.658333333333	0.1	0.02	0.8	0.684931506849	0.013698630137	1789.0	1.55520751762	17.0	0.0
Pycnococcus_provasolii	TAT	Y	W	0.0	0.648648648649	0.0909090909091	0.0181818181818	0.927272727273	0.696202531646	0.0126582278481	1930.0	1.52818149592	17.0	0.0
Axinella	TAT	Y	W	0.0	0.560810810811	0.0909090909091	0.0138888888889	0.888888888889	0.867469879518	0.0120481927711	1924.0	1.47344173442	17.0	0.0
Prototheca_wickerhamii	TAC	Y	W	0.0	0.0632911392405	0.166666666667	0.1	0.9	0.119047619048	0.0119047619048	1924.0	2.37992125984	19.0	0.0
Terebratulina	TAC	Y	W	0.0	0.163602644735	0.25	0.0697674418605	0.697674418605	0.632352941176	0.0441176470588	1915.0	1.61315547378	19.0	0.0
Bfloridae	TAT	Y	W	0.0	0.763157894737	0.25	0.0625	0.78125	0.615384615385	0.0384615384615	1192.0	1.52506112469	17.0	0.0
Katharina	TAT	Y	W	0.0	0.363997113997	0.272727272727	0.0612244897959	0.775510204082	0.671232876712	0.041095890411	1917.0	1.52030254777	17.0	0.0
Geodia	TAT	Y	W	0.0	0.590707145502	0.181818181818	0.0266666666667	0.866666666667	0.903614457831	0.0240963855422	1925.0	1.65783320343	17.0	0.0
Metridium	TAT	Y	W	0.0	0.654929577465	0.0909090909091	0.0181818181818	0.872727272727	0.696202531646	0.0126582278481	1928.0	1.66167557932	17.0	0.0
Acropora	TAT	Y	W	0.0	0.534722222222	0.0909090909091	0.0133333333333	0.88	0.9375	0.0125	1926.0	1.55546875	17.0	0.0
Trichinella	TAT	Y	W	0.0	0.796484736355	0.111111111111	0.0263157894737	0.552631578947	0.481012658228	0.0379746835443	1883.0	0.638276038994	17.0	0.0
Trichinella	TAC	Y	W	0.0	0.796484736355	0.25	0.0487804878049	0.560975609756	0.518987341772	0.0379746835443	1883.0	0.745681381958	19.0	0.0
Bracteacoccus_minor	TAC	Y	W	0.0	0.112653061224	0.222222222222	0.0645161290323	0.709677419355	0.449275362319	0.0289855072464	1686.0	1.67308887508	19.0	0.0
Chromochloris_zofingiensis	TAT	Y	W	1.0	0.203790395651	0.2	0.031746031746	0.571428571429	0.9	0.0428571428571	1522.0	0.97113594041	17.0	0.0
Chromochloris_zofingiensis	TAC	Y	W	1.0	0.203790395651	0.2	0.142857142857	0.714285714286	0.1	0.0428571428571	1522.0	2.15449438202	19.0	0.0
Balanoglossus	TAT	Y	W	0.0	0.15	0.111111111111	0.047619047619	0.809523809524	0.304347826087	0.0144927536232	1926.0	1.27121771218	17.0	0.0
Drosophila	TAT	Y	W	0.0	0.08357685564	0.2	0.0322580645161	0.758064516129	0.815789473684	0.0526315789474	1919.0	1.41429475016	17.0	0.0
Drosophila	TAC	Y	W	0.0	0.08357685564	0.285714285714	0.142857142857	0.642857142857	0.184210526316	0.0526315789474	1919.0	1.60821917808	19.0	0.0
Ciona	TAT	Y	W	0.0	0.656748911466	0.181818181818	0.0327868852459	0.688524590164	0.782051282051	0.025641025641	1891.0	1.19892302819	17.0	0.0
Epigonichthys	TAT	Y	W	0.0	0.0520574855252	0.0833333333333	0.0188679245283	0.811320754717	0.6625	0.05	1918.0	1.34924158343	17.0	0.0
Epigonichthys	TAC	Y	W	0.0	0.0520574855252	0.181818181818	0.111111111111	0.666666666667	0.3375	0.05	1918.0	1.82066420664	19.0	0.0
Daphnia	TAT	Y	W	0.0	0.157894736842	0.125	0.0454545454545	0.772727272727	0.323529411765	0.0147058823529	1916.0	1.85429864253	17.0	0.0
Homo	TAC	Y	W	0.0	0.655737704918	0.1	0.0204081632653	0.836734693878	0.636363636364	0.012987012987	1920.0	1.6156626506	19.0	0.0
Blanceolatum	TAT	Y	W	0.0	0.747638326586	0.125	0.037037037037	0.777777777778	0.519230769231	0.0384615384615	1187.0	1.31976744186	17.0	0.0
Blanceolatum	TAC	Y	W	0.0	0.747638326586	0.142857142857	0.04	0.64	0.480769230769	0.0384615384615	1187.0	1.18974751339	19.0	0.0
Saccoglossus	TAT	Y	W	0.0	0.713114754098	0.1	0.0243902439024	0.829268292683	0.611940298507	0.0149253731343	1924.0	1.7063003316	17.0	0.0

### Alignment improvement:
