### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Caenorhabditis	AAA	K	P	0.0	0.654017094017	0.166666666667	0.063829787234	0.446808510638	0.88679245283	0.0566037735849	1865.0	-0.961391599491	0.0	0.0
Schistosoma	AAG	K	P	0.0	0.0291304347826	0.1	0.0588235294118	0.588235294118	0.607142857143	0.0714285714286	1800.0	-0.89449003517	2.0	0.0
Schistosoma	AAA	K	P	0.0	0.0291304347826	0.181818181818	0.0909090909091	0.0454545454545	0.392857142857	0.0714285714286	1800.0	-1.14708442124	0.0	0.0
Fasciola	AAG	K	P	0.0	0.125	0.222222222222	0.0625	0.625	0.744186046512	0.0697674418605	1825.0	-0.991859737007	2.0	0.0
Fasciola	AAA	K	P	0.0	0.125	0.125	0.0909090909091	0.0909090909091	0.255813953488	0.0697674418605	1825.0	-0.762773722628	0.0	0.0
Dunaliella_salina	AAA	K	P	0.0	0.66	0.166666666667	0.047619047619	0.761904761905	0.677419354839	0.0322580645161	1392.0	-0.772507260407	0.0	0.0
Patiria	AAA	K	P	0.0	0.0172413793103	0.1	0.03125	0.0	0.524590163934	0.016393442623	1926.0	-1.66849482023	0.0	0.0
Lumbricus	AAA	K	P	0.0	0.642857142857	0.125	0.0344827586207	0.655172413793	0.707317073171	0.0243902439024	1920.0	-1.13544474394	0.0	0.0
Halocynthia	AAG	K	P	0.0	0.777884615385	0.222222222222	0.0769230769231	0.5	0.604651162791	0.0697674418605	1893.0	-1.16988130564	2.0	0.0
Halocynthia	AAA	K	P	0.0	0.777884615385	0.125	0.0588235294118	0.588235294118	0.395348837209	0.0697674418605	1893.0	-0.881861575179	0.0	0.0
Limulus	AAA	K	P	0.0	0.66	0.111111111111	0.04	0.64	0.694444444444	0.0277777777778	1919.0	-1.22807017544	0.0	0.0
Terebratulina	AAG	K	P	0.0	0.12962962963	0.25	0.111111111111	0.666666666667	0.230769230769	0.025641025641	1915.0	-0.590707964602	2.0	0.0
Katharina	AAG	K	P	0.0	0.0433467741935	0.4	0.25	0.5	0.166666666667	0.0625	1917.0	0.273399014778	2.0	0.0
Katharina	AAA	K	P	0.0	0.0433467741935	0.111111111111	0.025	0.625	0.833333333333	0.0625	1917.0	-1.20478325859	0.0	0.0
Trichinella	AAA	K	P	0.0	0.330769230769	0.25	0.0869565217391	0.565217391304	0.53488372093	0.046511627907	1883.0	-0.789473684211	0.0	0.0
Bracteacoccus_minor	AAG	K	P	0.0	0.08	0.25	0.0625	0.0625	0.258064516129	0.0322580645161	1686.0	-1.21728691477	2.0	0.0
Bracteacoccus_minor	AAA	K	P	0.0	0.08	0.1	0.0217391304348	0.478260869565	0.741935483871	0.0322580645161	1686.0	-1.36632825719	0.0	0.0
Chromochloris_zofingiensis	AAA	K	P	0.0	0.589285714286	0.2	0.0961538461538	0.423076923077	0.866666666667	0.0833333333333	1522.0	-0.901633259094	0.0	0.0
Drosophila	AAA	K	P	0.0	0.551724137931	0.111111111111	0.0285714285714	0.714285714286	0.921052631579	0.0263157894737	1919.0	-1.07428571429	0.0	0.0
Myxine	AAA	K	P	0.0	0.516129032258	0.1	0.0243902439024	0.707317073171	0.931818181818	0.0227272727273	1919.0	-1.08949416342	0.0	0.0
Ciona	AAG	K	P	0.0	0.0727969348659	0.166666666667	0.142857142857	0.357142857143	0.254545454545	0.0545454545455	1891.0	-0.660247592847	2.0	0.0
Ciona	AAA	K	P	0.0	0.0727969348659	0.0833333333333	0.0243902439024	0.512195121951	0.745454545455	0.0545454545455	1891.0	-1.19776482021	0.0	0.0
Daphnia	AAA	K	P	0.0	0.172413793103	0.111111111111	0.0714285714286	0.642857142857	0.368421052632	0.0263157894737	1916.0	-0.840974212034	0.0	0.0

### Alignment improvement:
