### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Schistosoma	TAT	Y	G	0.0	0.623188405797	0.454545454545	0.075	0.475	0.952380952381	0.0714285714286	1325.0	-2.36752956216	17.0	0.0	0.0
Fasciola	TAT	Y	G	0.0	0.627627627628	0.181818181818	0.0338983050847	0.508474576271	0.867647058824	0.0294117647059	1332.0	-2.63041594454	17.0	0.0	0.0
Trichobilharzia_regenti	TAT	Y	G	0.0	0.0113360323887	0.0909090909091	0.0133333333333	0.466666666667	0.925925925926	0.037037037037	1324.0	-2.76084728391	17.0	0.0	0.0
Trichobilharzia_regenti	TAC	Y	G	0.0	0.0113360323887	0.5	0.333333333333	0.333333333333	0.0740740740741	0.037037037037	1324.0	-0.864406779661	19.0	0.0	0.018
Versteria_mustelae	TAT	Y	G	0.0	0.595489781536	0.272727272727	0.0422535211268	0.549295774648	0.959459459459	0.0405405405405	1328.0	-2.59877653832	17.0	0.0	0.0
Haplorchis_taichui	TAT	Y	G	0.0	0.0292701608491	0.0909090909091	0.0175438596491	0.561403508772	0.826086956522	0.0434782608696	1320.0	-2.74082363474	17.0	0.0	0.0
Haplorchis_taichui	TAC	Y	G	0.0	0.0292701608491	0.333333333333	0.166666666667	0.333333333333	0.173913043478	0.0434782608696	1320.0	-2.03418803419	19.0	0.0	0.0
Echinococcus_equinus	TAT	Y	G	0.0	0.624383368569	0.363636363636	0.0555555555556	0.527777777778	0.935064935065	0.0519480519481	1331.0	-2.45830363507	17.0	0.0	0.0
Taenia_crassiceps	TAT	Y	G	0.0	0.722717787344	0.454545454545	0.0746268656716	0.55223880597	0.905405405405	0.0675675675676	1333.0	-2.40282012195	17.0	0.0	0.0
Tetrancistrum_nebulosi	TAT	Y	G	0.0	0.777875041033	0.333333333333	0.063829787234	0.574468085106	0.746031746032	0.047619047619	1333.0	-2.45459488853	17.0	0.0	0.0
Benedenia_hoshinai	TAT	Y	G	0.0	0.7393728223	0.272727272727	0.0491803278689	0.508196721311	0.835616438356	0.041095890411	1333.0	-2.60443700293	17.0	0.0	0.0
Caenorhabditis	TAT	Y	G	0.0	0.55	0.1	0.0166666666667	0.733333333333	0.909090909091	0.0151515151515	1346.0	-2.77231952157	17.0	0.0	0.0
