### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	ATG	M	I	0.0	0.0186666666667	0.285714285714	0.181818181818	0.5	1.0	0.181818181818	1436.0	2.119140625	6.0	0.0
Schistosoma	ATG	M	I	0.0	0.00307692307692	0.5	0.189189189189	0.162162162162	1.0	0.189189189189	1278.0	1.08597285068	6.0	0.0
Fasciola	ATG	M	I	0.0	0.008	0.666666666667	0.243243243243	0.162162162162	1.0	0.243243243243	1341.0	1.43972445465	6.0	0.0
Patiria	ATG	M	I	0.0	0.0117647058824	0.428571428571	0.24	0.44	1.0	0.24	1534.0	2.21538461538	6.0	0.0
Lumbricus	ATG	M	I	0.0	0.024	0.2	0.125	0.5	1.0	0.125	1525.0	1.71508379888	6.0	0.0
Halocynthia	ATG	M	I	0.0	0.0222222222222	0.25	0.111111111111	0.388888888889	1.0	0.111111111111	1418.0	2.02163461538	6.0	0.0
Caenorhabditis	ATG	M	I	0.0	0.008	0.4	0.153846153846	0.230769230769	1.0	0.153846153846	1433.0	1.26349206349	6.0	0.0
Axinella	ATG	M	I	0.0	0.0117647058824	0.444444444444	0.222222222222	0.407407407407	1.0	0.222222222222	1523.0	1.62300319489	6.0	0.0
Terebratulina	ATG	M	I	0.0	0.02	0.333333333333	0.166666666667	0.5	1.0	0.166666666667	1487.0	2.00709219858	6.0	0.0
Bfloridae	ATG	M	I	0.0	0.0	0.25	0.166666666667	0.166666666667	1.0	0.166666666667	875.0	0.910344827586	6.0	0.0
Geodia	ATG	M	I	0.0	0.0186666666667	0.444444444444	0.2	0.55	1.0	0.2	1524.0	1.79784946237	6.0	0.0
Metridium	ATG	M	I	0.0	0.00888888888889	0.571428571429	0.259259259259	0.407407407407	1.0	0.259259259259	1534.0	1.87122416534	6.0	0.0
Acropora	ATG	M	I	0.0	0.015	0.428571428571	0.2	0.44	1.0	0.2	1532.0	1.75	6.0	0.0
Balanoglossus	ATG	M	I	0.0	0.00631578947368	0.571428571429	0.347826086957	0.478260869565	1.0	0.347826086957	1534.0	2.33771106942	6.0	0.0
Saccoglossus	ATG	M	I	0.0	0.00888888888889	0.571428571429	0.304347826087	0.478260869565	1.0	0.304347826087	1532.0	2.27476635514	6.0	0.0
Daphnia	ATG	M	I	0.0	0.03	0.2	0.111111111111	0.777777777778	1.0	0.111111111111	1517.0	2.1690821256	6.0	0.0
Homo	ATG	M	I	0.0	0.0133333333333	0.2	0.142857142857	0.285714285714	1.0	0.142857142857	1533.0	1.88622754491	6.0	0.0
Blanceolatum	ATG	M	I	0.0	0.0133333333333	0.25	0.142857142857	0.285714285714	1.0	0.142857142857	839.0	2.0119760479	6.0	0.0

### Alignment improvement:
