### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
LmeyeA	ACA	T	L	0.0	0.629032258065	0.142857142857	0.0204081632653	0.918367346939	0.753846153846	0.0153846153846	1456.0	-0.860925771476	12.0	0.0
SpombA	ACA	T	L	0.0	0.283688495466	0.5	0.125	0.583333333333	0.380952380952	0.0634920634921	1452.0	-0.103477523325	12.0	0.0
SpombA	ACT	T	L	0.0	0.283688495466	0.166666666667	0.0263157894737	0.657894736842	0.603174603175	0.0634920634921	1452.0	-0.867424242424	13.0	0.0
CgigaA	ACC	T	L	0.0	0.590067555464	0.125	0.047619047619	0.809523809524	0.461538461538	0.021978021978	1879.0	-0.660357791029	15.0	0.0
CsantA	ACA	T	L	0.0	0.615145339989	0.25	0.0769230769231	0.653846153846	0.504854368932	0.0582524271845	2073.0	-0.693760984183	12.0	0.0
CsantA	ACT	T	L	0.0	0.615145339989	0.2	0.046511627907	0.720930232558	0.417475728155	0.0582524271845	2073.0	-0.441270688735	13.0	0.0
CtropB	ACT	T	L	0.0	0.354838642854	0.111111111111	0.025	0.875	0.408163265306	0.0102040816327	2101.0	-0.863789237668	13.0	0.0
CtropA	ACT	T	L	0.0	0.354838639142	0.111111111111	0.0238095238095	0.880952380952	0.428571428571	0.0102040816327	2101.0	-0.858099062918	13.0	0.0
WpijpA	ACA	T	L	0.0	0.729508196721	0.142857142857	0.0392156862745	0.843137254902	0.728571428571	0.0285714285714	1456.0	-0.678743961353	12.0	0.0
BarxA	ACA	T	L	0.0	0.698529411765	1.0	0.0625	0.5	0.615384615385	0.115384615385	442.0	-0.816140776699	12.0	0.0
BarxA	ACT	T	L	0.0	0.698529411765	1.0	0.2	0.7	0.384615384615	0.115384615385	442.0	0.152723735409	13.0	0.0
CoxycA	ACA	T	L	0.0	0.763157812966	1.0	0.1	0.8	0.5	0.05	442.0	-0.321011673152	12.0	0.0
CsubhA	ACC	T	L	0.0	0.792134759694	0.125	0.0243902439024	0.878048780488	0.422680412371	0.0103092783505	2098.0	-0.85988700565	15.0	0.0
CsubhB	ACC	T	L	0.0	0.792134759694	0.125	0.0243902439024	0.878048780488	0.422680412371	0.0103092783505	2098.0	-0.85988700565	15.0	0.0
OanguA	ACA	T	L	0.0	0.289156547472	0.111111111111	0.0208333333333	0.770833333333	0.448598130841	0.00934579439252	2101.0	-0.732664233577	12.0	0.0
CcastA	ACA	T	L	0.0	0.748427672956	0.142857142857	0.037037037037	0.851851851852	0.435483870968	0.0322580645161	1455.0	-0.84496996997	12.0	0.0
CcastA	ACT	T	L	0.0	0.748427672956	0.166666666667	0.0285714285714	0.828571428571	0.564516129032	0.0322580645161	1455.0	-0.690812720848	13.0	0.0
KtherA	ACT	T	L	0.0	0.16393442623	0.2	0.047619047619	0.904761904762	0.328125	0.015625	1456.0	-0.757128810226	13.0	0.0
CnorvA	ACA	T	L	0.0	0.721518891195	0.1	0.0192307692308	0.826923076923	0.559139784946	0.010752688172	2101.0	-0.726094727435	12.0	0.0
