### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Metaseiulus_occidentalis	TTC	F	H	0.0	0.125	0.142857142857	0.0322580645161	0.774193548387	0.22962962963	0.00740740740741	1280.0	-0.848711554447	23.0	0.0	0.0
Schistosoma	TTC	F	H	0.0	0.0735294117647	0.25	0.125	0.5	0.0695652173913	0.0173913043478	1325.0	-0.888535031847	23.0	0.0	0.0
Schistosoma	TTT	F	H	0.0	0.0735294117647	0.0909090909091	0.00934579439252	0.579439252336	0.930434782609	0.0173913043478	1325.0	-1.1557475402	21.0	0.0	0.0
Fasciola	TTT	F	H	0.0	0.514285714286	0.0909090909091	0.00769230769231	0.515384615385	0.970149253731	0.00746268656716	1332.0	-1.09663452076	21.0	0.0	0.0
Trichobilharzia_regenti	TTT	F	H	0.0	0.521739130435	0.0833333333333	0.00862068965517	0.560344827586	0.95867768595	0.00826446280992	1324.0	-1.20529801325	21.0	0.0	0.0
Versteria_mustelae	TTT	F	H	0.0	0.527967806841	0.181818181818	0.016393442623	0.549180327869	0.968253968254	0.015873015873	1328.0	-1.17658187934	21.0	0.0	0.0
Euseius_nicholsi	TTT	F	H	0.0	0.591952949963	0.181818181818	0.0162601626016	0.747967479675	0.911111111111	0.0148148148148	1296.0	-1.09123099354	21.0	0.0	0.0
Haplorchis_taichui	TTC	F	H	0.0	0.0615384615385	0.142857142857	0.0769230769231	0.538461538462	0.112068965517	0.00862068965517	1320.0	-0.827788649706	23.0	0.0	0.0
Echinococcus_equinus	TTT	F	H	0.0	0.0175871373327	0.166666666667	0.015037593985	0.541353383459	0.985185185185	0.0148148148148	1331.0	-1.19564379337	21.0	0.0	0.0
Taenia_crassiceps	TTT	F	H	0.0	0.540525114155	0.166666666667	0.0151515151515	0.515151515152	0.95652173913	0.0144927536232	1333.0	-1.16284937888	21.0	0.0	0.0
Trichinella	TTT	F	H	0.0	0.234939759036	0.0909090909091	0.016393442623	0.622950819672	0.521367521368	0.00854700854701	1343.0	-0.802087682672	21.0	0.0	0.0
Pseudogarypus_banksi	TTT	F	H	0.0	0.565656565657	0.0909090909091	0.00943396226415	0.801886792453	0.84126984127	0.00793650793651	1347.0	-1.17301625819	21.0	0.0	0.0
Benedenia_hoshinai	TTT	F	H	0.0	0.542857142857	0.0833333333333	0.00909090909091	0.572727272727	0.916666666667	0.00833333333333	1333.0	-1.04749708964	21.0	0.0	0.0
