### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
SpombA	ATT	I	Y	1.0	0.69186035873	0.142857142857	0.0120481927711	0.626506024096	0.572413793103	0.00689655172414	1452.0	-0.771090281204	5.0	0.0
AacerA	ATT	I	Y	0.0	0.518181651832	0.5	0.0166666666667	0.866666666667	0.967741935484	0.0161290322581	643.0	-0.899966487936	5.0	0.0
CsantA	ATT	I	Y	0.0	0.344764085802	0.0909090909091	0.0285714285714	0.657142857143	0.15350877193	0.0175438596491	2073.0	-0.935259310825	5.0	0.0
CsantA	ATA	I	Y	0.0	0.344764085802	0.25	0.015873015873	0.661375661376	0.828947368421	0.0175438596491	2073.0	-0.910123276857	4.0	0.0
CtropB	ATC	I	Y	0.0	0.684210417288	0.0833333333333	0.0078125	0.9296875	0.618357487923	0.0048309178744	2101.0	-0.92742571654	7.0	0.0
CtropA	ATC	I	Y	0.0	0.689473577	0.0909090909091	0.00793650793651	0.928571428571	0.608695652174	0.0048309178744	2101.0	-0.930739021778	7.0	0.0
WpijpA	ATT	I	Y	0.0	0.646825396825	0.142857142857	0.0102040816327	0.897959183673	0.705035971223	0.00719424460432	1456.0	-0.890433873497	5.0	0.0
CcastA	ATA	I	Y	0.0	0.00819671848152	0.2	0.0588235294118	0.0588235294118	0.108280254777	0.00636942675159	1455.0	-0.55522027761	4.0	0.0
CnorvA	ATT	I	Y	0.0	0.267803953178	0.0833333333333	0.0178571428571	0.821428571429	0.258064516129	0.00921658986175	2101.0	-0.87972166998	5.0	0.0
CnorvA	ATA	I	Y	0.0	0.267803953178	0.0833333333333	0.0062893081761	0.836477987421	0.732718894009	0.00921658986175	2101.0	-0.948360957643	4.0	0.0
MstarA	ATA	I	Y	0.0	0.657894618729	0.0909090909091	0.00645161290323	0.748387096774	0.691964285714	0.00446428571429	2101.0	-0.893641786702	4.0	0.0
LstarA	ATT	I	Y	0.0	0.701680569273	0.111111111111	0.010752688172	0.752688172043	0.6	0.00645161290323	1779.0	-0.838528297274	5.0	0.0
MfariA	ATA	I	Y	0.0	0.71311465505	0.0833333333333	0.00806451612903	0.838709677419	0.579439252336	0.00467289719626	2101.0	-0.924212060485	4.0	0.0
CalaiA	ATA	I	Y	6.0	0.705357041131	0.1	0.00869565217391	0.852173913043	0.569306930693	0.0049504950495	1905.0	-0.893571861734	4.0	0.0
CphanA	ATT	I	Y	0.0	0.479178856249	0.0909090909091	0.0147058823529	0.808823529412	0.343434343434	0.0151515151515	2100.0	-0.864154103853	5.0	0.0
CphanA	ATC	I	Y	0.0	0.479178856249	0.125	0.0333333333333	0.8	0.151515151515	0.0151515151515	2100.0	-0.759568545581	7.0	0.0
CphanA	ATA	I	Y	0.0	0.479178856249	0.0909090909091	0.01	0.73	0.505050505051	0.0151515151515	2100.0	-0.872718764623	4.0	0.0
ScryoA	ATT	I	Y	0.0	0.571428571429	0.142857142857	0.00900900900901	0.63963963964	0.816176470588	0.00735294117647	1454.0	-0.74260081391	5.0	0.0
CneerA	ATC	I	Y	0.0	0.102094205589	0.1	0.02	0.76	0.225225225225	0.0045045045045	2101.0	-0.861919235779	7.0	0.0
HuvarA	ATT	I	Y	0.0	0.726470588235	0.333333333333	0.0204081632653	0.622448979592	0.748091603053	0.0152671755725	1397.0	-0.696493982208	5.0	0.0
