### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
LmeyeA	TGT	C	A	2.0	0.55	0.2	0.0769230769231	0.615384615385	0.928571428571	0.0714285714286	1429.0	0.0141579731744	25.0	0.0	0.0
SpombA	TGT	C	A	0.0	6.17370663795e-06	0.4	0.153846153846	0.307692307692	1.0	0.153846153846	1424.0	0.123391370174	25.0	0.0	0.108
CgallA	TGT	C	A	0.0	4.35119209461e-08	0.375	0.1875	0.5	1.0	0.1875	2247.0	0.534449452672	25.0	0.0	0.189
CsantA	TGT	C	A	0.0	0.30303030303	0.1	0.0952380952381	0.285714285714	0.807692307692	0.0769230769231	2220.0	0.271413276231	25.0	0.0	0.0
OanguA	TGT	C	A	1.0	0.633333333333	0.111111111111	0.0588235294118	0.588235294118	0.809523809524	0.047619047619	2248.0	0.38409703504	25.0	0.0	0.0
KtherA	TGT	C	A	10.0	0.00640242794456	0.2	0.0769230769231	0.692307692308	1.0	0.0769230769231	1429.0	0.0687593423019	25.0	0.0	0.057
MstarA	TGT	C	A	0.0	0.00640242794456	0.1	0.0526315789474	0.473684210526	1.0	0.0526315789474	2249.0	0.174264281593	25.0	0.0	0.0
NbaciA	TGT	C	A	0.0	0.00576403409378	0.2	0.0909090909091	0.727272727273	1.0	0.0909090909091	1428.0	0.0416666666667	25.0	0.0	0.0
LstarA	TGT	C	A	0.0	0.00320635432631	0.142857142857	0.0909090909091	0.363636363636	1.0	0.0909090909091	1834.0	0.549945115258	25.0	0.0	0.0
LanspB	TGT	C	A	2.0	0.00640242794456	0.2	0.0714285714286	0.642857142857	1.0	0.0714285714286	1429.0	0.0131852879944	25.0	0.0	0.0
CphanA	TGT	C	A	0.0	4.35119209461e-08	0.375	0.1875	0.5	1.0	0.1875	2247.0	0.534449452672	25.0	0.0	0.189
LanspA	TGT	C	A	9.0	0.65	0.2	0.1	0.6	0.769230769231	0.0769230769231	1429.0	0.138862102218	25.0	0.0	0.053
ScryoA	TGT	C	A	0.0	6.17370663795e-06	0.333333333333	0.133333333333	0.266666666667	1.0	0.133333333333	1424.0	-0.0241199478488	25.0	0.0	0.099
HuvarA	TGT	C	A	0.0	1.47890337755e-08	0.5	0.25	0.416666666667	1.0	0.25	1361.0	0.625607779579	25.0	0.0	0.216
KlactA	TGT	C	A	0.0	0.00576403409378	0.25	0.0833333333333	0.666666666667	0.923076923077	0.0769230769231	1408.0	0.0677419354839	25.0	0.0	0.0
CzempA	TGT	C	A	0.0	1.15143906602e-05	0.333333333333	0.142857142857	0.428571428571	1.0	0.142857142857	1428.0	0.624651810585	25.0	0.0	0.101
SjapoA	TGT	C	A	0.0	0.0025659069744	0.2	0.111111111111	0.333333333333	1.0	0.111111111111	1423.0	0.059765208111	25.0	0.0	0.0
MmagnB	TGT	C	A	0.0	0.0070404118859	0.1	0.0526315789474	0.526315789474	1.0	0.0526315789474	2249.0	0.121693121693	25.0	0.0	0.0
MmagnA	TGT	C	A	0.0	0.0070404118859	0.1	0.0526315789474	0.526315789474	1.0	0.0526315789474	2249.0	0.121693121693	25.0	0.0	0.0
