### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	GGT	G	L	0.0	0.368980963046	0.428571428571	0.0344827586207	0.770114942529	0.737288135593	0.0254237288136	1424.0	-3.17520570488	41.0	0.0	0.0
CgallA	GGT	G	L	0.0	0.773407509655	0.0833333333333	0.00892857142857	0.928571428571	0.612021857923	0.0109289617486	2247.0	-3.69239407861	41.0	0.0	0.0
CgallA	GGA	G	L	0.0	0.773407509655	0.0769230769231	0.0147058823529	0.897058823529	0.371584699454	0.0109289617486	2247.0	-3.54068634797	40.0	0.0	0.0
CsantA	GGT	G	L	0.0	0.817695511124	0.153846153846	0.018691588785	0.869158878505	0.607954545455	0.0113636363636	2220.0	-3.39997948297	41.0	0.0	0.0
MstarA	GGA	G	L	0.0	0.168604594959	0.1	0.0169491525424	0.932203389831	0.320652173913	0.0054347826087	2249.0	-3.57676348548	40.0	0.0	0.0
NbaciA	GGA	G	L	0.0	0.149038461538	0.166666666667	0.03125	0.9375	0.290909090909	0.00909090909091	1428.0	-3.60578931662	40.0	0.0	0.0
LstarA	GGT	G	L	0.0	0.776670015392	0.125	0.0104166666667	0.84375	0.596273291925	0.0124223602484	1834.0	-3.41088328076	41.0	0.0	0.0
LstarA	GGA	G	L	0.0	0.776670015392	0.125	0.0166666666667	0.866666666667	0.372670807453	0.0124223602484	1834.0	-3.57498646454	40.0	0.0	0.0
CphanA	GGT	G	L	0.0	0.335746606335	0.166666666667	0.0175438596491	0.894736842105	0.622950819672	0.0109289617486	2247.0	-3.53416641872	41.0	0.0	0.0
ScryoA	GGT	G	L	0.0	0.118400698838	0.166666666667	0.0138888888889	0.847222222222	0.615384615385	0.025641025641	1424.0	-3.3989136195	41.0	0.0	0.0
ScryoA	GGG	G	L	0.0	0.118400698838	0.333333333333	0.333333333333	0.666666666667	0.025641025641	0.025641025641	1424.0	-1.47619047619	42.0	0.0	0.007
ScryoA	GGA	G	L	0.0	0.118400698838	0.142857142857	0.025	0.725	0.34188034188	0.025641025641	1424.0	-3.16595135908	40.0	0.0	0.0
CzempA	GGT	G	L	0.0	0.66494833793	0.142857142857	0.012987012987	0.831168831169	0.6875	0.00892857142857	1428.0	-3.35046031351	41.0	0.0	0.0
SjapoA	GGT	G	L	0.0	0.382608646462	0.285714285714	0.0243902439024	0.853658536585	0.780952380952	0.0285714285714	1423.0	-3.40808010246	41.0	0.0	0.0
SjapoA	GGA	G	L	0.0	0.382608646462	0.2	0.0625	0.8125	0.152380952381	0.0285714285714	1423.0	-3.14117647059	40.0	0.0	0.0
MmagnB	GGA	G	L	0.0	0.706896450529	0.0769230769231	0.00917431192661	0.926605504587	0.582887700535	0.00534759358289	2249.0	-3.64206356874	40.0	0.0	0.0
MmagnA	GGA	G	L	0.0	0.701149322108	0.0769230769231	0.00909090909091	0.936363636364	0.588235294118	0.00534759358289	2249.0	-3.65723571019	40.0	0.0	0.0
MtetrA	GGA	G	L	0.0	0.754385880113	0.0769230769231	0.010752688172	0.89247311828	0.505434782609	0.0054347826087	2248.0	-3.52016039207	40.0	0.0	0.0
YlipoB	GGT	G	L	0.0	0.778534495262	0.0769230769231	0.00840336134454	0.924369747899	0.646739130435	0.0108695652174	2247.0	-3.68946306791	41.0	0.0	0.0
YlipoB	GGA	G	L	0.0	0.778534495262	0.0833333333333	0.015873015873	0.904761904762	0.342391304348	0.0108695652174	2247.0	-3.52779990441	40.0	0.0	0.0
YlipoA	GGT	G	L	0.0	0.778534495262	0.0769230769231	0.00840336134454	0.924369747899	0.650273224044	0.0109289617486	2247.0	-3.68946306791	41.0	0.0	0.0
YlipoA	GGA	G	L	0.0	0.778534495262	0.0833333333333	0.0161290322581	0.91935483871	0.338797814208	0.0109289617486	2247.0	-3.55342954435	40.0	0.0	0.0
CalimA	GGT	G	L	0.0	0.347987547476	0.166666666667	0.0176991150442	0.938053097345	0.614130434783	0.0108695652174	2247.0	-3.63605476167	41.0	0.0	0.0
SoctoA	GGT	G	L	0.0	0.30478115705	0.142857142857	0.0142857142857	0.842857142857	0.598290598291	0.025641025641	1425.0	-3.44291365434	41.0	0.0	0.0
SoctoA	GGA	G	L	0.0	0.30478115705	0.333333333333	0.05	0.75	0.34188034188	0.025641025641	1425.0	-3.05535756712	40.0	0.0	0.0
CdefoA	GGT	G	L	0.0	0.325722169072	0.0769230769231	0.008	0.92	0.68306010929	0.0109289617486	2247.0	-3.65118388823	41.0	0.0	0.0
CdefoA	GGA	G	L	0.0	0.325722169072	0.0909090909091	0.0178571428571	0.910714285714	0.306010928962	0.0109289617486	2247.0	-3.58375089477	40.0	0.0	0.0
CsalmA	GGT	G	L	0.0	0.732714046005	0.181818181818	0.0157480314961	0.866141732283	0.738372093023	0.0116279069767	2153.0	-3.52035184546	41.0	0.0	0.0
MingeA	GGT	G	L	0.0	0.255813869182	0.0769230769231	0.0111111111111	0.922222222222	0.489130434783	0.0054347826087	2249.0	-3.62736974262	41.0	0.0	0.0
