### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	ATG	M	L	0.0	0.0111607142857	0.555555555556	0.142857142857	0.619047619048	1.0	0.142857142857	1926.0	1.89717461788	6.0	0.0
Beta_vulgaris_vulgaris	ATG	M	L	0.0	0.0168650793651	0.125	0.0277777777778	0.972222222222	1.0	0.0277777777778	1539.0	1.79377637131	6.0	0.0
Malus_domestica	ATG	M	L	0.0	0.0168650793651	0.125	0.027027027027	0.945945945946	1.0	0.027027027027	1518.0	1.79516212043	6.0	0.0
Phoenix_dactylifera	ATG	M	L	0.0	0.0168918918919	0.111111111111	0.027027027027	0.972972972973	1.0	0.027027027027	1738.0	1.79773546063	6.0	0.0
Caenorhabditis	ATG	M	L	0.0	0.00255102040816	0.555555555556	0.347826086957	0.260869565217	1.0	0.347826086957	1865.0	1.5643153527	6.0	0.0
Physcomitrella_patens	ATG	M	L	0.0	0.016196013289	0.181818181818	0.0454545454545	0.931818181818	1.0	0.0454545454545	1926.0	1.77376760563	6.0	0.0
Schistosoma	ATG	M	L	0.0	0.000776397515528	0.636363636364	0.180327868852	0.196721311475	1.0	0.180327868852	1800.0	0.48262671342	6.0	0.0
Fasciola	ATG	M	L	1.0	0.00214285714286	0.636363636364	0.21568627451	0.274509803922	1.0	0.21568627451	1825.0	1.07	6.0	0.0
Dunaliella_salina	ATG	M	L	0.0	0.0107142857143	0.666666666667	0.146341463415	0.585365853659	1.0	0.146341463415	1392.0	1.29920523609	6.0	0.0
Carica_papaya	ATG	M	L	0.0	0.0169172932331	0.111111111111	0.0263157894737	0.973684210526	1.0	0.0263157894737	1751.0	1.802413273	6.0	0.0
Patiria	ATG	M	L	0.0	0.00892857142857	0.6	0.19512195122	0.585365853659	1.0	0.19512195122	1926.0	2.04860442733	6.0	0.0
Chaetosphaeridium_globosum	ATG	M	L	0.0	0.014751552795	0.272727272727	0.0816326530612	0.857142857143	1.0	0.0816326530612	1930.0	1.81644815256	6.0	0.0
Mesostigma_viride	ATG	M	L	0.0	0.0145348837209	0.4	0.0909090909091	0.886363636364	1.0	0.0909090909091	1873.0	1.87428319365	6.0	0.0
Zea_mays_NB	ATG	M	L	0.0	0.0168650793651	0.125	0.0277777777778	0.972222222222	1.0	0.0277777777778	1540.0	1.79377637131	6.0	0.0
Pseudendoclonium_akinetum	ATG	M	L	0.0	0.0140977443609	0.272727272727	0.0851063829787	0.723404255319	1.0	0.0851063829787	1930.0	1.37268613739	6.0	0.0
Arabidopsis_thaliana	ATG	M	L	0.0	0.016156462585	0.222222222222	0.047619047619	0.952380952381	1.0	0.047619047619	1780.0	1.83547794118	6.0	0.0
Lumbricus	ATG	M	L	0.0	0.00961538461538	0.2	0.166666666667	0.555555555556	1.0	0.166666666667	1920.0	1.30186608123	6.0	0.0
Halocynthia	ATG	M	L	0.0	0.000776397515528	0.727272727273	0.413793103448	0.379310344828	1.0	0.413793103448	1893.0	2.00868983957	6.0	0.0
Limulus	ATG	M	L	0.0	0.00137362637363	0.428571428571	0.333333333333	0.285714285714	1.0	0.333333333333	1919.0	1.84181818182	6.0	0.0
Bracteacoccus_aerius	ATG	M	L	0.0	0.00692419825073	0.818181818182	0.258620689655	0.586206896552	1.0	0.258620689655	1789.0	1.974	6.0	0.0
Oryza_sativa_I2	ATG	M	L	0.0	0.0160714285714	0.25	0.05	0.95	1.0	0.05	1693.0	1.82909265482	6.0	0.0
Oryza_sativa_J2	ATG	M	L	0.0	0.0152116402116	0.25	0.0740740740741	0.925925925926	1.0	0.0740740740741	1446.0	1.81348637016	6.0	0.0
Pycnococcus_provasolii	ATG	M	L	0.0	0.0135281385281	0.333333333333	0.111111111111	0.805555555556	1.0	0.111111111111	1930.0	1.86471861472	6.0	0.0
Polytoma_uvella	ATG	M	L	0.0	0.00916988416988	0.714285714286	0.173076923077	0.538461538462	1.0	0.173076923077	1394.0	1.25175341454	6.0	0.0
Axinella	ATG	M	L	0.0	0.0117595818815	0.272727272727	0.145833333333	0.708333333333	1.0	0.145833333333	1924.0	1.84664793256	6.0	0.0
Prototheca_wickerhamii	ATG	M	L	0.0	0.0119047619048	0.363636363636	0.156862745098	0.78431372549	1.0	0.156862745098	1924.0	1.92867981791	6.0	0.0
Terebratulina	ATG	M	L	0.0	0.00198412698413	0.555555555556	0.357142857143	0.285714285714	1.0	0.357142857143	1915.0	1.61087866109	6.0	0.0
