### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
CgallA	AAT	N	Y	0.0	0.728260869565	0.153846153846	0.0322580645161	0.790322580645	0.738095238095	0.0238095238095	2247.0	-1.82285115304	1.0	0.0	0.0
CsubhA	AAC	N	Y	0.0	0.514925373134	0.0909090909091	0.0149253731343	0.955223880597	0.971014492754	0.0144927536232	2244.0	-1.83250620347	3.0	0.0	0.0
CsubhB	AAC	N	Y	0.0	0.514925373134	0.0909090909091	0.0149253731343	0.955223880597	0.971014492754	0.0144927536232	2244.0	-1.83250620347	3.0	0.0	0.0
CalaiA	AAT	N	Y	1.0	0.522388059702	0.1	0.0142857142857	0.9	0.958904109589	0.013698630137	2056.0	-1.86295204097	1.0	0.0	0.0
CnorvA	AAT	N	Y	2.0	0.520833333333	0.0769230769231	0.0112359550562	0.76404494382	0.967391304348	0.0108695652174	2249.0	-1.79948045522	1.0	0.0	0.0
MstarA	AAT	N	Y	2.0	0.514492753623	0.166666666667	0.0253164556962	0.835443037975	0.975308641975	0.0246913580247	2249.0	-1.82178755773	1.0	0.0	0.0
LstarA	AAT	N	Y	0.0	0.521276595745	0.125	0.0175438596491	0.771929824561	0.966101694915	0.0169491525424	1834.0	-1.78952257106	1.0	0.0	0.0
MfariA	AAC	N	Y	0.0	0.130136986301	0.125	0.047619047619	0.857142857143	0.269230769231	0.0128205128205	2248.0	-1.36533957845	3.0	0.0	0.0
MfariB	AAT	N	Y	0.0	0.605263157895	0.0909090909091	0.0153846153846	0.907692307692	0.802469135802	0.0123456790123	2250.0	-1.8080172271	1.0	0.0	0.0
CphanA	AAT	N	Y	0.0	0.720149253731	0.153846153846	0.03125	0.765625	0.761904761905	0.0238095238095	2247.0	-1.78655119715	1.0	0.0	0.0
ScryoA	AAT	N	Y	0.0	0.77519379845	0.333333333333	0.0487804878049	0.658536585366	0.621212121212	0.030303030303	1424.0	-1.49754271004	1.0	0.0	0.0
HuvarA	AAT	N	Y	0.0	0.749128919861	0.166666666667	0.0344827586207	0.586206896552	0.453125	0.03125	1361.0	-1.42028505138	1.0	0.0	0.0
HuvarA	AAC	N	Y	0.0	0.749128919861	0.166666666667	0.0285714285714	0.657142857143	0.546875	0.03125	1361.0	-1.65024496462	3.0	0.0	0.0
CjiufA	AAT	N	Y	0.0	0.68	0.1	0.02	0.94	0.649350649351	0.012987012987	2231.0	-1.73867367039	1.0	0.0	0.0
CzempA	AAT	N	Y	0.0	0.000421051739043	0.285714285714	0.03125	0.703125	1.0	0.03125	1428.0	-1.6586423445	1.0	0.0	0.017
SjapoA	AAT	N	Y	0.0	0.601959930314	0.285714285714	0.0428571428571	0.514285714286	0.958904109589	0.041095890411	1423.0	-1.63419646527	1.0	0.0	0.0
MmagnB	AAC	N	Y	0.0	0.594366197183	0.166666666667	0.027027027027	0.837837837838	0.913580246914	0.0246913580247	2249.0	-1.78246942341	3.0	0.0	0.0
MmagnA	AAC	N	Y	0.0	0.581488933602	0.166666666667	0.027027027027	0.851351351351	0.913580246914	0.0246913580247	2249.0	-1.7900568596	3.0	0.0	0.0
MtetrA	AAC	N	Y	0.0	1.384130407e-05	0.25	0.037037037037	0.83950617284	1.0	0.0246913580247	2248.0	-1.67294180034	3.0	0.0	0.123
CsuavA	AAT	N	Y	1.0	0.643835616438	0.1	0.0151515151515	0.772727272727	0.741573033708	0.0112359550562	2250.0	-1.80404704255	1.0	0.0	0.0
PcanaA	AAT	N	Y	0.0	0.535714285714	0.0833333333333	0.0120481927711	0.771084337349	0.943181818182	0.0113636363636	2250.0	-1.83686808057	1.0	0.0	0.0
YlipoB	AAT	N	Y	0.0	0.25	0.0769230769231	0.016393442623	0.819672131148	0.743902439024	0.0243902439024	2247.0	-1.90769772767	1.0	0.0	0.0
YlipoB	AAC	N	Y	0.0	0.25	0.125	0.047619047619	0.761904761905	0.256097560976	0.0243902439024	2247.0	-1.73870811073	3.0	0.0	0.0
YlipoA	AAT	N	Y	0.0	0.25	0.0769230769231	0.016393442623	0.819672131148	0.743902439024	0.0243902439024	2247.0	-1.90769772767	1.0	0.0	0.0
YlipoA	AAC	N	Y	0.0	0.25	0.125	0.047619047619	0.761904761905	0.256097560976	0.0243902439024	2247.0	-1.73870811073	3.0	0.0	0.0
CjadiA	AAT	N	Y	0.0	0.611111111111	0.0833333333333	0.0142857142857	0.785714285714	0.795454545455	0.0113636363636	2250.0	-1.82689236666	1.0	0.0	0.0
CalimA	AAT	N	Y	1.0	0.695012787724	0.166666666667	0.0307692307692	0.8	0.77380952381	0.0238095238095	2247.0	-1.79861910242	1.0	0.0	0.0
BcaliA	AAT	N	Y	2.0	0.534722222222	0.0833333333333	0.0114942528736	0.758620689655	0.945652173913	0.0108695652174	2250.0	-1.8080283652	1.0	0.0	0.0
SoctoA	AAC	N	Y	0.0	0.0975609756098	0.2	0.0833333333333	0.583333333333	0.184615384615	0.0153846153846	1425.0	-1.37400318979	3.0	0.0	0.0
CvartA	AAT	N	Y	0.0	0.597222222222	0.0909090909091	0.0133333333333	0.76	0.842696629213	0.0112359550562	2250.0	-1.83209913858	1.0	0.0	0.0
CdefoA	AAT	N	Y	0.0	0.749360613811	0.153846153846	0.0322580645161	0.758064516129	0.720930232558	0.0232558139535	2247.0	-1.72636203866	1.0	0.0	0.0
ClusiA	AAC	N	Y	0.0	0.0845070422535	0.142857142857	0.0769230769231	0.846153846154	0.173333333333	0.0133333333333	2250.0	-1.29835552075	3.0	0.0	0.0
MingeA	AAT	N	Y	2.0	0.598381958417	0.25	0.0375	0.8	0.941176470588	0.0352941176471	2249.0	-1.68127275179	1.0	0.0	0.0
