### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Schistosoma	CAA	Q	K	0.0	0.181818181818	0.333333333333	0.25	0.25	0.266666666667	0.133333333333	1325.0	0.660256410256	48.0	0.0	0.0
Schistosoma	CAG	Q	K	0.0	0.181818181818	0.142857142857	0.0909090909091	0.727272727273	0.733333333333	0.133333333333	1325.0	1.0619266055	50.0	0.0	0.0
Fasciola	CAA	Q	K	0.0	0.2	0.333333333333	0.2	0.6	0.384615384615	0.0769230769231	1332.0	1.26262626263	48.0	0.0	0.0
Trichobilharzia_regenti	CAA	Q	K	0.0	0.222222222222	0.333333333333	0.2	0.6	0.454545454545	0.0909090909091	1324.0	1.735	48.0	0.0	0.0
Versteria_mustelae	CAG	Q	K	0.0	0.227272727273	0.2	0.125	0.5	0.533333333333	0.0666666666667	1328.0	0.93949044586	50.0	0.0	0.0
Echinococcus_equinus	CAA	Q	K	0.0	0.2	0.333333333333	0.25	0.75	0.285714285714	0.0714285714286	1331.0	1.51923076923	48.0	0.0	0.001
Taenia_crassiceps	CAG	Q	K	0.0	0.136363636364	0.25	0.25	0.5	0.266666666667	0.0666666666667	1333.0	1.50632911392	50.0	0.0	0.001
Axinella	CAG	Q	K	0.0	0.181818181818	0.142857142857	0.125	0.875	0.347826086957	0.0434782608696	1348.0	0.8038585209	50.0	0.0	0.0
Suberites_domuncula	CAA	Q	K	0.0	0.710526315789	0.142857142857	0.0833333333333	0.833333333333	0.6	0.05	1351.0	0.810869565217	48.0	0.0	0.0
Geodia	CAG	Q	K	0.0	0.119047619048	0.25	0.2	0.8	0.217391304348	0.0434782608696	1350.0	1.16666666667	50.0	0.0	0.0
Metridium	CAA	Q	K	0.0	0.52380952381	0.1	0.047619047619	0.904761904762	0.913043478261	0.0434782608696	1351.0	0.794007490637	48.0	0.0	0.0
Amphimedon_queenslandica	CAG	Q	K	0.0	0.136363636364	0.166666666667	0.142857142857	0.714285714286	0.304347826087	0.0434782608696	1351.0	0.726923076923	50.0	0.0	0.0
Trichinella	CAA	Q	K	0.0	0.65625	0.166666666667	0.0714285714286	0.714285714286	0.736842105263	0.0526315789474	1343.0	0.669776119403	48.0	0.0	0.0
Acropora	CAA	Q	K	0.0	0.666666666667	0.111111111111	0.0625	0.8125	0.666666666667	0.0416666666667	1350.0	0.783693843594	48.0	0.0	0.0
Benedenia_hoshinai	CAG	Q	K	0.0	0.75	0.25	0.166666666667	0.833333333333	0.375	0.0625	1333.0	1.22222222222	50.0	0.0	0.0
Ciona	CAG	Q	K	0.0	0.138888888889	0.25	0.2	0.8	0.263157894737	0.0526315789474	1348.0	1.14795918367	50.0	0.0	0.0
