### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	AAA	K	N	0.0	4.85072162707e-12	1.0	0.888888888889	0.0	0.418604651163	0.372093023256	1436.0	4.26605504587	0.0	1.0
Schistosoma	AAG	K	N	0.0	0.00440429136081	0.142857142857	0.0454545454545	0.818181818182	0.709677419355	0.129032258065	1278.0	0.208728652751	2.0	0.0
Schistosoma	AAA	K	N	0.0	0.00440429136081	0.5	0.333333333333	0.111111111111	0.290322580645	0.129032258065	1278.0	1.61971830986	0.0	0.0
Fasciola	AAG	K	N	0.0	0.0147826086957	0.142857142857	0.0384615384615	0.807692307692	0.866666666667	0.1	1341.0	0.07928802589	2.0	0.0
Fasciola	AAA	K	N	0.0	0.0147826086957	0.333333333333	0.5	0.25	0.133333333333	0.1	1341.0	2.67032967033	0.0	1.0
Patiria	AAA	K	N	0.0	1.82402608038e-13	1.0	0.944444444444	0.0	0.375	0.354166666667	1534.0	4.47674418605	0.0	0.0
Halocynthia	AAA	K	N	0.0	0.173913043478	0.2	0.111111111111	0.777777777778	0.290322580645	0.0322580645161	1418.0	0.663594470046	0.0	0.0
Caenorhabditis	AAA	K	N	7.0	0.586956521739	0.1	0.0285714285714	0.514285714286	0.875	0.025	1433.0	-0.0530209617756	0.0	0.0
Trichinella	AAA	K	N	7.0	0.631578947368	0.166666666667	0.047619047619	0.619047619048	0.724137931034	0.0344827586207	1259.0	0.215139442231	0.0	0.0

### Alignment improvement:
AAA	Asn	1.91e-04
