### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	TTT	F	T	0.0	0.179012345679	0.166666666667	0.0232558139535	0.651162790698	0.361344537815	0.00840336134454	1424.0	-1.51947473848	21.0	0.0	0.0
CgallA	TTC	F	T	0.0	0.768204974528	0.0769230769231	0.00917431192661	0.825688073394	0.608938547486	0.0111731843575	2247.0	-1.77578517886	23.0	0.0	0.0
CgallA	TTT	F	T	0.0	0.768204974528	0.0769230769231	0.0142857142857	0.714285714286	0.391061452514	0.0111731843575	2247.0	-1.73720608575	21.0	0.0	0.0
OanguA	TTT	F	T	0.0	0.697841726619	0.0769230769231	0.00934579439252	0.775700934579	0.618497109827	0.00578034682081	2248.0	-1.78684830482	21.0	0.0	0.0
CcastA	TTT	F	T	0.0	0.658163265306	0.142857142857	0.0131578947368	0.868421052632	0.660869565217	0.00869565217391	1428.0	-1.81362322483	21.0	0.0	0.0
CphanA	TTC	F	T	0.0	0.341590678825	0.153846153846	0.0208333333333	0.833333333333	0.554913294798	0.0115606936416	2247.0	-1.73445609575	23.0	0.0	0.0
ScryoA	TTC	F	T	0.0	0.645569620253	0.166666666667	0.0128205128205	0.705128205128	0.672413793103	0.00862068965517	1424.0	-1.70007342144	23.0	0.0	0.0
CzempA	TTT	F	T	0.0	0.659090909091	0.142857142857	0.0123456790123	0.728395061728	0.675	0.00833333333333	1428.0	-1.70570071259	21.0	0.0	0.0
PkluyA	TTT	F	T	0.0	0.356607731495	0.153846153846	0.0212765957447	0.787234042553	0.540229885057	0.0114942528736	2247.0	-1.69283777677	21.0	0.0	0.0
YlipoB	TTC	F	T	0.0	0.770252722006	0.0769230769231	0.00917431192661	0.834862385321	0.61581920904	0.0112994350282	2247.0	-1.78856071261	23.0	0.0	0.0
YlipoB	TTT	F	T	0.0	0.770252722006	0.0833333333333	0.0147058823529	0.720588235294	0.38418079096	0.0112994350282	2247.0	-1.73455598456	21.0	0.0	0.0
YlipoA	TTC	F	T	0.0	0.770252722006	0.0769230769231	0.00917431192661	0.834862385321	0.61581920904	0.0112994350282	2247.0	-1.78856071261	23.0	0.0	0.0
YlipoA	TTT	F	T	0.0	0.770252722006	0.0833333333333	0.0147058823529	0.720588235294	0.38418079096	0.0112994350282	2247.0	-1.73455598456	21.0	0.0	0.0
CalimA	TTC	F	T	0.0	0.752771950854	0.153846153846	0.017094017094	0.837606837607	0.672413793103	0.0114942528736	2247.0	-1.76526883591	23.0	0.0	0.0
SoctoA	TTT	F	T	0.0	0.20987654321	0.166666666667	0.02	0.66	0.423728813559	0.00847457627119	1425.0	-1.59815420112	21.0	0.0	0.0
CdefoA	TTC	F	T	0.0	0.765552178318	0.0769230769231	0.00943396226415	0.830188679245	0.605714285714	0.0114285714286	2247.0	-1.78811670059	23.0	0.0	0.0
CdefoA	TTT	F	T	0.0	0.765552178318	0.0833333333333	0.0144927536232	0.739130434783	0.394285714286	0.0114285714286	2247.0	-1.74346201743	21.0	0.0	0.0
BcustA	TTT	F	T	0.0	0.34022556391	0.153846153846	0.0196078431373	0.745098039216	0.589595375723	0.0115606936416	2247.0	-1.67944032578	21.0	0.0	0.0
