### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
LmeyeA	TGA	W	Y	0.0	0.250134228171	0.2	0.0285714285714	0.885714285714	1.0	0.0285714285714	1429.0	2.09640208734	24.0	0.0	0.0
SpombA	TGG	W	Y	4.0	0.215636539778	0.2	0.0322580645161	0.838709677419	1.0	0.0322580645161	1424.0	2.20708782743	26.0	0.0	0.059
WmucoA	TGA	W	Y	1.0	0.320782105925	0.111111111111	0.0232558139535	0.976744186047	1.0	0.0232558139535	2246.0	2.13549337261	24.0	0.0	0.0
AacerA	TGA	W	Y	2.0	0.126227182719	0.5	0.0666666666667	0.933333333333	1.0	0.0666666666667	630.0	2.20747663551	24.0	0.0	0.084
CgallA	TGA	W	Y	0.0	0.0592297733564	0.222222222222	0.0434782608696	0.913043478261	1.0	0.0434782608696	2247.0	2.29017447199	24.0	0.0	0.0
WpijpA	TGA	W	Y	0.0	0.243358260613	0.2	0.0322580645161	0.967741935484	1.0	0.0322580645161	1429.0	2.17317224287	24.0	0.0	0.0
CsubhA	TGG	W	Y	0.0	0.1	0.166666666667	0.111111111111	0.888888888889	0.191489361702	0.0212765957447	2244.0	2.40145102781	26.0	0.0	0.0
CsubhB	TGG	W	Y	0.0	0.1	0.166666666667	0.111111111111	0.888888888889	0.191489361702	0.0212765957447	2244.0	2.40145102781	26.0	0.0	0.0
OanguA	TGA	W	Y	2.0	0.52380952381	0.222222222222	0.047619047619	0.928571428571	0.976744186047	0.046511627907	2248.0	2.26977329975	24.0	0.0	0.0
SarboA	TGA	W	Y	0.0	0.243358260613	0.2	0.0294117647059	0.882352941176	1.0	0.0294117647059	1429.0	2.07574901074	24.0	0.0	0.0
KtherA	TGA	W	Y	0.0	0.250134228171	0.2	0.0285714285714	0.885714285714	1.0	0.0285714285714	1429.0	2.09640208734	24.0	0.0	0.0
CblacA	TGA	W	Y	4.0	0.0942140319075	1.0	0.0909090909091	0.909090909091	1.0	0.0909090909091	434.0	2.20133667502	24.0	0.0	0.172
CnorvA	TGA	W	Y	2.0	0.320782105925	0.111111111111	0.0227272727273	0.954545454545	1.0	0.0227272727273	2249.0	2.14819248264	24.0	0.0	0.0
