### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction	probability
Schistosoma	GAG	E	D	0.0	0.25	0.2	0.111111111111	0.555555555556	0.5	0.0555555555556	842.0	1.27358490566	34.0	0.0	0.013
Fasciola	GAG	E	D	0.0	0.538461538462	0.2	0.0526315789474	0.578947368421	0.904761904762	0.047619047619	878.0	1.23162583519	34.0	0.0	0.001
Halocynthia	GAA	E	D	0.0	0.138888888889	0.333333333333	0.166666666667	0.666666666667	0.285714285714	0.047619047619	963.0	2.10294117647	32.0	0.0	0.043
Limulus	GAA	E	D	0.0	0.140935477477	0.2	0.04	0.92	1.0	0.04	979.0	1.85865724382	32.0	0.0	0.047
Caenorhabditis	GAG	E	D	0.0	0.204545454545	0.25	0.0909090909091	0.727272727273	0.44	0.04	959.0	1.625	34.0	0.0	0.007
Katharina	GAA	E	D	0.0	0.645833333333	0.2	0.0588235294118	0.941176470588	0.708333333333	0.0416666666667	976.0	2.09895833333	32.0	0.0	0.005
Metridium	GAA	E	D	0.0	0.695652173913	0.2	0.0714285714286	0.928571428571	0.608695652174	0.0434782608696	979.0	2.05031446541	32.0	0.0	0.005
Acropora	GAG	E	D	0.0	0.320652173913	0.4	0.117647058824	0.764705882353	0.653846153846	0.0769230769231	978.0	1.89210526316	34.0	0.0	0.001
Trichinella	GAA	E	D	0.0	0.000107981375301	0.6	0.157894736842	0.631578947368	1.0	0.157894736842	866.0	1.96380090498	32.0	0.0	0.215
Drosophila	GAA	E	D	0.0	0.135480667115	0.2	0.0434782608696	0.95652173913	1.0	0.0434782608696	979.0	2.00580270793	32.0	0.0	0.047
Myxine	GAA	E	D	0.0	0.575	0.2	0.0555555555556	0.888888888889	0.818181818182	0.0454545454545	979.0	1.92493946731	32.0	0.0	0.005
Ciona	GAG	E	D	0.0	0.205882352941	0.25	0.142857142857	0.857142857143	0.411764705882	0.0588235294118	958.0	2.43292682927	34.0	0.0	0.002
