### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	AGG	R	S	0.0	3.23408866256e-15	1.0	0.75	0.0	0.0526315789474	0.184210526316	1784.0	1.81196581197	10.0	1.0
Paracentrotus	AGA	R	S	0.0	3.23408866256e-15	0.857142857143	0.785714285714	0.0	0.184210526316	0.184210526316	1784.0	2.25124378109	8.0	1.0
Schistosoma	AGG	R	S	0.0	3.00282663716e-12	0.545454545455	0.434782608696	0.0	0.277108433735	0.192771084337	1688.0	1.21091445428	10.0	1.0
Schistosoma	AGA	R	S	0.0	3.00282663716e-12	0.444444444444	0.272727272727	0.0	0.265060240964	0.192771084337	1688.0	0.719188767551	8.0	1.0
Fasciola	AGG	R	S	0.0	1.54020534777e-06	0.714285714286	0.357142857143	0.0	0.237288135593	0.101694915254	1701.0	0.867149758454	10.0	1.0
Fasciola	AGA	R	S	0.0	1.54020534777e-06	0.2	0.2	0.2	0.0847457627119	0.101694915254	1701.0	-0.303448275862	8.0	0.0
Patiria	AGA	R	S	0.0	3.72410726126e-13	1.0	0.818181818182	0.0	0.164179104478	0.179104477612	1784.0	2.15015974441	8.0	1.0
Patiria	AGG	R	S	0.0	3.72410726126e-13	1.0	1.0	0.0	0.044776119403	0.179104477612	1784.0	2.14444444444	10.0	1.0
Lumbricus	AGA	R	S	0.0	4.77626175885e-14	1.0	0.8125	0.0	0.228571428571	0.185714285714	1781.0	2.35331905782	8.0	1.0
Halocynthia	AGG	R	S	1.0	0.0277660313953	0.222222222222	0.05	0.05	0.333333333333	0.025	1746.0	0.049011177988	10.0	0.0
Halocynthia	CGA	R	S	1.0	0.0277660313953	0.125	0.0666666666667	0.866666666667	0.125	0.025	1746.0	-0.721461187215	56.0	0.0
Limulus	AGA	R	S	0.0	2.501266071e-13	0.875	0.8	0.0	0.194805194805	0.155844155844	1781.0	2.06018518519	8.0	1.0
Caenorhabditis	AGG	R	S	0.0	1.19155764573e-16	0.571428571429	0.421052631579	0.0	0.165217391304	0.295652173913	1755.0	1.37725631769	10.0	1.0
Caenorhabditis	AGA	R	S	0.0	1.19155764573e-16	0.666666666667	0.388059701493	0.0149253731343	0.582608695652	0.295652173913	1755.0	1.09263050154	8.0	1.0
Terebratulina	AGA	R	S	0.0	5.57073276019e-11	0.875	0.642857142857	0.0	0.202898550725	0.144927536232	1783.0	1.91133004926	8.0	1.0
Terebratulina	AGG	R	S	0.0	5.57073276019e-11	0.25	0.2	0.0	0.0724637681159	0.144927536232	1783.0	0.486666666667	10.0	1.0
Katharina	AGG	R	S	0.0	9.58230715995e-12	0.4	0.285714285714	0.0	0.0945945945946	0.135135135135	1781.0	0.846534653465	10.0	1.0
Katharina	AGA	R	S	0.0	9.58230715995e-12	0.857142857143	0.421052631579	0.0	0.256756756757	0.135135135135	1781.0	1.21480144404	8.0	1.0
Trichinella	AGA	R	S	0.0	1.00284006533e-14	0.75	0.375	0.0	0.434782608696	0.20652173913	1759.0	0.908145580589	8.0	1.0
Trichinella	AGG	R	S	0.0	1.00284006533e-14	0.666666666667	0.333333333333	0.0833333333333	0.130434782609	0.20652173913	1759.0	0.997183098592	10.0	1.0
Balanoglossus	AGA	R	S	0.0	1.70881690832e-05	0.5	0.6	0.0	0.0847457627119	0.0508474576271	1784.0	2.03333333333	8.0	0.0
Drosophila	AGA	R	S	0.0	2.01722476652e-12	0.888888888889	0.52380952381	0.0	0.283783783784	0.148648648649	1783.0	1.40067340067	8.0	1.0
Ciona	AGG	R	S	0.0	0.00174216007825	0.2	0.0625	0.0	0.183908045977	0.0114942528736	1767.0	0.0974304068522	10.0	0.0
Epigonichthys	AGA	R	S	0.0	9.98724084345e-09	0.8	0.545454545455	0.0	0.169230769231	0.0923076923077	1783.0	1.23364485981	8.0	1.0
Daphnia	AGA	R	S	0.0	3.30091249453e-12	0.5	0.526315789474	0.0	0.260273972603	0.13698630137	1783.0	1.32962962963	8.0	1.0
Blanceolatum	AGA	R	S	0.0	7.63941676658e-05	0.666666666667	0.6	0.0	0.128205128205	0.0769230769231	1083.0	1.72108843537	8.0	0.0
Saccoglossus	AGA	R	S	0.0	0.000336700220453	0.666666666667	0.666666666667	0.0	0.0535714285714	0.0357142857143	1784.0	1.0	8.0	0.0

### Alignment improvement:
AGG	Ser	3.16e-09
AGA	Ser	7.13e-23
