### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	CAA	Q	S	0.0	0.000543200646031	0.285714285714	0.0714285714286	0.607142857143	1.0	0.0714285714286	1424.0	-0.142514559781	48.0	0.0	0.009
CalaiA	CAA	Q	S	0.0	0.0560388385794	0.1	0.030303030303	0.939393939394	1.0	0.030303030303	2056.0	0.0632530120482	48.0	0.0	0.0
MstarA	CAA	Q	S	0.0	0.0628191804717	0.0833333333333	0.0217391304348	0.760869565217	1.0	0.0217391304348	2249.0	0.0365596437778	48.0	0.0	0.0
LstarA	CAA	Q	S	0.0	0.0423306360743	0.125	0.030303030303	0.69696969697	1.0	0.030303030303	1834.0	-0.00485908649174	48.0	0.0	0.0
CglabA	CAA	Q	S	0.0	0.0457762375475	0.142857142857	0.0357142857143	0.892857142857	1.0	0.0357142857143	1413.0	0.132571824161	48.0	0.0	0.0
ScryoA	CAA	Q	S	0.0	0.527777777778	0.142857142857	0.04	0.64	0.961538461538	0.0384615384615	1424.0	-0.260936300844	48.0	0.0	0.0
CsakeA	CAA	Q	S	0.0	0.0678724568627	0.0833333333333	0.025641025641	0.974358974359	1.0	0.025641025641	2207.0	0.0948638787539	48.0	0.0	0.0
CzempA	CAA	Q	S	0.0	0.52380952381	0.142857142857	0.0384615384615	0.730769230769	0.962962962963	0.037037037037	1428.0	0.129056047198	48.0	0.0	0.0
MmagnB	CAA	Q	S	0.0	0.583333333333	0.0909090909091	0.0263157894737	0.763157894737	0.844444444444	0.0222222222222	2249.0	0.0636389122512	48.0	0.0	0.0
MmagnA	CAA	Q	S	0.0	0.583333333333	0.0909090909091	0.025641025641	0.74358974359	0.866666666667	0.0222222222222	2249.0	0.0515126737531	48.0	0.0	0.0
MtetrA	CAA	Q	S	0.0	0.736111111111	0.111111111111	0.0416666666667	0.75	0.558139534884	0.0232558139535	2248.0	0.112473572939	48.0	0.0	0.0
NdelpA	CAA	Q	S	0.0	0.0457762375475	0.142857142857	0.0357142857143	0.892857142857	1.0	0.0357142857143	1412.0	0.132571824161	48.0	0.0	0.0
SoctoA	CAA	Q	S	0.0	0.529411764706	0.142857142857	0.0416666666667	0.625	0.96	0.04	1425.0	-0.269860279441	48.0	0.0	0.0
ClusiA	CAA	Q	S	0.0	0.06955082011	0.0833333333333	0.0243902439024	0.951219512195	1.0	0.0243902439024	2250.0	0.0348929421094	48.0	0.0	0.0
MguilA	CAA	Q	S	0.0	0.512820512821	0.0833333333333	0.0263157894737	0.973684210526	0.974358974359	0.025641025641	2250.0	0.0976878612717	48.0	0.0	0.0
DhansA	CAA	Q	S	0.0	0.0678724568627	0.0833333333333	0.025641025641	0.974358974359	1.0	0.025641025641	2250.0	0.0948638787539	48.0	0.0	0.0
CsalmA	CAA	Q	S	0.0	0.0543361021438	0.0909090909091	0.025	0.75	1.0	0.025	2153.0	-0.0560495823228	48.0	0.0	0.0
MingeA	CAA	Q	S	0.0	0.0628191804717	0.0833333333333	0.0227272727273	0.795454545455	0.977777777778	0.0222222222222	2249.0	0.0354263376496	48.0	0.0	0.0
