### Random Forest prediction
genome	codon	ori_aa	rea_aa	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Schistosoma	AGG	R	A	7.36811045298e-06	0.285714285714	0.125	0.0	0.25	0.09375	1212.0	0.371794871795	10.0	1
Schistosoma	AGA	R	A	7.36811045298e-06	0.571428571429	0.222222222222	0.0	0.28125	0.09375	1212.0	0.570057581574	8.0	1
Fasciola	AGG	R	A	0.00427350378169	0.4	0.2	0.0	0.222222222222	0.0444444444444	1299.0	0.861486486486	10.0	1
Lumbricus	AGA	R	A	0.0113636324403	0.142857142857	0.0833333333333	0.0	0.210526315789	0.0175438596491	1447.0	0.731213872832	8.0	1
Halocynthia	AGG	R	A	0.000273552867354	0.375	0.09375	0.0625	0.344086021505	0.0430107526882	1343.0	0.160733549083	10.0	1
Halocynthia	AGA	R	A	0.000273552867354	0.111111111111	0.037037037037	0.037037037037	0.290322580645	0.0430107526882	1343.0	-0.0518806744488	8.0	1
Limulus	AGA	R	A	0.0319148899441	0.2	0.111111111111	0.0	0.15	0.0166666666667	1439.0	0.652	8.0	1
Caenorhabditis	AGG	R	A	1.2280183846e-06	0.166666666667	0.0769230769231	0.0	0.151162790698	0.0813953488372	1322.0	0.505319148936	10.0	1
Caenorhabditis	AGA	R	A	1.2280183846e-06	0.333333333333	0.122448979592	0.0	0.56976744186	0.0813953488372	1322.0	0.393939393939	8.0	1
Katharina	AGG	R	A	3.52360695823e-05	0.2	0.166666666667	0.0	0.1	0.05	1441.0	0.037037037037	10.0	1
Katharina	AGA	R	A	3.52360695823e-05	0.333333333333	0.166666666667	0.0	0.2	0.05	1441.0	0.528735632184	8.0	1
Trichinella	CGA	R	A	0.0948275772779	0.166666666667	0.0454545454545	0.909090909091	0.360655737705	0.0327868852459	1246.0	-0.780604133545	56.0	0
Trichinella	AGA	R	A	0.0948275772779	0.2	0.0333333333333	0.0	0.491803278689	0.0327868852459	1246.0	0.248842592593	8.0	0
Balanoglossus	AGA	R	A	0.0106382941994	0.333333333333	0.25	0.0	0.078431372549	0.0196078431373	1452.0	0.6	8.0	1
Drosophila	AGA	R	A	0.00144927519553	0.25	0.142857142857	0.0	0.241379310345	0.0344827586207	1437.0	0.348958333333	8.0	1
Ciona	AGA	R	A	9.54927095823e-06	0.3	0.0519480519481	0.0	0.557971014493	0.0289855072464	1353.0	0.049135577798	8.0	1
Daphnia	AGA	R	A	0.0108695614646	0.166666666667	0.0714285714286	0.0	0.237288135593	0.0169491525424	1432.0	0.311224489796	8.0	1

### Alignment improvement:
AGG	Ala	1.53e-01
AGA	Ala	4.77e-07
