### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Dunaliella_salina	ATA	I	G	0.0	0.0181818152846	0.285714285714	0.0769230769231	0.269230769231	0.164556962025	0.0126582278481	1954.0	-2.59523809524	4.0	0.0
Pseudendoclonium_akinetum	ATT	I	G	0.0	0.864501863298	0.125	0.0118343195266	0.508875739645	0.552287581699	0.00980392156863	3709.0	-3.40031049013	5.0	0.0
Pseudendoclonium_akinetum	ATA	I	G	0.0	0.864501863298	0.0666666666667	0.010101010101	0.525252525253	0.323529411765	0.00980392156863	3709.0	-3.35032579532	4.0	0.0
Bracteacoccus_aerius	ATC	I	G	0.0	0.332298136646	0.0833333333333	0.0307692307692	0.630769230769	0.596330275229	0.0183486238532	2729.0	-3.30094392004	7.0	0.0
Pycnococcus_provasolii	ATT	I	G	0.0	0.0170254146833	0.0769230769231	0.00714285714286	0.635714285714	0.663507109005	0.0142180094787	2964.0	-3.57057757058	5.0	0.0
Pycnococcus_provasolii	ATC	I	G	0.0	0.0170254146833	0.0909090909091	0.03125	0.65625	0.151658767773	0.0142180094787	2964.0	-3.57159353349	7.0	0.0
Pycnococcus_provasolii	ATA	I	G	0.0	0.0170254146833	0.0833333333333	0.025641025641	0.025641025641	0.184834123223	0.0142180094787	2964.0	-2.93171188026	4.0	0.0
Bracteacoccus_minor	ATC	I	G	0.0	0.118421052632	0.1	0.0512820512821	0.666666666667	0.464285714286	0.0238095238095	2519.0	-3.1004784689	7.0	0.0
Chromochloris_zofingiensis	ATT	I	G	0.0	0.585858585859	0.166666666667	0.0208333333333	0.40625	0.849557522124	0.0176991150442	2378.0	-3.0377786173	5.0	0.0

### Alignment improvement:
