### Random Forest prediction
genome	codon	ori_aa	rea_aa	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	AAA	K	N	1.9887958671e-11	0.857142857143	0.882352941176	0.0	0.414634146341	0.365853658537	1452.0	4.25963488844	0.0	1
Schistosoma	AAG	K	N	0.00799793601651	0.166666666667	0.0526315789474	0.736842105263	0.655172413793	0.137931034483	1212.0	0.0630630630631	2.0	0
Schistosoma	AAA	K	N	0.00799793601651	0.5	0.3	0.1	0.344827586207	0.137931034483	1212.0	1.0625	0.0	1
Fasciola	AAG	K	N	0.0232456140351	0.166666666667	0.047619047619	0.761904761905	0.807692307692	0.115384615385	1299.0	0.0295081967213	2.0	0
Fasciola	AAA	K	N	0.0232456140351	0.25	0.4	0.2	0.192307692308	0.115384615385	1299.0	2.08633093525	0.0	1
Patiria	AAA	K	N	2.47386802981e-12	0.875	0.857142857143	0.0	0.477272727273	0.409090909091	1441.0	4.07666666667	0.0	1
Halocynthia	AAA	K	N	0.736842105263	0.142857142857	0.0833333333333	0.75	0.444444444444	0.037037037037	1343.0	0.570588235294	0.0	0
Caenorhabditis	AAA	K	N	0.592857142857	0.2	0.0666666666667	0.566666666667	0.882352941176	0.0588235294118	1322.0	-0.068287037037	0.0	0
Trichinella	AAA	K	N	0.611111111111	0.166666666667	0.047619047619	0.619047619048	0.75	0.0357142857143	1246.0	0.128925619835	0.0	0
Daphnia	AAA	K	N	0.16	0.125	0.0909090909091	0.636363636364	0.366666666667	0.0333333333333	1432.0	0.0225080385852	0.0	0

### Alignment improvement:
AAA	Asn	1.76e-06
