### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	TAT	Y	F	0.0	0.75	0.125	0.0333333333333	0.9	0.44776119403	0.0298507462687	1436.0	2.98321678322	17.0	0.0
Paracentrotus	TAC	Y	F	0.0	0.75	0.1	0.027027027027	0.945945945946	0.55223880597	0.0298507462687	1436.0	2.83489461358	19.0	0.0
Schistosoma	TAT	Y	F	0.0	0.779132653061	0.777777777778	0.155844155844	0.454545454545	0.939024390244	0.158536585366	1278.0	2.11074918567	17.0	0.0
Schistosoma	TAC	Y	F	0.0	0.779132653061	0.2	0.2	0.4	0.0609756097561	0.158536585366	1278.0	1.67226890756	19.0	0.0
Fasciola	TAT	Y	F	0.0	0.266969207919	0.454545454545	0.118644067797	0.457627118644	0.842857142857	0.142857142857	1341.0	1.67806267806	17.0	0.0
Fasciola	TAC	Y	F	0.0	0.266969207919	0.6	0.272727272727	0.454545454545	0.157142857143	0.142857142857	1341.0	2.92664092664	19.0	0.0
Patiria	TAC	Y	F	0.0	0.666666666667	0.0909090909091	0.0222222222222	0.955555555556	0.671641791045	0.0149253731343	1534.0	3.03816793893	19.0	0.0
Lumbricus	TAT	Y	F	0.0	0.832276743373	0.222222222222	0.0833333333333	0.916666666667	0.5	0.0694444444444	1525.0	3.09964412811	17.0	0.0
Lumbricus	TAC	Y	F	0.0	0.832276743373	0.2	0.0555555555556	0.861111111111	0.5	0.0694444444444	1525.0	2.86595492289	19.0	0.0
Halocynthia	TAT	Y	F	0.0	0.551020408163	0.4	0.0877192982456	0.754385964912	0.95	0.0833333333333	1418.0	2.76218611521	17.0	0.0
Limulus	TAT	Y	F	0.0	0.111654301196	0.5	0.125	0.825	0.597014925373	0.0746268656716	1521.0	3.08102345416	17.0	0.0
Caenorhabditis	TAT	Y	F	0.0	0.284210222551	0.333333333333	0.0645161290323	0.677419354839	0.898550724638	0.0724637681159	1433.0	2.29748127978	17.0	0.0
Caenorhabditis	TAC	Y	F	0.0	0.284210222551	0.166666666667	0.142857142857	0.714285714286	0.101449275362	0.0724637681159	1433.0	2.95209580838	19.0	0.0
Axinella	TAT	Y	F	0.0	0.795448853929	0.454545454545	0.109375	0.828125	0.864864864865	0.108108108108	1523.0	3.08964143426	17.0	0.0
Axinella	TAC	Y	F	0.0	0.795448853929	0.166666666667	0.1	0.9	0.135135135135	0.108108108108	1523.0	3.14732142857	19.0	0.0
