### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
CsantA	ATG	M	S	0.0	0.0484141741621	0.0909090909091	0.0172413793103	0.637931034483	1.0	0.0172413793103	2220.0	-1.14551671733	6.0	0.0	0.0
OanguA	ATG	M	S	0.0	0.0583040690947	0.0909090909091	0.0185185185185	0.833333333333	1.0	0.0185185185185	2248.0	-1.1044834308	6.0	0.0	0.0
MstarA	ATG	M	S	0.0	0.00135012872794	0.2	0.0357142857143	0.696428571429	1.0	0.0357142857143	2249.0	-1.0495385195	6.0	0.0	0.001
NbaciA	ATG	M	S	0.0	0.0446787439957	0.166666666667	0.0188679245283	0.641509433962	1.0	0.0188679245283	1428.0	-1.11244105912	6.0	0.0	0.0
LstarA	ATG	M	S	0.0	0.0521349983116	0.111111111111	0.015873015873	0.634920634921	1.0	0.015873015873	1834.0	-1.18539325843	6.0	0.0	0.0
CcastA	ATG	M	S	0.0	0.0396753508385	0.166666666667	0.0243902439024	0.731707317073	1.0	0.0243902439024	1428.0	-1.07278703921	6.0	0.0	0.0
ScryoA	ATG	M	S	0.0	0.0321210843583	0.166666666667	0.025	0.6	1.0	0.025	1424.0	-1.16544030382	6.0	0.0	0.0
PpastA	ATG	M	S	0.0	0.0619862224706	0.0909090909091	0.0172413793103	0.827586206897	1.0	0.0172413793103	2248.0	-1.10397326402	6.0	0.0	0.0
MmagnB	ATG	M	S	0.0	0.0508963429559	0.0909090909091	0.0175438596491	0.684210526316	1.0	0.0175438596491	2249.0	-1.14870848708	6.0	0.0	0.0
MmagnA	ATG	M	S	0.0	0.0508963429559	0.0909090909091	0.0175438596491	0.684210526316	1.0	0.0175438596491	2249.0	-1.14870848708	6.0	0.0	0.0
MtetrA	ATG	M	S	0.0	0.0496560689445	0.1	0.0172413793103	0.655172413793	1.0	0.0172413793103	2248.0	-1.1847649919	6.0	0.0	0.0
PkluyA	ATG	M	S	0.0	0.0583040690947	0.0909090909091	0.0166666666667	0.75	1.0	0.0166666666667	2247.0	-1.12782359269	6.0	0.0	0.0
BcustA	ATG	M	S	0.0	0.0558412735554	0.0909090909091	0.0161290322581	0.693548387097	1.0	0.0161290322581	2247.0	-1.14367716125	6.0	0.0	0.0
MingeA	ATG	M	S	0.0	0.0508963429559	0.1	0.0181818181818	0.709090909091	1.0	0.0181818181818	2249.0	-1.14291209848	6.0	0.0	0.0
