### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
CgallA	CAA	Q	T	0.0	0.0183499457193	0.0833333333333	0.0243902439024	0.878048780488	0.97619047619	0.0238095238095	2247.0	-0.822452229299	48.0	0.0	0.0
CsantA	CAA	Q	T	0.0	0.720588235294	0.1	0.0416666666667	0.75	0.521739130435	0.0217391304348	2220.0	-0.915017985612	48.0	0.0	0.0
MstarA	CAA	Q	T	0.0	0.0178584566107	0.0833333333333	0.0217391304348	0.760869565217	1.0	0.0217391304348	2249.0	-0.801499882822	48.0	0.0	0.0
NbaciA	CAA	Q	T	0.0	0.521739130435	0.142857142857	0.0384615384615	0.807692307692	0.962962962963	0.037037037037	1428.0	-0.81347728965	48.0	0.0	0.0
CcastA	CAA	Q	T	0.0	0.520833333333	0.142857142857	0.0416666666667	0.916666666667	0.96	0.04	1428.0	-0.79399837794	48.0	0.0	0.0
CphanA	CAA	Q	T	0.0	0.0183499457193	0.0833333333333	0.0238095238095	0.857142857143	1.0	0.0238095238095	2247.0	-0.804796286746	48.0	0.0	0.0
SjapoA	CAA	Q	T	0.0	0.578947368421	0.428571428571	0.115384615385	0.576923076923	0.962962962963	0.111111111111	1423.0	-0.600595016735	48.0	0.0	0.0
MmagnB	CAA	Q	T	0.0	0.583333333333	0.0909090909091	0.0263157894737	0.763157894737	0.844444444444	0.0222222222222	2249.0	-0.780487804878	48.0	0.0	0.0
MmagnA	CAA	Q	T	0.0	0.583333333333	0.0909090909091	0.025641025641	0.74358974359	0.866666666667	0.0222222222222	2249.0	-0.767511583538	48.0	0.0	0.0
YlipoB	CAA	Q	T	0.0	0.0183499457193	0.0833333333333	0.0243902439024	0.878048780488	1.0	0.0243902439024	2247.0	-0.80238410596	48.0	0.0	0.0
YlipoA	CAA	Q	T	0.0	0.0183499457193	0.0833333333333	0.0243902439024	0.878048780488	1.0	0.0243902439024	2247.0	-0.80238410596	48.0	0.0	0.0
CalimA	CAA	Q	T	0.0	0.513513513514	0.0833333333333	0.0243902439024	0.853658536585	0.97619047619	0.0238095238095	2247.0	-0.799470198675	48.0	0.0	0.0
CdefoA	CAA	Q	T	0.0	0.0183499457193	0.0833333333333	0.0238095238095	0.857142857143	1.0	0.0238095238095	2247.0	-0.804796286746	48.0	0.0	0.0
MingeA	CAA	Q	T	0.0	0.0178584566107	0.0833333333333	0.0227272727273	0.795454545455	0.977777777778	0.0222222222222	2249.0	-0.812118250672	48.0	0.0	0.0
