### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Schistosoma	AGG	R	A	0.0	4.6050690038e-06	0.428571428571	0.1875	0.0	0.246153846154	0.107692307692	1278.0	0.426356589147	10.0	0.0
Schistosoma	AGA	R	A	0.0	4.6050690038e-06	0.666666666667	0.210526315789	0.0526315789474	0.292307692308	0.107692307692	1278.0	0.476821192053	8.0	0.0
Fasciola	AGG	R	A	0.0	0.00574712603994	0.333333333333	0.181818181818	0.0	0.22	0.04	1341.0	0.613382899628	10.0	0.0
Lumbricus	AGA	R	A	0.0	0.0108695614646	0.125	0.0666666666667	0.0	0.241935483871	0.0161290322581	1525.0	0.573033707865	8.0	0.0
Halocynthia	AGG	R	A	0.0	1.47328548903e-05	0.375	0.0833333333333	0.0555555555556	0.356435643564	0.049504950495	1418.0	0.0755813953488	10.0	0.0
Halocynthia	AGA	R	A	0.0	1.47328548903e-05	0.2	0.0769230769231	0.0	0.257425742574	0.049504950495	1418.0	0.128078817734	8.0	0.0
Limulus	AGA	R	A	0.0	0.029411761321	0.2	0.1	0.0	0.153846153846	0.0153846153846	1521.0	0.737556561086	8.0	0.0
Caenorhabditis	AGG	R	A	0.0	1.37693971018e-07	0.142857142857	0.0666666666667	0.0	0.157894736842	0.0842105263158	1433.0	0.410764872521	10.0	0.0
Caenorhabditis	AGA	R	A	0.0	1.37693971018e-07	0.4	0.132075471698	0.0	0.557894736842	0.0842105263158	1433.0	0.421094369548	8.0	0.0
Terebratulina	AGG	R	A	0.0	0.0326086918994	0.333333333333	0.25	0.0	0.0701754385965	0.0175438596491	1487.0	0.104166666667	10.0	0.0
Katharina	AGG	R	A	0.0	2.80323957824e-06	0.333333333333	0.2	0.0	0.0833333333333	0.0666666666667	1515.0	0.636363636364	10.0	0.0
Katharina	AGA	R	A	0.0	2.80323957824e-06	0.5	0.25	0.0	0.2	0.0666666666667	1515.0	0.576923076923	8.0	0.0
Trichinella	CGA	R	A	0.0	0.0299395153982	0.166666666667	0.047619047619	0.952380952381	0.313432835821	0.044776119403	1259.0	-0.788732394366	56.0	0.0
Trichinella	AGA	R	A	0.0	0.0299395153982	0.333333333333	0.0588235294118	0.0	0.507462686567	0.044776119403	1259.0	0.27875	8.0	0.0
Balanoglossus	AGA	R	A	0.0	0.00961538129563	0.333333333333	0.25	0.0	0.0727272727273	0.0181818181818	1534.0	1.09183673469	8.0	0.0
Drosophila	AGA	R	A	0.0	0.0102040781097	0.166666666667	0.1	0.0	0.172413793103	0.0172413793103	1523.0	0.477876106195	8.0	0.0
Ciona	AGG	R	A	0.0	7.78402537186e-07	0.125	0.0416666666667	0.0	0.164383561644	0.041095890411	1411.0	0.127845884413	10.0	0.0
Ciona	AGA	R	A	0.0	7.78402537186e-07	0.3	0.0609756097561	0.0	0.561643835616	0.041095890411	1411.0	0.0622083981337	8.0	0.0
Daphnia	AGA	R	A	0.0	0.000392156727351	0.285714285714	0.133333333333	0.0	0.234375	0.03125	1517.0	0.345930232558	8.0	0.0

### Alignment improvement:
