### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
SpombA	ATT	I	T	0.0	0.273602074238	0.142857142857	0.0120481927711	0.626506024096	0.572413793103	0.0206896551724	1452.0	-0.822520966946	5.0	0.0
SpombA	ATC	I	T	0.0	0.273602074238	0.166666666667	0.03125	0.46875	0.220689655172	0.0206896551724	1452.0	-0.510960670535	7.0	0.0
SpombA	ATA	I	T	0.0	0.273602074238	0.142857142857	0.0333333333333	0.6	0.206896551724	0.0206896551724	1452.0	-0.70480081716	4.0	0.0
CgigaA	ATT	I	T	0.0	0.0805368918974	0.125	0.0526315789474	0.894736842105	0.11875	0.00625	1879.0	-0.627826086957	5.0	0.0
CsantA	ATT	I	T	0.0	0.0215257994857	0.181818181818	0.0571428571429	0.657142857143	0.15350877193	0.0263157894737	2073.0	-0.572920292377	5.0	0.0
CsantA	ATC	I	T	0.0	0.0215257994857	0.333333333333	0.25	0.5	0.0175438596491	0.0263157894737	2073.0	0.315384615385	7.0	0.0
CsantA	ATA	I	T	0.0	0.0215257994857	0.166666666667	0.015873015873	0.661375661376	0.828947368421	0.0263157894737	2073.0	-0.790915163661	4.0	0.0
CtropB	ATT	I	T	0.0	0.236842058018	0.0909090909091	0.0172413793103	0.879310344828	0.280193236715	0.0048309178744	2101.0	-0.851442487823	5.0	0.0
CtropA	ATT	I	T	0.0	0.23947363424	0.0909090909091	0.016393442623	0.885245901639	0.294685990338	0.0048309178744	2101.0	-0.844093650231	5.0	0.0
BarxA	ATA	I	T	0.0	0.625	1.0	0.0357142857143	0.714285714286	0.717948717949	0.025641025641	442.0	-0.719097222222	4.0	0.0
CsubhA	ATA	I	T	0.0	0.0801281818899	0.1	0.0384615384615	0.769230769231	0.142076502732	0.00546448087432	2098.0	-0.639222941721	4.0	0.0
CsubhB	ATA	I	T	0.0	0.0801281818899	0.1	0.0384615384615	0.769230769231	0.142076502732	0.00546448087432	2098.0	-0.639222941721	4.0	0.0
OanguA	ATT	I	T	0.0	0.803505907761	0.25	0.0206896551724	0.779310344828	0.707317073171	0.0146341463415	2101.0	-0.791971940764	5.0	0.0
CnorvA	ATA	I	T	0.0	0.375653711507	0.25	0.0188679245283	0.836477987421	0.732718894009	0.0138248847926	2101.0	-0.784751381215	4.0	0.0
CviswA	ATT	I	T	0.0	0.244897902816	0.0833333333333	0.013698630137	0.86301369863	0.328828828829	0.0045045045045	2101.0	-0.850969613681	5.0	0.0
MfariB	ATA	I	T	0.0	0.72099437881	0.0833333333333	0.00877192982456	0.877192982456	0.57	0.005	2101.0	-0.86032449864	4.0	0.0
CalaiA	ATA	I	T	1.0	0.705357041131	0.1	0.00869565217391	0.852173913043	0.569306930693	0.0049504950495	1905.0	-0.844147968466	4.0	0.0
CphanA	ATT	I	T	0.0	0.339869217862	0.0909090909091	0.0147058823529	0.808823529412	0.343434343434	0.00505050505051	2100.0	-0.839028475712	5.0	0.0
ScryoA	ATT	I	T	0.0	0.683290990815	0.285714285714	0.027027027027	0.63963963964	0.816176470588	0.0220588235294	1454.0	-0.81030336663	5.0	0.0
CneerA	ATC	I	T	0.0	0.102094205589	0.1	0.02	0.76	0.225225225225	0.0045045045045	2101.0	-0.724489795918	7.0	0.0
CsakeA	ATA	I	T	0.0	0.670390947654	0.0909090909091	0.00740740740741	0.866666666667	0.661764705882	0.00490196078431	2065.0	-0.881061299177	4.0	0.0
CjiufA	ATT	I	T	0.0	0.315455269625	0.0833333333333	0.00900900900901	0.90990990991	0.531100478469	0.00956937799043	2080.0	-0.869994905756	5.0	0.0
CjiufA	ATA	I	T	0.0	0.315455269625	0.1	0.0243902439024	0.853658536585	0.196172248804	0.00956937799043	2080.0	-0.752272060979	4.0	0.0
CzempA	ATT	I	T	0.0	0.498380106641	0.333333333333	0.025974025974	0.571428571429	0.445086705202	0.0173410404624	1455.0	-0.68540526105	5.0	0.0
CzempA	ATA	I	T	0.0	0.498380106641	0.142857142857	0.0111111111111	0.6	0.520231213873	0.0173410404624	1455.0	-0.725692061313	4.0	0.0
CfrijA	ATA	I	T	0.0	0.74607321076	0.0833333333333	0.00840336134454	0.806722689076	0.52422907489	0.00440528634361	2101.0	-0.810889929742	4.0	0.0
CgallA	ATA	I	T	0.0	0.410595960183	0.0833333333333	0.0128205128205	0.730769230769	0.40414507772	0.00518134715026	2101.0	-0.794514388489	4.0	0.0
PpastA	ATA	I	T	0.0	0.691823792972	0.0833333333333	0.00840336134454	0.81512605042	0.62962962963	0.00529100529101	2101.0	-0.83929400836	4.0	0.0
SjapoA	ATT	I	T	0.0	0.89434429111	0.428571428571	0.029702970297	0.623762376238	0.651612903226	0.0258064516129	1450.0	-0.724088780289	5.0	0.0
SjapoA	ATC	I	T	0.0	0.89434429111	0.142857142857	0.0333333333333	0.5	0.193548387097	0.0258064516129	1450.0	-0.722374742622	7.0	0.0
CalbiE	ATA	I	T	0.0	0.767676687466	0.2	0.0196078431373	0.882352941176	0.451327433628	0.00884955752212	1101.0	-0.774106958497	4.0	0.0
CtetrA	ATA	I	T	0.0	0.799999930949	0.0833333333333	0.0113636363636	0.852272727273	0.409302325581	0.0046511627907	2101.0	-0.803721865963	4.0	0.0
CcoryA	ATT	I	T	0.0	0.391025576844	0.0833333333333	0.0142857142857	0.814285714286	0.388888888889	0.00555555555556	2101.0	-0.824924399172	5.0	0.0
CsaraA	ATC	I	T	0.0	0.0703124757243	0.111111111111	0.0357142857143	0.928571428571	0.128440366972	0.0045871559633	2101.0	-0.755043227666	7.0	0.0
CsuavA	ATT	I	T	0.0	0.621546830664	0.0833333333333	0.00613496932515	0.834355828221	0.761682242991	0.00467289719626	2101.0	-0.879860418744	5.0	0.0
PkluyA	ATA	I	T	0.0	0.553116982978	0.166666666667	0.010989010989	0.752747252747	0.947916666667	0.0104166666667	2101.0	-0.85238301292	4.0	0.0
PcanaA	ATT	I	T	0.0	0.778863983242	0.1	0.0117647058824	0.870588235294	0.395348837209	0.0093023255814	2101.0	-0.828812459442	5.0	0.0
PcanaA	ATA	I	T	0.0	0.778863983242	0.0909090909091	0.00840336134454	0.789915966387	0.553488372093	0.0093023255814	2101.0	-0.875292680444	4.0	0.0
YlipoB	ATA	I	T	0.0	0.792763086345	0.0909090909091	0.0121951219512	0.756097560976	0.418367346939	0.00510204081633	2100.0	-0.807354001442	4.0	0.0
YlipoA	ATA	I	T	0.0	0.789473611526	0.0909090909091	0.0120481927711	0.759036144578	0.423469387755	0.00510204081633	2100.0	-0.808516719063	4.0	0.0
CjadiA	ATT	I	T	0.0	0.552777623372	0.0833333333333	0.00540540540541	0.864864864865	0.889423076923	0.00480769230769	2100.0	-0.881610989697	5.0	0.0
AgossB	ATA	I	T	4.0	0.00304114446927	0.333333333333	0.0454545454545	0.113636363636	0.229166666667	0.0104166666667	1456.0	-0.713695801789	4.0	0.0
