### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	AAT	N	T	0.0	0.523255813953	0.333333333333	0.0344827586207	0.689655172414	0.878787878788	0.030303030303	1424.0	0.00659304433822	1.0	0.0	0.0
WmucoA	AAT	N	T	0.0	0.193596789921	0.3	0.0666666666667	0.8	0.705882352941	0.0470588235294	2246.0	0.160593792173	1.0	0.0	0.0
CgallA	AAT	N	T	0.0	0.778726708075	0.153846153846	0.0322580645161	0.790322580645	0.738095238095	0.0357142857143	2247.0	0.0412299091544	1.0	0.0	0.0
CgallA	AAC	N	T	0.0	0.778726708075	0.111111111111	0.0454545454545	0.818181818182	0.261904761905	0.0357142857143	2247.0	0.00494604316547	3.0	0.0	0.0
CsantA	AAT	N	T	0.0	0.307692307692	0.0833333333333	0.0181818181818	0.8	0.654761904762	0.0238095238095	2220.0	-0.0240127009327	1.0	0.0	0.0
CsantA	AAC	N	T	0.0	0.307692307692	0.111111111111	0.0344827586207	0.655172413793	0.345238095238	0.0238095238095	2220.0	-0.125626342162	3.0	0.0	0.0
CnorvA	AAT	N	T	0.0	0.609330143541	0.384615384615	0.0674157303371	0.76404494382	0.967391304348	0.0652173913043	2249.0	0.0999505195448	1.0	0.0	0.0
MstarA	AAT	N	T	0.0	0.507352941176	0.0833333333333	0.0126582278481	0.835443037975	0.975308641975	0.0123456790123	2249.0	0.00285248573757	1.0	0.0	0.0
LstarA	AAT	N	T	0.0	0.541223404255	0.25	0.0350877192982	0.771929824561	0.966101694915	0.0338983050847	1834.0	0.1166635705	1.0	0.0	0.0
CphanA	AAT	N	T	0.0	0.405979419672	0.230769230769	0.0625	0.765625	0.761904761905	0.047619047619	2247.0	0.0653761249788	1.0	0.0	0.0
CglabA	AAT	N	T	0.0	0.54	0.142857142857	0.0204081632653	0.918367346939	0.924528301887	0.0188679245283	1413.0	0.066265060241	1.0	0.0	0.0
ScryoA	AAT	N	T	0.0	0.666666666667	0.166666666667	0.0243902439024	0.658536585366	0.621212121212	0.0151515151515	1424.0	-0.0491457992043	1.0	0.0	0.0
CneerA	AAT	N	T	0.0	0.553333333333	0.0833333333333	0.0140845070423	0.929577464789	0.898734177215	0.0126582278481	2249.0	0.0275382054774	1.0	0.0	0.0
HuvarA	AAC	N	T	0.0	0.707317073171	0.166666666667	0.0285714285714	0.657142857143	0.546875	0.015625	1361.0	-0.244148067501	3.0	0.0	0.0
KlactA	AAT	N	T	0.0	0.56862745098	0.166666666667	0.0208333333333	0.895833333333	0.872727272727	0.0181818181818	1408.0	0.0525480864565	1.0	0.0	0.0
CmetaB	AAT	N	T	0.0	0.686666666667	0.1	0.0208333333333	0.958333333333	0.631578947368	0.0131578947368	2250.0	0.0799358680715	1.0	0.0	0.0
CmetaC	AAT	N	T	0.0	0.686666666667	0.1	0.0208333333333	0.958333333333	0.631578947368	0.0131578947368	2250.0	0.0799358680715	1.0	0.0	0.0
CmetaA	AAT	N	T	0.0	0.686666666667	0.1	0.0208333333333	0.958333333333	0.631578947368	0.0131578947368	2250.0	0.0799358680715	1.0	0.0	0.0
CmetaF	AAT	N	T	0.0	0.686666666667	0.1	0.0208333333333	0.958333333333	0.631578947368	0.0131578947368	2250.0	0.0799358680715	1.0	0.0	0.0
CmetaD	AAT	N	T	0.0	0.686666666667	0.1	0.0208333333333	0.958333333333	0.631578947368	0.0131578947368	2250.0	0.0799358680715	1.0	0.0	0.0
CmetaE	AAT	N	T	0.0	0.686666666667	0.1	0.0208333333333	0.958333333333	0.631578947368	0.0131578947368	2250.0	0.0799358680715	1.0	0.0	0.0
PpastA	AAC	N	T	0.0	0.0507246376812	0.166666666667	0.125	0.75	0.103896103896	0.012987012987	2248.0	0.265700483092	3.0	0.0	0.0
SjapoA	AAT	N	T	0.0	0.629730167734	0.285714285714	0.0571428571429	0.514285714286	0.958904109589	0.0547945205479	1423.0	-0.0900123304562	1.0	0.0	0.0
MmagnB	AAC	N	T	0.0	0.55	0.0833333333333	0.0135135135135	0.837837837838	0.913580246914	0.0123456790123	2249.0	0.0145602795574	3.0	0.0	0.0
MmagnA	AAC	N	T	0.0	0.542857142857	0.0833333333333	0.0135135135135	0.851351351351	0.913580246914	0.0123456790123	2249.0	0.0330952033824	3.0	0.0	0.0
CparaA	AAT	N	T	0.0	0.655172413793	0.111111111111	0.0243902439024	0.951219512195	0.694915254237	0.0169491525424	1816.0	0.0884257955505	1.0	0.0	0.0
CparaC	AAT	N	T	0.0	0.662162162162	0.1	0.0196078431373	0.960784313725	0.68	0.0133333333333	2250.0	0.0694474306601	1.0	0.0	0.0
CparaB	AAT	N	T	0.0	0.662162162162	0.1	0.0196078431373	0.960784313725	0.68	0.0133333333333	2250.0	0.0694474306601	1.0	0.0	0.0
CparaE	AAT	N	T	0.0	0.662162162162	0.1	0.0196078431373	0.960784313725	0.68	0.0133333333333	2250.0	0.0694474306601	1.0	0.0	0.0
CparaD	AAT	N	T	0.0	0.662162162162	0.1	0.0196078431373	0.960784313725	0.68	0.0133333333333	2250.0	0.0694474306601	1.0	0.0	0.0
