### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Fsolani	ACT	T	L	3.0	0.425973985956	0.0769230769231	0.0227272727273	0.943181818182	0.48087431694	0.0109289617486	3599.0	-0.920614596671	13.0	0.0
Fusarium	ACT	T	L	4.0	0.272988425386	0.0833333333333	0.010989010989	0.879120879121	0.473958333333	0.00520833333333	3599.0	-0.904645476773	13.0	0.0
Aniger	ACC	T	L	2.0	0.0242771229193	0.5	0.5	0.0	0.0116279069767	0.0232558139535	3322.0	0.222222222222	15.0	0.0
Aniger	ACA	T	L	2.0	0.0242771229193	0.153846153846	0.02	0.74	0.581395348837	0.0232558139535	3322.0	-0.923250564334	12.0	0.0
Aniger	ACT	T	L	2.0	0.0242771229193	0.0909090909091	0.0142857142857	0.728571428571	0.406976744186	0.0232558139535	3322.0	-0.878086419753	13.0	0.0
Trichoderma	ACA	T	L	0.0	0.746323441829	0.1	0.0138888888889	0.944444444444	0.493150684932	0.00684931506849	2910.0	-0.800608828006	12.0	0.0
Paracoccidioides	ACT	T	L	0.0	0.737815528975	0.142857142857	0.016393442623	0.762295081967	0.734939759036	0.0120481927711	3509.0	-1.05306495883	13.0	0.0
Foxysporum	ACT	T	L	4.0	0.747058736201	0.0769230769231	0.010989010989	0.934065934066	0.502762430939	0.00552486187845	3599.0	-0.941463414634	13.0	0.0
Phaeosparia	ACA	T	L	0.0	0.832950670209	0.285714285714	0.0322580645161	0.806451612903	0.508196721311	0.0245901639344	2073.0	-0.812280701754	12.0	0.0
Phaeosparia	ACT	T	L	0.0	0.832950670209	0.166666666667	0.0204081632653	0.714285714286	0.401639344262	0.0245901639344	2073.0	-0.837362637363	13.0	0.0
Trychophyton	ACA	T	L	0.0	0.471581701246	0.142857142857	0.0181818181818	0.790909090909	0.604395604396	0.021978021978	3593.0	-0.933333333333	12.0	0.0
Trychophyton	ACT	T	L	0.0	0.471581701246	0.166666666667	0.0277777777778	0.763888888889	0.395604395604	0.021978021978	3593.0	-0.895223420647	13.0	0.0

### Alignment improvement:
