### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
CgallA	TTC	F	P	0.0	0.677304964539	0.0769230769231	0.00917431192661	0.825688073394	0.608938547486	0.00558659217877	2247.0	-3.63136920011	23.0	0.0	0.0
OanguA	TTT	F	P	0.0	0.697841726619	0.0769230769231	0.00934579439252	0.775700934579	0.618497109827	0.00578034682081	2248.0	-3.58086653693	21.0	0.0	0.0
CnorvA	TTC	F	P	0.0	0.0932835820895	0.166666666667	0.037037037037	0.888888888889	0.174193548387	0.00645161290323	2249.0	-3.61541193182	23.0	0.0	0.0
LstarA	TTT	F	P	0.0	0.716981132076	0.111111111111	0.0108695652174	0.641304347826	0.597402597403	0.00649350649351	1834.0	-3.48227440147	21.0	0.0	0.0
CcastA	TTC	F	P	0.0	0.163265306122	0.166666666667	0.025641025641	0.794871794872	0.339130434783	0.00869565217391	1428.0	-3.54858398438	23.0	0.0	0.0
CphanA	TTC	F	P	0.0	0.710714285714	0.0769230769231	0.0104166666667	0.833333333333	0.554913294798	0.00578034682081	2247.0	-3.62451011545	23.0	0.0	0.0
SjapoA	TTC	F	P	0.0	0.690476190476	0.166666666667	0.0133333333333	0.68	0.563909774436	0.00751879699248	1423.0	-3.44160020581	23.0	0.0	0.0
CsuavA	TTT	F	P	0.0	0.737410071942	0.0769230769231	0.0111111111111	0.8	0.535714285714	0.00595238095238	2250.0	-3.68351895883	21.0	0.0	0.0
PcanaA	TTT	F	P	0.0	0.629496402878	0.0769230769231	0.00806451612903	0.822580645161	0.760736196319	0.00613496932515	2250.0	-3.70314842579	21.0	0.0	0.0
YlipoB	TTC	F	P	0.0	0.673758865248	0.0769230769231	0.00917431192661	0.834862385321	0.61581920904	0.00564971751412	2247.0	-3.6650726676	23.0	0.0	0.0
YlipoA	TTC	F	P	0.0	0.673758865248	0.0769230769231	0.00917431192661	0.834862385321	0.61581920904	0.00564971751412	2247.0	-3.6650726676	23.0	0.0	0.0
CjadiA	TTT	F	P	0.0	0.248201438849	0.0769230769231	0.0113636363636	0.772727272727	0.517647058824	0.00588235294118	2250.0	-3.64763354904	21.0	0.0	0.0
CalimA	TTC	F	P	0.0	0.648936170213	0.0769230769231	0.00854700854701	0.837606837607	0.672413793103	0.00574712643678	2247.0	-3.63850704716	23.0	0.0	0.0
BcaliA	TTT	F	P	0.0	0.636029411765	0.0769230769231	0.00869565217391	0.852173913043	0.746753246753	0.00649350649351	2250.0	-3.71553195524	21.0	0.0	0.0
CvartA	TTT	F	P	0.0	0.703571428571	0.0769230769231	0.00952380952381	0.780952380952	0.617647058824	0.00588235294118	2250.0	-3.67423922232	21.0	0.0	0.0
CbuenA	TTT	F	P	0.0	0.736111111111	0.0909090909091	0.0120481927711	0.903614457831	0.535483870968	0.00645161290323	2248.0	-3.74780361757	21.0	0.0	0.0
CdefoA	TTC	F	P	0.0	0.682142857143	0.0769230769231	0.00943396226415	0.830188679245	0.605714285714	0.00571428571429	2247.0	-3.64825046041	23.0	0.0	0.0
CsalmA	TTT	F	P	0.0	0.640350877193	0.0833333333333	0.00909090909091	0.736363636364	0.709677419355	0.00645161290323	2153.0	-3.58958920074	21.0	0.0	0.0
