### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
LmeyeA	ATG	M	G	0.0	0.0110729191322	0.166666666667	0.0232558139535	0.883720930233	1.0	0.0232558139535	1429.0	-2.96046459683	6.0	0.0	0.0
SpombA	ATG	M	G	0.0	0.00682868873357	0.166666666667	0.025	0.575	1.0	0.025	1424.0	-3.02158444023	6.0	0.0	0.0
CsantA	ATG	M	G	0.0	5.99602539268e-05	0.181818181818	0.0344827586207	0.637931034483	1.0	0.0344827586207	2220.0	-2.94015957447	6.0	0.0	0.194
KtherA	ATG	M	G	0.0	0.0110729191322	0.166666666667	0.0232558139535	0.883720930233	1.0	0.0232558139535	1429.0	-2.95711413893	6.0	0.0	0.0
MfariA	ATG	M	G	0.0	0.0161420611404	0.1	0.015625	0.875	1.0	0.015625	2248.0	-2.98320987654	6.0	0.0	0.0
LanspB	ATG	M	G	0.0	0.0110729191322	0.166666666667	0.0232558139535	0.883720930233	1.0	0.0232558139535	1429.0	-2.96046459683	6.0	0.0	0.0
LanspA	ATG	M	G	0.0	0.0107905355712	0.166666666667	0.0232558139535	0.860465116279	1.0	0.0232558139535	1429.0	-2.97677015859	6.0	0.0	0.0
ScryoA	ATG	M	G	0.0	0.00711220325867	0.166666666667	0.025	0.6	1.0	0.025	1424.0	-2.94255874674	6.0	0.0	0.0
HuvarA	ATG	M	G	0.0	0.00796226132748	0.166666666667	0.0185185185185	0.5	1.0	0.0185185185185	1361.0	-2.86176418596	6.0	0.0	0.001
SjapoA	ATG	M	G	0.0	0.00540990130165	0.2	0.0285714285714	0.514285714286	1.0	0.0285714285714	1423.0	-2.7003531649	6.0	0.0	0.0
CcoryA	ATG	M	G	0.0	0.0164229170342	0.0833333333333	0.0151515151515	0.863636363636	1.0	0.0151515151515	2250.0	-2.96891439503	6.0	0.0	0.0
SoctoA	ATG	M	G	0.0	0.00711220325867	0.166666666667	0.0263157894737	0.631578947368	1.0	0.0263157894737	1425.0	-2.99001996008	6.0	0.0	0.0
LdasiA	ATG	M	G	0.0	0.0110729191322	0.166666666667	0.0238095238095	0.904761904762	1.0	0.0238095238095	1429.0	-2.93918609968	6.0	0.0	0.0
LkluyF	ATG	M	G	0.0	0.0113552220829	0.166666666667	0.0222222222222	0.866666666667	1.0	0.0222222222222	1429.0	-2.98120862695	6.0	0.0	0.0
LkluyE	ATG	M	G	0.0	0.0113552220829	0.166666666667	0.0222222222222	0.866666666667	1.0	0.0222222222222	1429.0	-2.98120862695	6.0	0.0	0.0
LkluyD	ATG	M	G	0.0	0.0110729191322	0.166666666667	0.0227272727273	0.863636363636	1.0	0.0227272727273	1429.0	-2.97336244541	6.0	0.0	0.0
LkluyC	ATG	M	G	0.0	0.0113552220829	0.166666666667	0.0222222222222	0.866666666667	1.0	0.0222222222222	1429.0	-2.98120862695	6.0	0.0	0.0
LkluyA	ATG	M	G	0.0	0.0113552220829	0.166666666667	0.0222222222222	0.866666666667	1.0	0.0222222222222	1429.0	-2.98120862695	6.0	0.0	0.0
LnothA	ATG	M	G	0.0	0.0110729191322	0.166666666667	0.0238095238095	0.904761904762	1.0	0.0238095238095	1429.0	-2.93918609968	6.0	0.0	0.0
