### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
LmeyeA	TTC	F	L	0.0	0.548196349963	0.333333333333	0.0566037735849	0.88679245283	0.430894308943	0.0487804878049	1456.0	0.129530713468	23.0	0.0
LmeyeA	TTT	F	L	0.0	0.548196349963	0.333333333333	0.0428571428571	0.928571428571	0.569105691057	0.0487804878049	1456.0	0.104245973646	21.0	0.0
SpombA	TTC	F	L	0.0	0.173776407299	0.428571428571	0.0779220779221	0.701298701299	0.620967741935	0.104838709677	1452.0	0.219043835254	23.0	0.0
SpombA	TTT	F	L	0.0	0.173776407299	0.666666666667	0.148936170213	0.617021276596	0.379032258065	0.104838709677	1452.0	0.291067538126	21.0	0.0
SpastA	TTC	F	L	0.0	0.829787384447	0.333333333333	0.0363636363636	0.890909090909	0.478260869565	0.0434782608696	1456.0	0.0706381409074	23.0	0.0
SpastA	TTT	F	L	0.0	0.829787384447	0.333333333333	0.05	0.95	0.521739130435	0.0434782608696	1456.0	0.157437382859	21.0	0.0
AacerA	TTC	F	L	0.0	0.339285714286	0.5	0.0689655172414	0.896551724138	0.557692307692	0.0384615384615	643.0	0.0933560477002	23.0	0.0
CmetaD	TTC	F	L	0.0	0.259746588694	0.1	0.013698630137	0.917808219178	0.514084507042	0.0352112676056	2101.0	0.0366071428571	23.0	0.0
CmetaD	TTT	F	L	0.0	0.259746588694	0.363636363636	0.0579710144928	0.927536231884	0.485915492958	0.0352112676056	2101.0	0.21331566744	21.0	0.0
CgigaA	TTC	F	L	0.0	0.723943767454	0.363636363636	0.0420168067227	0.90756302521	0.894736842105	0.0375939849624	1879.0	0.186707115279	23.0	0.0
CsantA	TTC	F	L	0.0	0.332787067426	0.375	0.107142857143	0.821428571429	0.207407407407	0.0740740740741	2073.0	0.368421052632	23.0	0.0
CsantA	TTT	F	L	0.0	0.332787067426	0.333333333333	0.0654205607477	0.822429906542	0.792592592593	0.0740740740741	2073.0	0.190131233596	21.0	0.0
CtropB	TTC	F	L	0.0	0.386734681178	0.25	0.0350877192982	0.921052631579	0.797202797203	0.027972027972	2101.0	0.0773040691464	23.0	0.0
CtropA	TTC	F	L	0.0	0.792955550992	0.25	0.0344827586207	0.922413793103	0.811188811189	0.027972027972	2101.0	0.0746069556932	23.0	0.0
WpijpA	TTC	F	L	0.0	0.462432094313	0.285714285714	0.0263157894737	0.894736842105	0.633333333333	0.0333333333333	1456.0	0.0299932750504	23.0	0.0
WpijpA	TTT	F	L	0.0	0.462432094313	0.166666666667	0.0454545454545	0.909090909091	0.366666666667	0.0333333333333	1456.0	0.143054914629	21.0	0.0
BarxA	TTC	F	L	0.0	0.749644381223	1.0	0.0588235294118	0.882352941176	0.435897435897	0.0512820512821	442.0	0.0285714285714	23.0	0.0
BarxA	TTT	F	L	0.0	0.749644381223	1.0	0.0454545454545	0.954545454545	0.564102564103	0.0512820512821	442.0	0.349977905435	21.0	0.0
CoxycA	TTT	F	L	0.0	0.205882352941	1.0	0.0714285714286	0.928571428571	0.4	0.0285714285714	442.0	0.288688410826	21.0	0.0
CsubhA	TTC	F	L	0.0	0.530880905512	0.333333333333	0.0287769784173	0.877697841727	0.985815602837	0.0283687943262	2098.0	0.0469679909924	23.0	0.0
CsubhB	TTC	F	L	0.0	0.530880905512	0.333333333333	0.0287769784173	0.877697841727	0.985815602837	0.0283687943262	2098.0	0.0469679909924	23.0	0.0
OanguA	TTC	F	L	0.0	0.442593662981	0.25	0.089552238806	0.835820895522	0.403614457831	0.066265060241	2101.0	0.262997432606	23.0	0.0
OanguA	TTT	F	L	0.0	0.442593662981	0.333333333333	0.0505050505051	0.808080808081	0.596385542169	0.066265060241	2101.0	0.0449399260628	21.0	0.0
SarboA	TTT	F	L	0.0	0.054509146188	0.428571428571	0.0810810810811	0.905405405405	0.632478632479	0.0512820512821	1456.0	0.222422394678	21.0	0.0
CcastA	TTC	F	L	0.0	0.856920551358	0.5	0.0731707317073	0.829268292683	0.347457627119	0.0677966101695	1455.0	0.207579886054	23.0	0.0
CcastA	TTT	F	L	0.0	0.856920551358	0.428571428571	0.0649350649351	0.87012987013	0.652542372881	0.0677966101695	1455.0	0.200238379023	21.0	0.0
KtherA	TTC	F	L	0.0	0.320732766241	0.5	0.0666666666667	0.883333333333	0.491803278689	0.0491803278689	1456.0	0.183556081881	23.0	0.0
KtherA	TTT	F	L	0.0	0.320732766241	0.333333333333	0.0322580645161	0.91935483871	0.508196721311	0.0491803278689	1456.0	0.0226147243315	21.0	0.0
CblacA	TTT	F	L	0.0	0.75	1.0	0.0625	0.9375	0.5	0.03125	442.0	0.248481166464	21.0	0.0
CnorvA	TTC	F	L	0.0	0.840112713733	0.2	0.0357142857143	0.928571428571	0.184210526316	0.0592105263158	2101.0	0.135390199637	23.0	0.0
CnorvA	TTT	F	L	0.0	0.840112713733	0.5	0.0645161290323	0.862903225806	0.815789473684	0.0592105263158	2101.0	0.128564878496	21.0	0.0
CviswA	TTC	F	L	0.0	0.85452886776	0.181818181818	0.051724137931	0.844827586207	0.391891891892	0.0472972972973	2101.0	0.172994202356	23.0	0.0
CviswA	TTT	F	L	0.0	0.85452886776	0.272727272727	0.0444444444444	0.9	0.608108108108	0.0472972972973	2101.0	0.131817617095	21.0	0.0
MstarA	TTC	F	L	0.0	0.336469969039	0.125	0.0769230769231	0.769230769231	0.245283018868	0.0566037735849	2101.0	0.277178204791	23.0	0.0
MstarA	TTT	F	L	0.0	0.336469969039	0.416666666667	0.05	0.808333333333	0.754716981132	0.0566037735849	2101.0	0.142775502429	21.0	0.0
NbaciA	TTC	F	L	0.0	0.275263812225	0.166666666667	0.0566037735849	0.905660377358	0.427419354839	0.0887096774194	1455.0	0.126509488212	23.0	0.0
NbaciA	TTT	F	L	0.0	0.275263812225	0.571428571429	0.112676056338	0.816901408451	0.572580645161	0.0887096774194	1455.0	0.395479412612	21.0	0.0
LstarA	TTC	F	L	0.0	0.350877369965	0.3	0.0806451612903	0.741935483871	0.421768707483	0.108843537415	1779.0	0.228345038718	23.0	0.0
LstarA	TTT	F	L	0.0	0.350877369965	0.444444444444	0.129411764706	0.682352941176	0.578231292517	0.108843537415	1779.0	0.372696600052	21.0	0.0
MfariA	TTC	F	L	0.0	0.858090627426	0.272727272727	0.046875	0.890625	0.415584415584	0.0519480519481	2101.0	0.203675344564	23.0	0.0
MfariA	TTT	F	L	0.0	0.858090627426	0.272727272727	0.0555555555556	0.911111111111	0.584415584416	0.0519480519481	2101.0	0.156292877635	21.0	0.0
MfariB	TTT	F	L	0.0	0.0440277680766	0.363636363636	0.0561797752809	0.887640449438	0.577922077922	0.0324675324675	2101.0	0.130696044066	21.0	0.0
CalaiA	TTT	F	L	0.0	0.776839264294	0.2	0.0294117647059	0.901960784314	0.761194029851	0.0223880597015	1905.0	0.0388618246236	21.0	0.0
LanspB	TTC	F	L	0.0	0.540620606133	0.333333333333	0.06	0.88	0.406504065041	0.0487804878049	1456.0	0.159772911598	23.0	0.0
LanspB	TTT	F	L	0.0	0.540620606133	0.285714285714	0.041095890411	0.931506849315	0.593495934959	0.0487804878049	1456.0	0.0844537815126	21.0	0.0
CphanA	TTC	F	L	0.0	0.665575790206	0.333333333333	0.0744680851064	0.840425531915	0.58024691358	0.0802469135802	2100.0	0.2613036493	23.0	0.0
CphanA	TTT	F	L	0.0	0.665575790206	0.272727272727	0.0882352941176	0.794117647059	0.41975308642	0.0802469135802	2100.0	0.167269736842	21.0	0.0
LanspA	TTC	F	L	0.0	0.491188918815	0.166666666667	0.0166666666667	0.933333333333	0.495867768595	0.0330578512397	1456.0	0.0653206650831	23.0	0.0
LanspA	TTT	F	L	0.0	0.491188918815	0.333333333333	0.0491803278689	0.901639344262	0.504132231405	0.0330578512397	1456.0	0.050510118749	21.0	0.0
CsojaA	TTT	F	L	0.0	0.0808481724883	0.428571428571	0.078431372549	0.901960784314	0.56043956044	0.043956043956	1435.0	0.265111111111	21.0	0.0
CglabA	TTC	F	L	0.0	0.23464078279	0.333333333333	0.0363636363636	0.872727272727	0.450819672131	0.0737704918033	1439.0	0.146585230428	23.0	0.0
CglabA	TTT	F	L	0.0	0.23464078279	0.666666666667	0.10447761194	0.865671641791	0.549180327869	0.0737704918033	1439.0	0.294144556267	21.0	0.0
ScryoA	TTC	F	L	0.0	0.0265630035823	0.333333333333	0.0487804878049	0.69512195122	0.661290322581	0.0887096774194	1454.0	0.091429282249	23.0	0.0
ScryoA	TTT	F	L	0.0	0.0265630035823	0.833333333333	0.166666666667	0.571428571429	0.338709677419	0.0887096774194	1454.0	0.480731707317	21.0	0.0
CneerA	TTT	F	L	0.0	0.0195134847876	0.363636363636	0.0779220779221	0.883116883117	0.534722222222	0.0416666666667	2101.0	0.242081784387	21.0	0.0
CsakeA	TTC	F	L	0.0	0.274151766117	0.3	0.0666666666667	0.888888888889	0.304054054054	0.0405405405405	2065.0	0.2168355041	23.0	0.0
CsakeA	TTT	F	L	0.0	0.274151766117	0.3	0.0291262135922	0.912621359223	0.695945945946	0.0405405405405	2065.0	0.083775875149	21.0	0.0
HuvarA	TTC	F	L	0.0	0.59088087274	0.5	0.0701754385965	0.789473684211	0.558823529412	0.078431372549	1397.0	0.180712113079	23.0	0.0
HuvarA	TTT	F	L	0.0	0.59088087274	0.5	0.0888888888889	0.755555555556	0.441176470588	0.078431372549	1397.0	0.289783001808	21.0	0.0
CjiufA	TTC	F	L	0.0	0.354855262928	0.181818181818	0.027397260274	0.904109589041	0.503448275862	0.048275862069	2080.0	0.0961893054702	23.0	0.0
CjiufA	TTT	F	L	0.0	0.354855262928	0.5	0.0694444444444	0.916666666667	0.496551724138	0.048275862069	2080.0	0.215608263198	21.0	0.0
KlactA	TTC	F	L	0.0	0.592319379326	0.142857142857	0.0555555555556	0.902777777778	0.595041322314	0.0661157024793	1434.0	0.188692579505	23.0	0.0
KlactA	TTT	F	L	0.0	0.592319379326	0.333333333333	0.0816326530612	0.857142857143	0.404958677686	0.0661157024793	1434.0	0.163120567376	21.0	0.0
CzempA	TTC	F	L	0.0	0.874902869912	0.285714285714	0.105263157895	0.736842105263	0.308943089431	0.105691056911	1455.0	0.122231118228	23.0	0.0
CzempA	TTT	F	L	0.0	0.874902869912	0.571428571429	0.105882352941	0.729411764706	0.691056910569	0.105691056911	1455.0	0.316074653823	21.0	0.0
CmetaB	TTC	F	L	0.0	0.259746588694	0.1	0.013698630137	0.917808219178	0.514084507042	0.0352112676056	2101.0	0.0366071428571	23.0	0.0
CmetaB	TTT	F	L	0.0	0.259746588694	0.363636363636	0.0579710144928	0.927536231884	0.485915492958	0.0352112676056	2101.0	0.21331566744	21.0	0.0
CmetaC	TTC	F	L	0.0	0.259746588694	0.1	0.013698630137	0.917808219178	0.514084507042	0.0352112676056	2101.0	0.0366071428571	23.0	0.0
CmetaC	TTT	F	L	0.0	0.259746588694	0.363636363636	0.0579710144928	0.927536231884	0.485915492958	0.0352112676056	2101.0	0.21331566744	21.0	0.0
CmetaA	TTC	F	L	0.0	0.259746588694	0.1	0.013698630137	0.917808219178	0.514084507042	0.0352112676056	2101.0	0.0366071428571	23.0	0.0
CmetaA	TTT	F	L	0.0	0.259746588694	0.363636363636	0.0579710144928	0.927536231884	0.485915492958	0.0352112676056	2101.0	0.21331566744	21.0	0.0
CmetaF	TTC	F	L	0.0	0.259746588694	0.1	0.013698630137	0.917808219178	0.514084507042	0.0352112676056	2101.0	0.0366071428571	23.0	0.0
CmetaF	TTT	F	L	0.0	0.259746588694	0.363636363636	0.0579710144928	0.927536231884	0.485915492958	0.0352112676056	2101.0	0.21331566744	21.0	0.0
