### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Aphrocallistes_vastus	TGT	C	W	0.0	0.75	0.333333333333	0.333333333333	0.666666666667	0.428571428571	0.142857142857	1349.0	1.67521367521	25.0	0.0	0.004
Fasciola	TGT	C	W	0.0	2.23461526726e-07	0.2	0.0555555555556	0.0833333333333	0.947368421053	0.0526315789474	1332.0	-1.48648648649	25.0	0.0	0.049
Trichobilharzia_regenti	TGT	C	W	0.0	0.000597900488097	0.111111111111	0.03125	0.09375	1.0	0.03125	1324.0	-1.89334402566	25.0	0.0	0.028
Versteria_mustelae	TGT	C	W	0.0	2.23461526726e-07	0.222222222222	0.0625	0.09375	0.941176470588	0.0588235294118	1328.0	-1.64915117219	25.0	0.0	0.051
Haplorchis_taichui	TGT	C	W	0.0	0.000597900488097	0.1	0.030303030303	0.0909090909091	0.970588235294	0.0294117647059	1320.0	-1.84263565891	25.0	0.0	0.028
Echinococcus_equinus	TGT	C	W	0.0	0.000597900488097	0.1	0.0322580645161	0.0967741935484	0.96875	0.03125	1331.0	-2.03839732888	25.0	0.0	0.028
Taenia_crassiceps	TGC	C	W	0.0	0.125	0.333333333333	0.333333333333	0.0	0.0833333333333	0.0277777777778	1333.0	0.823008849558	27.0	0.0	0.013
Amphimedon_queenslandica	TGC	C	W	0.0	0.25	0.333333333333	0.333333333333	0.666666666667	0.5	0.166666666667	1351.0	1.4	27.0	0.0	0.004
Tetrancistrum_nebulosi	TGC	C	W	0.0	0.25	0.333333333333	0.166666666667	0.0833333333333	0.363636363636	0.0606060606061	1333.0	0.316017316017	27.0	0.0	0.0
Trichinella	TGC	C	W	0.0	0.125	0.5	0.5	0.0	0.153846153846	0.0769230769231	1343.0	1.94736842105	27.0	0.0	0.056
Pseudogarypus_banksi	TGT	C	W	0.0	0.625	0.25	0.2	0.4	0.714285714286	0.142857142857	1347.0	-0.410256410256	25.0	0.0	0.0
Benedenia_hoshinai	TGC	C	W	0.0	0.7	0.2	0.125	0.25	0.25	0.0625	1333.0	-0.830670926518	27.0	0.0	0.0
Benedenia_hoshinai	TGT	C	W	0.0	0.7	0.111111111111	0.0416666666667	0.0416666666667	0.75	0.0625	1333.0	-1.43057050592	25.0	0.0	0.0
Ciona	TGT	C	W	0.0	0.000747319744739	0.125	0.1	0.4	1.0	0.1	1348.0	-1.64948453608	25.0	0.0	0.028
Caenorhabditis	TGT	C	W	0.0	0.000747319744739	0.111111111111	0.0526315789474	0.210526315789	1.0	0.0526315789474	1346.0	-1.4749661705	25.0	0.0	0.034
