### Random Forest prediction
genome	codon	ori_aa	rea_aa	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	ATG	M	I	0.0171428571429	0.25	0.173913043478	0.434782608696	1.0	0.173913043478	1404.0	2.11851851852	6.0	1
Schistosoma	ATG	M	I	0.0	0.375	0.162162162162	0.162162162162	1.0	0.162162162162	1194.0	0.908680947012	6.0	1
Fasciola	ATG	M	I	0.00307692307692	0.5	0.194444444444	0.166666666667	1.0	0.194444444444	1268.0	1.4021101993	6.0	1
Patiria	ATG	M	I	0.0133333333333	0.25	0.208333333333	0.416666666667	1.0	0.208333333333	1396.0	2.21238938053	6.0	1
Lumbricus	ATG	M	I	0.02	0.2	0.125	0.375	1.0	0.125	1402.0	1.65760869565	6.0	1
Halocynthia	ATG	M	I	0.0222222222222	0.333333333333	0.125	0.4375	1.0	0.125	1309.0	2.01604278075	6.0	0
Caenorhabditis	ATG	M	I	0.008	0.333333333333	0.133333333333	0.2	1.0	0.133333333333	1295.0	1.35989010989	6.0	1
Axinella	ATG	M	I	0.0171428571429	0.333333333333	0.16	0.4	1.0	0.16	1401.0	1.55743243243	6.0	1
Terebratulina	ATG	M	I	0.02	0.333333333333	0.166666666667	0.5	1.0	0.166666666667	1380.0	2.00709219858	6.0	0
Bfloridae	ATG	M	I	0.0	0.25	0.166666666667	0.166666666667	1.0	0.166666666667	757.0	0.972413793103	6.0	1
Geodia	ATG	M	I	0.0215384615385	0.333333333333	0.15	0.5	1.0	0.15	1402.0	1.71762208068	6.0	0
Metridium	ATG	M	I	0.0133333333333	0.285714285714	0.192307692308	0.384615384615	1.0	0.192307692308	1403.0	1.81818181818	6.0	1
Acropora	ATG	M	I	0.0171428571429	0.25	0.16	0.4	1.0	0.16	1402.0	1.7380952381	6.0	1
Balanoglossus	ATG	M	I	0.00705882352941	0.5	0.35	0.5	1.0	0.35	1404.0	2.35244161359	6.0	1
Saccoglossus	ATG	M	I	0.01	0.5	0.315789473684	0.526315789474	1.0	0.315789473684	1402.0	2.33111111111	6.0	1
Daphnia	ATG	M	I	0.0285714285714	0.25	0.125	0.75	1.0	0.125	1391.0	2.18181818182	6.0	0
Homo	ATG	M	I	0.0133333333333	0.166666666667	0.125	0.25	1.0	0.125	1403.0	1.65789473684	6.0	1
Blanceolatum	ATG	M	I	0.0	0.333333333333	0.166666666667	0.166666666667	1.0	0.166666666667	755.0	2.00680272109	6.0	1

### Alignment improvement:
ATG	Ile	1.76e-15
