### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
CgallA	ACA	T	P	0.0	0.780894308943	0.0833333333333	0.027397260274	0.643835616438	0.623931623932	0.025641025641	2247.0	-1.13362068966	12.0	0.0	0.0
CgallA	ACT	T	P	0.0	0.780894308943	0.0909090909091	0.0227272727273	0.727272727273	0.376068376068	0.025641025641	2247.0	-1.06269925611	13.0	0.0	0.0
CsantA	ACA	T	P	0.0	0.471428511704	0.153846153846	0.0357142857143	0.625	0.474576271186	0.0254237288136	2220.0	-1.06	12.0	0.0	0.0
CsantA	ACT	T	P	0.0	0.471428511704	0.0909090909091	0.0185185185185	0.685185185185	0.457627118644	0.0254237288136	2220.0	-1.25492227979	13.0	0.0	0.0
BarxA	ACA	T	P	0.0	0.71875	1.0	0.0666666666667	0.533333333333	0.6	0.04	434.0	-0.856363636364	12.0	0.0	0.048
OanguA	ACT	T	P	0.0	0.738888798739	0.0909090909091	0.0166666666667	0.766666666667	0.508474576271	0.00847457627119	2248.0	-1.11606797992	13.0	0.0	0.0
MstarA	ACA	T	P	0.0	0.244186046512	0.1	0.0181818181818	0.745454545455	0.5	0.00909090909091	2249.0	-1.04628384867	12.0	0.0	0.0
CphanA	ACA	T	P	0.0	0.377822944896	0.153846153846	0.037037037037	0.679012345679	0.698275862069	0.0258620689655	2247.0	-1.02506527415	12.0	0.0	0.0
HuvarA	ACG	T	P	0.0	0.0172413733577	1.0	0.5	0.0	0.0344827586207	0.0172413793103	1361.0	1.97087378641	14.0	0.0	0.053
CzempA	ACA	T	P	0.0	0.749999913687	0.166666666667	0.03125	0.65625	0.484848484848	0.0151515151515	1428.0	-1.17850692354	12.0	0.0	0.0
MmagnB	ACT	T	P	0.0	0.133720892094	0.1	0.0384615384615	0.692307692308	0.222222222222	0.00854700854701	2249.0	-0.968575118381	13.0	0.0	0.0
MmagnA	ACT	T	P	0.0	0.127906936598	0.1	0.0384615384615	0.730769230769	0.222222222222	0.00854700854701	2249.0	-0.964270340077	13.0	0.0	0.0
MtetrA	ACA	T	P	0.0	0.749999913687	0.0909090909091	0.015873015873	0.650793650794	0.533898305085	0.00847457627119	2248.0	-1.12158849485	12.0	0.0	0.0
PkluyA	ACA	T	P	0.0	0.559782456709	0.0909090909091	0.010101010101	0.808080808081	0.87610619469	0.00884955752212	2247.0	-1.19937052312	12.0	0.0	0.0
YlipoB	ACA	T	P	0.0	0.414703469292	0.0833333333333	0.0142857142857	0.657142857143	0.598290598291	0.025641025641	2247.0	-1.18467852257	12.0	0.0	0.0
YlipoB	ACT	T	P	0.0	0.414703469292	0.181818181818	0.0425531914894	0.68085106383	0.401709401709	0.025641025641	2247.0	-0.944484672942	13.0	0.0	0.0
YlipoA	ACA	T	P	0.0	0.414703469292	0.0833333333333	0.0142857142857	0.657142857143	0.598290598291	0.025641025641	2247.0	-1.18467852257	12.0	0.0	0.0
YlipoA	ACT	T	P	0.0	0.414703469292	0.181818181818	0.0425531914894	0.68085106383	0.401709401709	0.025641025641	2247.0	-0.944484672942	13.0	0.0	0.0
CalimA	ACA	T	P	0.0	0.360114861697	0.166666666667	0.0357142857143	0.690476190476	0.730434782609	0.0260869565217	2247.0	-0.996448052772	12.0	0.0	0.0
CdefoA	ACA	T	P	0.0	0.781859680784	0.0833333333333	0.025641025641	0.666666666667	0.661016949153	0.0254237288136	2247.0	-1.1044634378	12.0	0.0	0.0
CdefoA	ACT	T	P	0.0	0.781859680784	0.0909090909091	0.025641025641	0.666666666667	0.330508474576	0.0254237288136	2247.0	-1.11847209788	13.0	0.0	0.0
CsalmA	ACA	T	P	0.0	0.204225291329	0.1	0.027027027027	0.648648648649	0.336363636364	0.00909090909091	2153.0	-1.0456284153	12.0	0.0	0.0
BcustA	ACA	T	P	0.0	0.25	0.0909090909091	0.016393442623	0.704918032787	0.512605042017	0.00840336134454	2247.0	-1.23130761352	12.0	0.0	0.0
MingeA	ACA	T	P	0.0	0.7	0.1	0.0149253731343	0.746268656716	0.603603603604	0.00900900900901	2249.0	-1.17812105927	12.0	0.0	0.0
