### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	ATT	I	F	0.0	0.77272719426	0.0909090909091	0.0192307692308	0.653846153846	0.426229508197	0.00819672131148	1784.0	-0.0583941605839	5.0	0.0
Andalucia	ATT	I	F	0.0	0.773038229376	0.181818181818	0.0253164556962	0.582278481013	0.663865546218	0.0168067226891	1783.0	-0.0388476647752	5.0	0.0
Seculomonas	ATC	I	F	0.0	0.313333294205	0.111111111111	0.037037037037	0.592592592593	0.201492537313	0.00746268656716	1784.0	0.116517285531	7.0	0.0
Schistosoma	ATT	I	F	0.0	0.491571375364	0.363636363636	0.0967741935484	0.225806451613	0.427586206897	0.0827586206897	1688.0	-0.0765840220386	5.0	0.0
Schistosoma	ATA	I	F	0.0	0.491571375364	0.5	0.08	0.32	0.51724137931	0.0827586206897	1688.0	-0.159287996349	4.0	0.0
Fasciola	ATT	I	F	1.0	0.634072106988	0.454545454545	0.138461538462	0.323076923077	0.70652173913	0.108695652174	1701.0	0.0429252782194	5.0	0.0
Fasciola	ATA	I	F	1.0	0.634072106988	0.142857142857	0.0454545454545	0.272727272727	0.239130434783	0.108695652174	1701.0	-0.558685446009	4.0	0.0
Patiria	ATA	I	F	0.0	0.56767279618	0.0833333333333	0.0294117647059	0.514705882353	0.511278195489	0.015037593985	1784.0	0.0729376257545	4.0	0.0
Lumbricus	ATT	I	F	0.0	0.0453819716477	0.25	0.0379746835443	0.620253164557	0.464705882353	0.0529411764706	1781.0	0.0226975120035	5.0	0.0
Lumbricus	ATC	I	F	0.0	0.0453819716477	0.272727272727	0.0731707317073	0.512195121951	0.241176470588	0.0529411764706	1781.0	-0.0208507089241	7.0	0.0
Lumbricus	ATA	I	F	0.0	0.0453819716477	0.2	0.06	0.12	0.294117647059	0.0529411764706	1781.0	0.154109589041	4.0	0.0
Halocynthia	ATT	I	F	0.0	0.00553586028778	0.0909090909091	0.0135135135135	0.594594594595	0.611570247934	0.0495867768595	1746.0	-0.340475081509	5.0	0.0
Halocynthia	ATC	I	F	0.0	0.00553586028778	0.2	0.125	0.75	0.0661157024793	0.0495867768595	1746.0	0.416309012876	7.0	0.0
Halocynthia	ATA	I	F	0.0	0.00553586028778	0.444444444444	0.102564102564	0.25641025641	0.322314049587	0.0495867768595	1746.0	0.318980667838	4.0	0.0
Limulus	ATT	I	F	0.0	0.0575874013217	0.0833333333333	0.02	0.58	0.515463917526	0.0257731958763	1781.0	-0.0882150241213	5.0	0.0
