### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
LmeyeA	TTC	F	Y	0.0	0.786961931072	0.166666666667	0.02	0.9	0.431034482759	0.0258620689655	1429.0	2.83910001891	23.0	0.0	0.0
LmeyeA	TTT	F	Y	0.0	0.786961931072	0.333333333333	0.030303030303	0.909090909091	0.568965517241	0.0258620689655	1429.0	2.83957453009	21.0	0.0	0.0
SpombA	TTC	F	Y	1.0	0.315887240754	0.571428571429	0.0789473684211	0.684210526316	0.638655462185	0.0588235294118	1424.0	2.48496666247	23.0	0.0	0.0
SpombA	TTT	F	Y	1.0	0.315887240754	0.166666666667	0.0232558139535	0.651162790698	0.361344537815	0.0588235294118	1424.0	1.83819274427	21.0	0.0	0.0
WmucoA	TTC	F	Y	1.0	0.860075794091	0.375	0.0545454545455	0.854545454545	0.345911949686	0.0566037735849	2246.0	2.74586994728	23.0	0.0	0.0
WmucoA	TTT	F	Y	1.0	0.860075794091	0.307692307692	0.0576923076923	0.826923076923	0.654088050314	0.0566037735849	2246.0	2.79138078902	21.0	0.0	0.0
AacerA	TTC	F	Y	2.0	0.748792270531	0.5	0.0357142857143	0.892857142857	0.56	0.04	630.0	2.82634532849	23.0	0.0	0.015
AacerA	TTT	F	Y	2.0	0.748792270531	0.5	0.0454545454545	0.863636363636	0.44	0.04	630.0	2.69314381271	21.0	0.0	0.015
CgallA	TTC	F	Y	0.0	0.0146975898615	0.153846153846	0.0275229357798	0.825688073394	0.608938547486	0.0614525139665	2247.0	2.47547205617	23.0	0.0	0.0
CgallA	TTT	F	Y	0.0	0.0146975898615	0.538461538462	0.114285714286	0.714285714286	0.391061452514	0.0614525139665	2247.0	2.78039034886	21.0	0.0	0.0
CgigaA	TTC	F	Y	0.0	0.601526717557	0.166666666667	0.0161290322581	0.927419354839	0.898550724638	0.0144927536232	2002.0	2.82745098039	23.0	0.0	0.0
CsantA	TTC	F	Y	0.0	0.0720575902082	0.2	0.1	0.766666666667	0.215827338129	0.0431654676259	2220.0	2.6920700309	23.0	0.0	0.0
CsantA	TTT	F	Y	0.0	0.0720575902082	0.153846153846	0.0275229357798	0.807339449541	0.784172661871	0.0431654676259	2220.0	2.49079754601	21.0	0.0	0.0
CtropB	TTC	F	Y	0.0	0.43105094163	0.307692307692	0.0406504065041	0.918699186992	0.798701298701	0.0324675324675	2250.0	2.98037040198	23.0	0.0	0.0
CtropA	TTC	F	Y	0.0	0.423758218876	0.307692307692	0.0403225806452	0.91935483871	0.805194805195	0.0324675324675	2250.0	3.00296133345	23.0	0.0	0.0
WpijpA	TTC	F	Y	0.0	0.825338834878	0.428571428571	0.041095890411	0.890410958904	0.634782608696	0.0434782608696	1429.0	2.88368738526	23.0	0.0	0.0
WpijpA	TTT	F	Y	0.0	0.825338834878	0.166666666667	0.047619047619	0.880952380952	0.365217391304	0.0434782608696	1429.0	2.79522727273	21.0	0.0	0.0
BarxA	TTC	F	Y	1.0	0.100840336134	1.0	0.117647058824	0.823529411765	0.459459459459	0.0540540540541	434.0	3.05026737968	23.0	0.0	0.116
CoxycA	TTC	F	Y	1.0	0.7	1.0	0.047619047619	0.952380952381	0.6	0.0285714285714	434.0	3.29826839827	23.0	0.0	0.062
CsubhA	TTC	F	Y	0.0	0.567713976165	0.538461538462	0.0680272108844	0.891156462585	0.986577181208	0.0671140939597	2244.0	2.99138617445	23.0	0.0	0.0
CsubhB	TTC	F	Y	0.0	0.567713976165	0.538461538462	0.0680272108844	0.891156462585	0.986577181208	0.0671140939597	2244.0	2.99138617445	23.0	0.0	0.0
OanguA	TTC	F	Y	2.0	0.434559616426	0.25	0.0454545454545	0.833333333333	0.381502890173	0.0635838150289	2248.0	2.65919487649	23.0	0.0	0.0
OanguA	TTT	F	Y	2.0	0.434559616426	0.461538461538	0.0747663551402	0.775700934579	0.618497109827	0.0635838150289	2248.0	2.65819932398	21.0	0.0	0.0
SarboA	TTC	F	Y	0.0	0.0840289953681	0.5	0.0714285714286	0.880952380952	0.368421052632	0.0350877192982	1429.0	3.07652603232	23.0	0.0	0.0
SarboA	TTT	F	Y	0.0	0.0840289953681	0.142857142857	0.0138888888889	0.902777777778	0.631578947368	0.0350877192982	1429.0	2.72191799118	21.0	0.0	0.0
CalaiA	TTC	F	Y	1.0	0.795960936022	0.125	0.0294117647059	0.911764705882	0.239436619718	0.0352112676056	2056.0	2.79541446208	23.0	0.0	0.0
CalaiA	TTT	F	Y	1.0	0.795960936022	0.181818181818	0.037037037037	0.916666666667	0.760563380282	0.0352112676056	2056.0	2.93253060006	21.0	0.0	0.0
KtherA	TTC	F	Y	0.0	0.488429016466	0.166666666667	0.0172413793103	0.896551724138	0.5	0.0344827586207	1429.0	2.79901639344	23.0	0.0	0.0
KtherA	TTT	F	Y	0.0	0.488429016466	0.5	0.051724137931	0.896551724138	0.5	0.0344827586207	1429.0	2.92022509103	21.0	0.0	0.0
CnorvA	TTT	F	Y	2.0	0.473661638481	0.461538461538	0.0546875	0.8515625	0.825806451613	0.0451612903226	2249.0	2.81032887543	21.0	0.0	0.0
CviswA	TTC	F	Y	0.0	0.855837704079	0.153846153846	0.047619047619	0.873015873016	0.403846153846	0.0512820512821	2249.0	2.93658616724	23.0	0.0	0.0
CviswA	TTT	F	Y	0.0	0.855837704079	0.333333333333	0.0537634408602	0.924731182796	0.596153846154	0.0512820512821	2249.0	2.98679867987	21.0	0.0	0.0
MstarA	TTC	F	Y	2.0	0.429105834469	0.25	0.05	0.775	0.239520958084	0.0898203592814	2249.0	2.45834351332	23.0	0.0	0.0
MstarA	TTT	F	Y	2.0	0.429105834469	0.384615384615	0.102362204724	0.763779527559	0.760479041916	0.0898203592814	2249.0	2.86357775294	21.0	0.0	0.0
NbaciA	TTC	F	Y	0.0	0.792435440003	0.166666666667	0.02	0.9	0.423728813559	0.0254237288136	1428.0	2.84977151561	23.0	0.0	0.0
NbaciA	TTT	F	Y	0.0	0.792435440003	0.285714285714	0.0294117647059	0.808823529412	0.576271186441	0.0254237288136	1428.0	2.42130477667	21.0	0.0	0.0
CtetrA	TTC	F	Y	0.0	0.550235886021	0.230769230769	0.0470588235294	0.929411764706	0.555555555556	0.0392156862745	2249.0	3.02548395001	23.0	0.0	0.0
