### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
LmeyeA	GGT	G	H	0.0	0.662036920354	0.142857142857	0.0133333333333	0.96	0.675675675676	0.00900900900901	1429.0	-1.8718666497	41.0	0.0	0.0
KtherA	GGT	G	H	0.0	0.689814707722	0.166666666667	0.0147058823529	0.970588235294	0.612612612613	0.00900900900901	1429.0	-1.87431463518	41.0	0.0	0.0
LanspB	GGT	G	H	0.0	0.680555445266	0.142857142857	0.0142857142857	0.971428571429	0.630630630631	0.00900900900901	1429.0	-1.88096536678	41.0	0.0	0.0
LanspA	GGT	G	H	0.0	0.657407289126	0.142857142857	0.0133333333333	0.973333333333	0.669642857143	0.00892857142857	1429.0	-1.8815806246	41.0	0.0	0.0
LdasiA	GGT	G	H	0.0	0.672897083328	0.142857142857	0.0140845070423	0.971830985915	0.645454545455	0.00909090909091	1429.0	-1.88754208754	41.0	0.0	0.0
LkluyF	GGT	G	H	0.0	0.646788868878	0.142857142857	0.0128205128205	0.974358974359	0.702702702703	0.00900900900901	1429.0	-1.87237420616	41.0	0.0	0.0
LkluyE	GGT	G	H	0.0	0.646788868878	0.142857142857	0.0128205128205	0.974358974359	0.702702702703	0.00900900900901	1429.0	-1.87301587302	41.0	0.0	0.0
LkluyD	GGT	G	H	0.0	0.646788868878	0.142857142857	0.0128205128205	0.974358974359	0.702702702703	0.00900900900901	1429.0	-1.87237932716	41.0	0.0	0.0
LkluyC	GGT	G	H	0.0	0.646788868878	0.142857142857	0.0128205128205	0.974358974359	0.702702702703	0.00900900900901	1429.0	-1.87237420616	41.0	0.0	0.0
LkluyB	GGT	G	H	0.0	0.625	1.0	0.0333333333333	0.966666666667	0.75	0.025	434.0	-1.74461631786	41.0	0.0	0.06
LkluyA	GGT	G	H	0.0	0.646788868878	0.142857142857	0.0128205128205	0.974358974359	0.702702702703	0.00900900900901	1429.0	-1.87237420616	41.0	0.0	0.0
LnothA	GGT	G	H	0.0	0.668224184519	0.142857142857	0.0138888888889	0.972222222222	0.654545454545	0.00909090909091	1429.0	-1.88286736452	41.0	0.0	0.0
