### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability	clad_valid	trans_valid
SpombA	ATT	I	M	0.0	0.738744373317	0.428571428571	0.047619047619	0.642857142857	0.579310344828	0.0344827586207	1424.0	1.18264840183	5.0	0.0	0.0	0	0
SpombA	ATA	I	M	0.0	0.738744373317	0.166666666667	0.0344827586207	0.586206896552	0.2	0.0344827586207	1424.0	1.16179849032	4.0	0.0	0.3	0	1
WmucoA	ATT	I	M	0.0	0.380219744556	0.0769230769231	0.00581395348837	0.813953488372	0.696356275304	0.0080971659919	2246.0	1.07165979054	5.0	0.0	0.0	0	0
WmucoA	ATA	I	M	0.0	0.380219744556	0.166666666667	0.0238095238095	0.642857142857	0.17004048583	0.0080971659919	2246.0	1.06639566396	4.0	0.0	0.252	0	1
CgallA	ATT	I	M	0.0	0.937131190275	0.181818181818	0.0253164556962	0.835443037975	0.372641509434	0.0283018867925	2247.0	1.18836163111	5.0	0.0	0.0	0	0
CgallA	ATC	I	M	0.0	0.937131190275	0.111111111111	0.0222222222222	0.755555555556	0.212264150943	0.0283018867925	2247.0	1.13379073756	7.0	0.0	0.0	0	0
CgallA	ATA	I	M	0.0	0.937131190275	0.230769230769	0.0340909090909	0.738636363636	0.415094339623	0.0283018867925	2247.0	1.17454499494	4.0	0.0	0.322	0	1
CgigaA	ATC	I	M	0.0	0.56725131258	0.0833333333333	0.00649350649351	0.954545454545	0.860335195531	0.00558659217877	2002.0	1.06759664099	7.0	0.0	0.0	0	0
CsantA	ATT	I	M	0.0	0.348610073839	0.0909090909091	0.0263157894737	0.684210526316	0.142857142857	0.015037593985	2220.0	0.981757373062	5.0	0.0	0.0	0	0
CsantA	ATA	I	M	0.0	0.348610073839	0.0769230769231	0.0134529147982	0.650224215247	0.838345864662	0.015037593985	2220.0	1.03108014626	4.0	0.0	0.307	0	1
CtropB	ATT	I	M	0.0	0.242009083549	0.0833333333333	0.0149253731343	0.910447761194	0.292576419214	0.00436681222707	2250.0	1.04112587959	5.0	0.0	0.0	0	0
CtropA	ATT	I	M	0.0	0.244292186207	0.0769230769231	0.0142857142857	0.914285714286	0.305676855895	0.00436681222707	2250.0	1.04151167981	5.0	0.0	0.0	0	0
CoxycA	ATC	I	M	0.0	0.0806451334473	1.0	0.166666666667	0.666666666667	0.133333333333	0.0222222222222	434.0	1.1914893617	7.0	0.0	0.296	0	0
CsubhA	ATC	I	M	0.0	0.578651539921	0.0769230769231	0.00591715976331	0.881656804734	0.836633663366	0.0049504950495	2244.0	1.09468078519	7.0	0.0	0.0	0	0
CsubhB	ATC	I	M	0.0	0.578651539921	0.0769230769231	0.00591715976331	0.881656804734	0.836633663366	0.0049504950495	2244.0	1.09468078519	7.0	0.0	0.0	0	0
OanguA	ATT	I	M	0.0	0.736103804993	0.153846153846	0.0117647058824	0.741176470588	0.708333333333	0.00833333333333	2248.0	1.10864673738	5.0	0.0	0.0	0	0
SarboA	ATT	I	M	0.0	5.46177834535e-09	0.142857142857	0.00854700854701	0.846153846154	0.78	0.0533333333333	1429.0	1.14479601014	5.0	0.0	0.251	0	0
SarboA	ATA	I	M	0.0	5.46177834535e-09	1.0	0.636363636364	0.272727272727	0.0733333333333	0.0533333333333	1429.0	3.23817863398	4.0	1.0	0.939	1	1
CblacA	ATA	I	M	0.0	0.742424153495	1.0	0.05	0.8	0.5	0.025	434.0	1.02141230068	4.0	0.0	0.297	0	1
CnorvA	ATA	I	M	0.0	0.727478811437	0.0769230769231	0.010752688172	0.795698924731	0.732283464567	0.00787401574803	2249.0	1.04991238141	4.0	0.0	0.298	0	1
CviswA	ATT	I	M	0.0	0.807905538398	0.0769230769231	0.0121951219512	0.890243902439	0.334693877551	0.00816326530612	2249.0	1.09925752247	5.0	0.0	0.0	0	0
CviswA	ATA	I	M	0.0	0.807905538398	0.0769230769231	0.00709219858156	0.929078014184	0.575510204082	0.00816326530612	2249.0	1.07107068527	4.0	0.0	0.298	0	1
MstarA	ATT	I	M	0.0	0.50878263146	0.166666666667	0.025641025641	0.782051282051	0.317073170732	0.0162601626016	2249.0	1.16899714329	5.0	0.0	0.0	0	0
MstarA	ATA	I	M	0.0	0.50878263146	0.0909090909091	0.0123456790123	0.746913580247	0.658536585366	0.0162601626016	2249.0	1.14238802049	4.0	0.0	0.47	0	1
NbaciA	ATT	I	M	1.0	1.45396348625e-06	0.142857142857	0.00813008130081	0.837398373984	0.825503355705	0.0335570469799	1428.0	1.11791790229	5.0	0.0	0.257	0	0
NbaciA	ATA	I	M	1.0	1.45396348625e-06	1.0	0.8	0.2	0.0335570469799	0.0335570469799	1428.0	3.61596958175	4.0	1.0	0.944	1	1
