### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	ATT	I	A	0.0	0.472222192237	0.0833333333333	0.0140845070423	0.521126760563	0.446540880503	0.0188679245283	1926.0	-0.740801757276	5.0	0.0
Paracentrotus	ATC	I	A	0.0	0.472222192237	0.125	0.0454545454545	0.545454545455	0.138364779874	0.0188679245283	1926.0	-0.76116838488	7.0	0.0
Paracentrotus	ATA	I	A	0.0	0.472222192237	0.0909090909091	0.0151515151515	0.439393939394	0.415094339623	0.0188679245283	1926.0	-0.772486772487	4.0	0.0
Caenorhabditis	ATT	I	A	0.0	0.0860708047179	0.5	0.051724137931	0.413793103448	0.585858585859	0.0555555555556	1865.0	-0.702861952862	5.0	0.0
Caenorhabditis	ATC	I	A	0.0	0.0860708047179	0.333333333333	0.142857142857	0.285714285714	0.0707070707071	0.0555555555556	1865.0	-0.561181434599	7.0	0.0
Caenorhabditis	ATA	I	A	0.0	0.0860708047179	0.25	0.0441176470588	0.0882352941176	0.343434343434	0.0555555555556	1865.0	-0.671848501979	4.0	0.0
Schistosoma	ATT	I	A	0.0	0.447231827713	0.181818181818	0.0483870967742	0.322580645161	0.421768707483	0.0544217687075	1800.0	-0.675911498909	5.0	0.0
Schistosoma	ATC	I	A	0.0	0.447231827713	0.25	0.2	0.5	0.0680272108844	0.0544217687075	1800.0	-0.0806142034549	7.0	0.0
Schistosoma	ATA	I	A	0.0	0.447231827713	0.25	0.04	0.36	0.510204081633	0.0544217687075	1800.0	-0.596339869281	4.0	0.0
Fasciola	ATT	I	A	0.0	0.294860393588	0.5	0.12	0.346666666667	0.707547169811	0.11320754717	1825.0	-0.296517671518	5.0	0.0
Fasciola	ATC	I	A	0.0	0.294860393588	0.25	0.25	0.0	0.0377358490566	0.11320754717	1825.0	0.138888888889	7.0	0.0
Fasciola	ATA	I	A	0.0	0.294860393588	0.25	0.0740740740741	0.296296296296	0.254716981132	0.11320754717	1825.0	-0.348736462094	4.0	0.0
Patiria	ATC	I	A	0.0	0.389238465092	0.1	0.0294117647059	0.529411764706	0.2125	0.03125	1926.0	-0.62962962963	7.0	0.0
Patiria	ATA	I	A	0.0	0.389238465092	0.25	0.0493827160494	0.444444444444	0.50625	0.03125	1926.0	-0.721486038807	4.0	0.0
Pseudendoclonium_akinetum	ATT	I	A	0.0	0.731578854695	0.0909090909091	0.0126582278481	0.632911392405	0.552447552448	0.00699300699301	1930.0	-0.673524369336	5.0	0.0
Lumbricus	ATA	I	A	0.0	7.3610574512e-05	0.25	0.0547945205479	0.0821917808219	0.35960591133	0.0197044334975	1920.0	-0.642421024688	4.0	0.0
Halocynthia	ATT	I	A	0.0	0.681527484622	0.333333333333	0.0487804878049	0.5	0.594202898551	0.0434782608696	1893.0	-0.59437751004	5.0	0.0
Halocynthia	ATA	I	A	0.0	0.681527484622	0.2	0.0408163265306	0.204081632653	0.355072463768	0.0434782608696	1893.0	-0.861652377241	4.0	0.0
Limulus	ATT	I	A	0.0	0.200080163529	0.0833333333333	0.00900900900901	0.504504504505	0.484716157205	0.00873362445415	1919.0	-0.664556962025	5.0	0.0
Limulus	ATA	I	A	0.0	0.200080163529	0.0769230769231	0.0133333333333	0.133333333333	0.327510917031	0.00873362445415	1919.0	-0.878010471204	4.0	0.0
Axinella	ATT	I	A	0.0	0.776698952031	0.0833333333333	0.0149253731343	0.671641791045	0.462068965517	0.00689655172414	1924.0	-0.751009809579	5.0	0.0
Terebratulina	ATT	I	A	0.0	0.000961941901367	0.0909090909091	0.0161290322581	0.451612903226	0.322916666667	0.0208333333333	1915.0	-0.733250620347	5.0	0.0
Terebratulina	ATA	I	A	0.0	0.000961941901367	0.25	0.051724137931	0.0862068965517	0.302083333333	0.0208333333333	1915.0	-0.633656741385	4.0	0.0
Bfloridae	ATT	I	A	2.0	0.371334284273	0.25	0.046511627907	0.441860465116	0.530864197531	0.037037037037	1192.0	-0.68115942029	5.0	0.0
Bfloridae	ATA	I	A	2.0	0.371334284273	0.166666666667	0.0357142857143	0.107142857143	0.345679012346	0.037037037037	1192.0	-0.667805878332	4.0	0.0
Katharina	ATT	I	A	0.0	0.078377462719	0.181818181818	0.0272727272727	0.590909090909	0.555555555556	0.030303030303	1917.0	-0.756067749258	5.0	0.0
Katharina	ATC	I	A	0.0	0.078377462719	0.1	0.0333333333333	0.4	0.151515151515	0.030303030303	1917.0	-0.758419689119	7.0	0.0
Katharina	ATA	I	A	0.0	0.078377462719	0.2	0.0344827586207	0.120689655172	0.292929292929	0.030303030303	1917.0	-0.67288191037	4.0	0.0
Geodia	ATA	I	A	0.0	0.199440056297	0.0909090909091	0.0285714285714	0.571428571429	0.492957746479	0.0140845070423	1925.0	-0.711538461538	4.0	0.0
Metridium	ATT	I	A	0.0	0.44386523195	0.0833333333333	0.012987012987	0.727272727273	0.620967741935	0.0161290322581	1928.0	-0.782168186424	5.0	0.0
Metridium	ATA	I	A	0.0	0.44386523195	0.1	0.0344827586207	0.551724137931	0.233870967742	0.0161290322581	1928.0	-0.643421052632	4.0	0.0
Acropora	ATT	I	A	0.0	0.814869169113	0.0909090909091	0.0153846153846	0.676923076923	0.537190082645	0.0165289256198	1926.0	-0.611225997046	5.0	0.0
