### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	ATG	M	T	0.0	0.0191949224084	0.166666666667	0.025	0.575	1.0	0.025	1424.0	-0.871204933586	6.0	0.0	0.0
AacerA	ATG	M	T	0.0	0.0152266015904	0.5	0.0322580645161	0.58064516129	1.0	0.0322580645161	630.0	-0.837132573485	6.0	0.0	0.252
CsantA	ATG	M	T	0.0	0.0302213537848	0.0909090909091	0.0172413793103	0.637931034483	1.0	0.0172413793103	2220.0	-0.895136778116	6.0	0.0	0.0
MstarA	ATG	M	T	0.0	0.0317864062763	0.1	0.0178571428571	0.696428571429	1.0	0.0178571428571	2249.0	-0.838387643624	6.0	0.0	0.0
LstarA	ATG	M	T	0.0	0.0325679851222	0.111111111111	0.015873015873	0.634920634921	1.0	0.015873015873	1834.0	-0.881692002644	6.0	0.0	0.0
ScryoA	ATG	M	T	0.0	0.0199866655791	0.166666666667	0.025	0.6	1.0	0.025	1424.0	-0.864229765013	6.0	0.0	0.0
HuvarA	ATG	M	T	0.0	0.00026074901877	0.333333333333	0.037037037037	0.5	1.0	0.037037037037	1361.0	-0.791585646102	6.0	0.0	0.127
CzempA	ATG	M	T	0.0	0.0160215481406	0.142857142857	0.027027027027	0.513513513514	1.0	0.027027027027	1428.0	-0.817409219676	6.0	0.0	0.0
SjapoA	ATG	M	T	0.0	0.0152266015904	0.2	0.0285714285714	0.514285714286	1.0	0.0285714285714	1423.0	-0.887530562347	6.0	0.0	0.0
MmagnB	ATG	M	T	0.0	0.0317864062763	0.0909090909091	0.0175438596491	0.684210526316	1.0	0.0175438596491	2249.0	-0.865129151292	6.0	0.0	0.0
MmagnA	ATG	M	T	0.0	0.0317864062763	0.0909090909091	0.0175438596491	0.684210526316	1.0	0.0175438596491	2249.0	-0.865129151292	6.0	0.0	0.0
MtetrA	ATG	M	T	0.0	0.0310041960006	0.1	0.0172413793103	0.655172413793	1.0	0.0172413793103	2248.0	-0.867098865478	6.0	0.0	0.0
SoctoA	ATG	M	T	0.0	0.0199866655791	0.166666666667	0.0263157894737	0.631578947368	1.0	0.0263157894737	1425.0	-0.910179640719	6.0	0.0	0.0
CsalmA	ATG	M	T	0.0	0.0247237210166	0.111111111111	0.0181818181818	0.545454545455	1.0	0.0181818181818	2153.0	-0.914268585132	6.0	0.0	0.0
BcustA	ATG	M	T	0.0	0.0349089381756	0.0909090909091	0.0161290322581	0.693548387097	1.0	0.0161290322581	2247.0	-0.825534875631	6.0	0.0	0.0
MingeA	ATG	M	T	0.0	0.0317864062763	0.1	0.0181818181818	0.709090909091	1.0	0.0181818181818	2249.0	-0.864781688786	6.0	0.0	0.0
