### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Schistosoma	AAG	K	D	0.0	0.00339920948617	0.1	0.0294117647059	0.588235294118	0.607142857143	0.0714285714286	1800.0	-1.10668229777	2.0	0.0
Schistosoma	AAA	K	D	0.0	0.00339920948617	0.181818181818	0.136363636364	0.0454545454545	0.392857142857	0.0714285714286	1800.0	-0.1227154047	0.0	0.0
Fasciola	AAA	K	D	0.0	0.0454545454545	0.125	0.0909090909091	0.0909090909091	0.255813953488	0.0232558139535	1825.0	0.339416058394	0.0	0.0
Patiria	AAA	K	D	0.0	0.00114942528736	0.2	0.0625	0.0	0.524590163934	0.0327868852459	1926.0	0.0968921389397	0.0	0.0
Halocynthia	AAA	K	D	0.0	0.11	0.25	0.117647058824	0.588235294118	0.395348837209	0.046511627907	1893.0	-0.261336515513	0.0	0.0
Geodia	AAA	K	D	0.0	0.602941176471	0.111111111111	0.0285714285714	0.742857142857	0.813953488372	0.0232558139535	1925.0	-1.0	0.0	0.0
Trichinella	AAA	K	D	0.0	0.330769230769	0.25	0.0869565217391	0.565217391304	0.53488372093	0.046511627907	1883.0	-0.629853321829	0.0	0.0
Bracteacoccus_minor	AAA	K	D	9.0	0.520833333333	0.1	0.0217391304348	0.478260869565	0.741935483871	0.0161290322581	1686.0	-1.23984771574	0.0	0.0
Ciona	AAG	K	D	0.0	0.214285714286	0.166666666667	0.0714285714286	0.357142857143	0.254545454545	0.0363636363636	1891.0	-1.05502063274	2.0	0.0
Ciona	AAA	K	D	0.0	0.214285714286	0.0833333333333	0.0243902439024	0.512195121951	0.745454545455	0.0363636363636	1891.0	-0.772594752187	0.0	0.0
Homo	AAA	K	D	0.0	0.5625	0.111111111111	0.0294117647059	0.794117647059	0.871794871795	0.025641025641	1920.0	-0.832246591583	0.0	0.0

### Alignment improvement:
