### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	AAT	N	Q	2.0	0.511904761905	0.166666666667	0.0172413793103	0.689655172414	0.878787878788	0.0151515151515	1424.0	-0.0980715345311	1.0	0.0	0.0
CtropB	AAC	N	Q	3.0	0.601351351351	0.0909090909091	0.0166666666667	0.966666666667	0.789473684211	0.0131578947368	2250.0	0.0766129032258	3.0	0.0	0.051
CtropA	AAC	N	Q	3.0	0.601351351351	0.0909090909091	0.0166666666667	0.966666666667	0.789473684211	0.0131578947368	2250.0	0.0766129032258	3.0	0.0	0.051
CalaiA	AAT	N	Q	0.0	0.543459174715	0.2	0.0285714285714	0.9	0.958904109589	0.027397260274	2056.0	0.0616172590408	1.0	0.0	0.0
CviswA	AAT	N	Q	0.0	0.541095890411	0.0833333333333	0.0140845070423	0.929577464789	0.922077922078	0.012987012987	2249.0	0.0961975458264	1.0	0.0	0.0
MstarA	AAC	N	Q	0.0	0.0147058823529	0.5	0.5	0.5	0.0246913580247	0.0123456790123	2249.0	2.21153846154	3.0	0.0	0.041
CtetrA	AAT	N	Q	0.0	0.648648648649	0.1	0.0185185185185	0.944444444444	0.710526315789	0.0131578947368	2249.0	0.118290459793	1.0	0.0	0.0
CbohiA	AAT	N	Q	0.0	0.541095890411	0.0833333333333	0.0144927536232	0.95652173913	0.92	0.0133333333333	2250.0	0.0621108343711	1.0	0.0	0.0
LstarA	AAT	N	Q	0.0	0.521276595745	0.125	0.0175438596491	0.771929824561	0.966101694915	0.0169491525424	1834.0	0.054244844882	1.0	0.0	0.0
HuvarA	AAT	N	Q	0.0	0.408799935175	0.333333333333	0.0689655172414	0.586206896552	0.453125	0.046875	1361.0	-0.147828969175	1.0	0.0	0.0
HuvarA	AAC	N	Q	0.0	0.408799935175	0.166666666667	0.0285714285714	0.657142857143	0.546875	0.046875	1361.0	-0.296407185629	3.0	0.0	0.0
CfrijA	AAT	N	Q	0.0	0.561643835616	0.0833333333333	0.0147058823529	0.926470588235	0.883116883117	0.012987012987	2249.0	0.105113186639	1.0	0.0	0.0
SjapoA	AAT	N	Q	0.0	0.5375	0.142857142857	0.0142857142857	0.514285714286	0.958904109589	0.013698630137	1423.0	-0.263597753117	1.0	0.0	0.0
MmagnB	AAC	N	Q	0.0	0.55	0.0833333333333	0.0135135135135	0.837837837838	0.913580246914	0.0123456790123	2249.0	-0.0305765870705	3.0	0.0	0.0
MmagnA	AAC	N	Q	0.0	0.542857142857	0.0833333333333	0.0135135135135	0.851351351351	0.913580246914	0.0123456790123	2249.0	-0.00728969237498	3.0	0.0	0.0
MtetrA	AAC	N	Q	0.0	0.0571922491529	0.0833333333333	0.0123456790123	0.83950617284	1.0	0.0123456790123	2248.0	-0.0351319103805	3.0	0.0	0.0
CsaraA	AAT	N	Q	0.0	0.547945205479	0.0833333333333	0.0140845070423	0.915492957746	0.910256410256	0.0128205128205	2249.0	0.00194785735691	1.0	0.0	0.0
SoctoA	AAT	N	Q	0.0	0.585365853659	0.166666666667	0.0188679245283	0.622641509434	0.815384615385	0.0153846153846	1425.0	-0.102726123849	1.0	0.0	0.0
CbuenA	AAT	N	Q	0.0	0.585714285714	0.1	0.0166666666667	0.95	0.833333333333	0.0138888888889	2248.0	0.0628828828829	1.0	0.0	0.0
SpastA	AAT	N	Q	0.0	0.56	0.142857142857	0.0217391304348	0.934782608696	0.851851851852	0.0185185185185	1429.0	0.0608066184074	1.0	0.0	0.0
CsalmA	AAT	N	Q	0.0	0.568295739348	0.2	0.0266666666667	0.68	0.949367088608	0.0253164556962	2153.0	-0.0798068730474	1.0	0.0	0.0
MingeA	AAT	N	Q	0.0	0.535714285714	0.0833333333333	0.0125	0.8	0.941176470588	0.0117647058824	2249.0	-0.0636375893218	1.0	0.0	0.0
CmaltA	AAT	N	Q	0.0	0.5625	0.0833333333333	0.0153846153846	0.953846153846	0.878378378378	0.0135135135135	2250.0	0.0703715882933	1.0	0.0	0.0
