### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
LmeyeA	TAT	Y	W	0.0	0.590277777778	0.166666666667	0.016393442623	0.950819672131	0.824324324324	0.0135135135135	1429.0	1.93484419263	17.0	0.0	0.0
SpombA	TAT	Y	W	0.0	0.631578947368	0.166666666667	0.0181818181818	0.745454545455	0.763888888889	0.0138888888889	1424.0	1.35267309378	17.0	0.0	0.0
WmucoA	TAT	Y	W	0.0	0.227941176471	0.0833333333333	0.00833333333333	0.866666666667	0.779220779221	0.012987012987	2246.0	1.71610751422	17.0	0.0	0.0
WmucoA	TAC	Y	W	0.0	0.227941176471	0.142857142857	0.0294117647059	0.882352941176	0.220779220779	0.012987012987	2246.0	1.95647093193	19.0	0.0	0.0
AacerA	TAT	Y	W	0.0	0.516129032258	0.5	0.03125	0.90625	0.969696969697	0.030303030303	630.0	1.99182958856	17.0	0.0	0.037
CgallA	TAT	Y	W	0.0	0.678102737158	0.153846153846	0.0178571428571	0.892857142857	0.805755395683	0.0143884892086	2247.0	1.72121658598	17.0	0.0	0.0
CgigaA	TAC	Y	W	0.0	0.612	0.0833333333333	0.01	0.96	0.763358778626	0.00763358778626	2002.0	1.93373231774	19.0	0.0	0.0
CsantA	TAT	Y	W	0.0	0.625925925926	0.0769230769231	0.00833333333333	0.833333333333	0.740740740741	0.00617283950617	2220.0	1.54249237805	17.0	0.0	0.0
CtropB	TAT	Y	W	0.0	0.224137931035	0.0833333333333	0.0144927536232	0.927536231884	0.46	0.00666666666667	2250.0	1.89272030651	17.0	0.0	0.0
CtropA	TAT	Y	W	0.0	0.220689655172	0.0833333333333	0.0147058823529	0.926470588235	0.453333333333	0.00666666666667	2250.0	1.89772727273	17.0	0.0	0.0
WpijpA	TAT	Y	W	0.0	0.758998435055	0.166666666667	0.03125	0.84375	0.4	0.025	1429.0	1.89207772795	17.0	0.0	0.0
WpijpA	TAC	Y	W	0.0	0.758998435055	0.142857142857	0.0208333333333	0.895833333333	0.6	0.025	1429.0	1.88023952096	19.0	0.0	0.0
OanguA	TAT	Y	W	0.0	0.692134565269	0.25	0.0241935483871	0.903225806452	0.861111111111	0.0208333333333	2248.0	1.94755961252	17.0	0.0	0.0
SarboA	TAT	Y	W	0.0	0.580399061033	0.285714285714	0.0289855072464	0.927536231884	0.92	0.0266666666667	1429.0	1.94526257294	17.0	0.0	0.0
CalaiA	TAT	Y	W	0.0	0.525735294118	0.0909090909091	0.00751879699248	0.962406015038	0.943262411348	0.00709219858156	2056.0	1.88896678643	17.0	0.0	0.0
KtherA	TAT	Y	W	0.0	0.640845070423	0.166666666667	0.0185185185185	0.925925925926	0.72972972973	0.0135135135135	1429.0	1.95157857396	17.0	0.0	0.0
CnorvA	TAT	Y	W	0.0	0.53595963933	0.0769230769231	0.0134228187919	0.872483221477	0.967532467532	0.012987012987	2249.0	1.78667481663	17.0	0.0	0.0
CviswA	TAT	Y	W	0.0	0.535211267606	0.0769230769231	0.00724637681159	0.949275362319	0.932432432432	0.00675675675676	2249.0	1.89092575619	17.0	0.0	0.0
NbaciA	TAT	Y	W	0.0	0.651826484018	0.285714285714	0.0307692307692	0.907692307692	0.844155844156	0.025974025974	1428.0	1.96418570376	17.0	0.0	0.0
CbohiA	TAT	Y	W	0.0	0.507092198582	0.0769230769231	0.00689655172414	0.951724137931	0.986394557823	0.00680272108844	2250.0	1.87905856766	17.0	0.0	0.0
CcastA	TAT	Y	W	0.0	0.582608695652	0.285714285714	0.0298507462687	0.925373134328	0.917808219178	0.027397260274	1428.0	1.9629099241	17.0	0.0	0.0
LanspB	TAT	Y	W	0.0	0.604166666667	0.166666666667	0.0169491525424	0.949152542373	0.797297297297	0.0135135135135	1429.0	1.94864688621	17.0	0.0	0.0
CphanA	TAT	Y	W	0.0	0.624446358268	0.166666666667	0.0161290322581	0.879032258065	0.87323943662	0.0140845070423	2247.0	1.67567311339	17.0	0.0	0.0
LanspA	TAT	Y	W	0.0	0.590277777778	0.166666666667	0.016393442623	0.950819672131	0.824324324324	0.0135135135135	1429.0	1.8853413023	17.0	0.0	0.0
CsojaA	TAT	Y	W	0.0	0.551020408163	0.125	0.0111111111111	0.966666666667	0.9	0.01	1498.0	1.87173770492	17.0	0.0	0.0
CglabA	TAT	Y	W	0.0	0.542857142857	0.142857142857	0.0140845070423	0.887323943662	0.922077922078	0.012987012987	1413.0	1.8199648316	17.0	0.0	0.0
ScryoA	TAC	Y	W	0.0	0.178571428571	0.25	0.037037037037	0.703703703704	0.369863013699	0.013698630137	1424.0	1.61970338983	19.0	0.0	0.0
CneerA	TAT	Y	W	0.0	0.524137931034	0.0769230769231	0.00694444444444	0.951388888889	0.953642384106	0.00662251655629	2249.0	1.85285476058	17.0	0.0	0.0
HuvarA	TAC	Y	W	0.0	0.615384615385	0.166666666667	0.0212765957447	0.829787234043	0.746031746032	0.015873015873	1361.0	1.66626041032	19.0	0.0	0.0
KlactA	TAT	Y	W	0.0	0.571428571429	0.142857142857	0.015873015873	0.936507936508	0.86301369863	0.013698630137	1408.0	1.92793066748	17.0	0.0	0.0
CzempA	TAT	Y	W	0.0	0.0224937390713	0.333333333333	0.0365853658537	0.780487804878	1.0	0.0365853658537	1428.0	1.7486843644	17.0	0.0	0.0
CfrijA	TAT	Y	W	0.0	0.527210884354	0.0769230769231	0.00689655172414	0.951724137931	0.947712418301	0.00653594771242	2249.0	1.85226552598	17.0	0.0	0.0
PpastA	TAT	Y	W	0.0	0.565144203793	0.166666666667	0.015037593985	0.924812030075	0.93661971831	0.0140845070423	2248.0	1.83766623767	17.0	0.0	0.0
SjapoA	TAT	Y	W	0.0	0.54	0.166666666667	0.0161290322581	0.725806451613	0.925373134328	0.0149253731343	1423.0	1.36754915622	17.0	0.0	0.0
MmagnB	TAT	Y	W	0.0	0.109022556391	0.111111111111	0.030303030303	0.848484848485	0.222972972973	0.00675675675676	2249.0	1.86978832585	17.0	0.0	0.0
MmagnA	TAT	Y	W	0.0	0.093984962406	0.111111111111	0.0344827586207	0.827586206897	0.195945945946	0.00675675675676	2249.0	1.89032975176	17.0	0.0	0.0
MtetrA	TAC	Y	W	0.0	0.582554133858	0.153846153846	0.0147058823529	0.845588235294	0.925170068027	0.0136054421769	2248.0	1.65876389797	19.0	0.0	0.0
CsaraA	TAT	Y	W	0.0	0.0902777777778	0.0769230769231	0.00729927007299	0.948905109489	0.913333333333	0.0133333333333	2249.0	1.88741388002	17.0	0.0	0.0
CsaraA	TAC	Y	W	0.0	0.0902777777778	0.142857142857	0.0769230769231	0.923076923077	0.0866666666667	0.0133333333333	2249.0	2.6655817738	19.0	0.0	0.0
CsuavA	TAT	Y	W	0.0	0.696895424837	0.0833333333333	0.0166666666667	0.866666666667	0.794701986755	0.0132450331126	2250.0	1.81694848604	17.0	0.0	0.0
PkluyA	TAT	Y	W	0.0	0.680597014925	0.166666666667	0.017094017094	0.905982905983	0.8125	0.0138888888889	2247.0	1.80807379488	17.0	0.0	0.0
PcanaA	TAT	Y	W	0.0	0.578441127695	0.0833333333333	0.0142857142857	0.871428571429	0.927152317881	0.0132450331126	2250.0	1.7816167419	17.0	0.0	0.0
