### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	AGT	S	Q	2.0	0.874773096511	0.166666666667	0.0322580645161	0.548387096774	0.298076923077	0.0192307692308	1424.0	-0.354115479115	9.0	0.0	0.0
SpombA	TCA	S	Q	2.0	0.874773096511	0.166666666667	0.0243902439024	0.536585365854	0.394230769231	0.0192307692308	1424.0	-0.339828346091	28.0	0.0	0.0
CsantA	AGT	S	Q	0.0	0.778225729883	0.0909090909091	0.0128205128205	0.692307692308	0.440677966102	0.00564971751412	2220.0	-0.322656135732	9.0	0.0	0.0
OanguA	AGT	S	Q	0.0	0.132653027169	0.1	0.025	0.7	0.228571428571	0.00571428571429	2248.0	-0.271336080047	9.0	0.0	0.0
MstarA	TCT	S	Q	0.0	0.122302121016	0.0909090909091	0.025	0.725	0.216216216216	0.00540540540541	2249.0	-0.290174966353	29.0	0.0	0.0
ScryoA	AGT	S	Q	1.0	0.647977437412	0.166666666667	0.0322580645161	0.451612903226	0.292452830189	0.0188679245283	1424.0	-0.368083154998	9.0	0.0	0.0
ScryoA	TCA	S	Q	1.0	0.647977437412	0.166666666667	0.027027027027	0.648648648649	0.349056603774	0.0188679245283	1424.0	-0.254967741935	28.0	0.0	0.0
CzempA	TCA	S	Q	0.0	0.83064510282	0.166666666667	0.0263157894737	0.526315789474	0.345454545455	0.00909090909091	1428.0	-0.332501248128	28.0	0.0	0.0
SjapoA	TCT	S	Q	0.0	0.680327758484	0.142857142857	0.016393442623	0.622950819672	0.586538461538	0.00961538461538	1423.0	-0.408204648261	29.0	0.0	0.0
MmagnB	TCA	S	Q	0.0	0.273722583635	0.0909090909091	0.0192307692308	0.653846153846	0.295454545455	0.00568181818182	2249.0	-0.313183649971	28.0	0.0	0.0
MmagnA	TCA	S	Q	0.0	0.266423313562	0.0909090909091	0.0192307692308	0.653846153846	0.295454545455	0.00568181818182	2249.0	-0.313183649971	28.0	0.0	0.0
CparaC	TCA	S	Q	15.0	0.162721843439	0.1	0.0192307692308	0.923076923077	0.297142857143	0.00571428571429	2250.0	-0.00935162094763	28.0	0.0	0.056
CparaB	TCA	S	Q	15.0	0.162721843439	0.1	0.0192307692308	0.923076923077	0.295454545455	0.00568181818182	2250.0	-0.00935162094763	28.0	0.0	0.056
CparaE	TCA	S	Q	16.0	0.162721843439	0.1	0.0192307692308	0.923076923077	0.297142857143	0.00571428571429	2250.0	-0.00935162094763	28.0	0.0	0.056
CparaD	TCA	S	Q	15.0	0.162721843439	0.1	0.0192307692308	0.923076923077	0.295454545455	0.00568181818182	2250.0	-0.00935162094763	28.0	0.0	0.056
CparaF	TCA	S	Q	16.0	0.162721843439	0.1	0.0192307692308	0.923076923077	0.297142857143	0.00571428571429	2250.0	-0.00935162094763	28.0	0.0	0.056
MtetrA	TCT	S	Q	0.0	0.298507434345	0.111111111111	0.04	0.84	0.147058823529	0.00588235294118	2248.0	0.0221914008322	29.0	0.0	0.0
PkluyA	AGT	S	Q	0.0	0.171428529505	0.0909090909091	0.0217391304348	0.717391304348	0.262857142857	0.00571428571429	2247.0	-0.274011299435	9.0	0.0	0.0
SoctoA	TCA	S	Q	0.0	0.419354777455	0.166666666667	0.0285714285714	0.6	0.330188679245	0.00943396226415	1425.0	-0.266503667482	28.0	0.0	0.0
BcustA	TCT	S	Q	0.0	0.172415684796	0.111111111111	0.037037037037	0.814814814815	0.155172413793	0.0114942528736	2247.0	-0.146150500217	29.0	0.0	0.0
BcustA	AGT	S	Q	0.0	0.172415684796	0.0909090909091	0.0212765957447	0.68085106383	0.270114942529	0.0114942528736	2247.0	-0.329878665319	9.0	0.0	0.0
MingeA	TCA	S	Q	0.0	0.402877630778	0.0833333333333	0.013698630137	0.72602739726	0.394594594595	0.00540540540541	2249.0	-0.316766638103	28.0	0.0	0.0
