### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Fasciola	TTT	F	N	0.0	0.514285714286	0.0909090909091	0.00769230769231	0.515384615385	0.970149253731	0.00746268656716	1332.0	-2.56524306239	21.0	0.0	0.0
Trichobilharzia_regenti	TTT	F	N	0.0	0.521739130435	0.0833333333333	0.00862068965517	0.560344827586	0.95867768595	0.00826446280992	1324.0	-2.59779249448	21.0	0.0	0.0
Versteria_mustelae	TTT	F	N	0.0	0.541079812207	0.272727272727	0.0245901639344	0.549180327869	0.968253968254	0.0238095238095	1328.0	-2.54193819634	21.0	0.0	0.0
Haplorchis_taichui	TTT	F	N	0.0	0.601165501166	0.181818181818	0.0194174757282	0.553398058252	0.887931034483	0.0172413793103	1320.0	-2.59775840598	21.0	0.0	0.0
Halocynthia	TTT	F	N	3.0	0.514423076923	0.0909090909091	0.00729927007299	0.729927007299	0.971631205674	0.00709219858156	1348.0	-2.76118285607	21.0	0.0	0.051
Echinococcus_equinus	TTT	F	N	0.0	5.14378894265e-06	0.25	0.0225563909774	0.541353383459	0.985185185185	0.0222222222222	1331.0	-2.57035466461	21.0	0.0	0.096
Taenia_crassiceps	TTT	F	N	0.0	0.559152474392	0.25	0.0227272727273	0.515151515152	0.95652173913	0.0217391304348	1333.0	-2.50718167702	21.0	0.0	0.0
Tetrancistrum_nebulosi	TTC	F	N	0.0	0.0704225352113	0.142857142857	0.0625	0.5625	0.129032258065	0.00806451612903	1333.0	-2.52875399361	23.0	0.0	0.0
Pseudogarypus_banksi	TTT	F	N	6.0	0.565656565657	0.0909090909091	0.00943396226415	0.801886792453	0.84126984127	0.00793650793651	1347.0	-2.77141470517	21.0	0.0	0.051
Benedenia_hoshinai	TTT	F	N	0.0	0.542857142857	0.0833333333333	0.00909090909091	0.572727272727	0.916666666667	0.00833333333333	1333.0	-2.64982537835	21.0	0.0	0.0
