### Random Forest prediction
genome	codon	ori_aa	rea_aa	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Mesostigma_viride	TAT	Y	T	0.575187969925	0.0625	0.00751879699248	0.842105263158	0.852564102564	0.00641025641026	3748.0	-1.82663537694	17.0	0
Dunaliella_salina	TAT	Y	T	0.391341991342	0.285714285714	0.0491803278689	0.573770491803	0.709302325581	0.0348837209302	1954.0	-1.40142942228	17.0	0
Pseudendoclonium_akinetum	TAC	Y	T	0.0272748241264	0.133333333333	0.0526315789474	0.736842105263	0.363057324841	0.0191082802548	3709.0	-1.53653585927	19.0	0
Polytoma_uvella	TAT	Y	T	0.337218045113	0.166666666667	0.0555555555556	0.666666666667	0.222222222222	0.037037037037	1951.0	-1.30528375734	17.0	0
Polytoma_uvella	TAC	Y	T	0.337218045113	0.142857142857	0.031746031746	0.666666666667	0.777777777778	0.037037037037	1951.0	-1.61416861827	19.0	0
Prototheca_wickerhamii	TAT	Y	T	0.618339407072	0.133333333333	0.0135135135135	0.831081081081	0.860465116279	0.0116279069767	3819.0	-1.74881765633	17.0	0
Chlorokybus_atmophyticus	TAC	Y	T	0.126712328767	0.0666666666667	0.0243902439024	0.878048780488	0.251533742331	0.00613496932515	3866.0	-1.75171736997	19.0	0
Chlamydomonas_reinhardtii	TAC	Y	T	0.760374050263	0.285714285714	0.0392156862745	0.764705882353	0.671052631579	0.0263157894737	1935.0	-1.61720430108	19.0	0
Bracteacoccus_minor	TAT	Y	T	0.719696969697	0.0833333333333	0.0181818181818	0.654545454545	0.561224489796	0.0102040816327	2519.0	-1.71043538355	17.0	0
Chromochloris_zofingiensis	TAT	Y	T	0.544642857143	0.0833333333333	0.0106382978723	0.531914893617	0.895238095238	0.00952380952381	2378.0	-1.61538461538	17.0	0
Nephroselmis_olivacea	TAT	Y	T	0.643392268505	0.133333333333	0.0141843971631	0.836879432624	0.839285714286	0.0119047619048	3857.0	-1.74930439622	17.0	0

### Alignment improvement:
