### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Metaseiulus_occidentalis	TTC	F	L	0.0	0.0520520894146	0.142857142857	0.0322580645161	0.774193548387	0.22962962963	0.148148148148	1280.0	0.28927680798	23.0	0.0	0.0
Metaseiulus_occidentalis	TTT	F	L	0.0	0.0520520894146	0.7	0.182692307692	0.721153846154	0.77037037037	0.148148148148	1280.0	0.509842519685	21.0	0.0	0.0
Paracentrotus	TTC	F	L	0.0	0.866354514711	0.3	0.0681818181818	0.909090909091	0.338461538462	0.0769230769231	1351.0	0.410421545667	23.0	0.0	0.0
Paracentrotus	TTT	F	L	0.0	0.866354514711	0.416666666667	0.0813953488372	0.895348837209	0.661538461538	0.0769230769231	1351.0	0.343386085399	21.0	0.0	0.0
Aphrocallistes_vastus	TTC	F	L	0.0	0.134614816781	0.111111111111	0.027027027027	0.918918918919	0.310924369748	0.0924369747899	1349.0	0.12193412754	23.0	0.0	0.0
Aphrocallistes_vastus	TTT	F	L	0.0	0.134614816781	0.727272727273	0.121951219512	0.792682926829	0.689075630252	0.0924369747899	1349.0	0.498270983967	21.0	0.0	0.0
Schistosoma	TTC	F	L	0.0	0.172151898734	0.5	0.25	0.5	0.0695652173913	0.121739130435	1325.0	0.535031847134	23.0	0.0	0.0
Schistosoma	TTT	F	L	0.0	0.172151898734	0.545454545455	0.11214953271	0.579439252336	0.930434782609	0.121739130435	1325.0	0.29997600192	21.0	0.0	0.0
Fasciola	TTC	F	L	0.0	0.785164835165	0.5	0.25	0.5	0.0298507462687	0.171641791045	1332.0	0.179487179487	23.0	0.0	0.0
Fasciola	TTT	F	L	0.0	0.785164835165	0.636363636364	0.169230769231	0.515384615385	0.970149253731	0.171641791045	1332.0	0.287148199173	21.0	0.0	0.0
Trichobilharzia_regenti	TTT	F	L	0.0	0.746299483649	0.75	0.146551724138	0.560344827586	0.95867768595	0.140495867769	1324.0	0.318763796909	21.0	0.0	0.0
