### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction	probability
Paracentrotus	GAT	D	E	0.0	0.166666666667	0.25	0.0909090909091	0.909090909091	0.323529411765	0.0294117647059	979.0	2.04453441296	33.0	0.0	0.037
Fasciola	GAT	D	E	0.0	0.000353595715247	0.5	0.0967741935484	0.612903225806	1.0	0.0967741935484	878.0	1.58815426997	33.0	0.0	0.229
Patiria	GAC	D	E	0.0	0.621212121212	0.25	0.04	0.96	0.757575757576	0.030303030303	979.0	1.87135506003	35.0	0.0	0.005
Halocynthia	GAT	D	E	0.0	0.716748768473	0.5	0.111111111111	0.814814814815	0.84375	0.09375	963.0	1.99512195122	33.0	0.0	0.009
Limulus	GAT	D	E	0.0	0.21875	0.25	0.0714285714286	0.928571428571	0.4375	0.03125	979.0	1.9875	33.0	0.0	0.007
Caenorhabditis	GAT	D	E	0.0	0.541666666667	0.25	0.0434782608696	0.913043478261	0.884615384615	0.0384615384615	959.0	1.87804878049	33.0	0.0	0.005
Axinella	GAT	D	E	0.0	0.621212121212	0.25	0.04	0.96	0.757575757576	0.030303030303	977.0	1.96825396825	33.0	0.0	0.005
Katharina	GAT	D	E	0.0	0.633333333333	0.25	0.0454545454545	0.954545454545	0.733333333333	0.0333333333333	976.0	2.04408817635	33.0	0.0	0.005
Geodia	GAT	D	E	0.0	0.606060606061	0.25	0.037037037037	0.925925925926	0.794117647059	0.0294117647059	979.0	1.86655948553	33.0	0.0	0.005
Metridium	GAT	D	E	1.0	0.6875	0.25	0.05	0.95	0.625	0.03125	979.0	2.00871459695	33.0	0.0	0.005
Acropora	GAT	D	E	0.0	0.616666666667	0.25	0.0416666666667	0.916666666667	0.774193548387	0.0322580645161	978.0	1.93829401089	33.0	0.0	0.005
Trichinella	GAC	D	E	0.0	0.319047619048	0.5	0.142857142857	0.785714285714	0.608695652174	0.0869565217391	866.0	2.0125	35.0	0.0	0.009
Drosophila	GAT	D	E	2.0	0.642045454545	0.5	0.0689655172414	0.896551724138	0.852941176471	0.0588235294118	979.0	1.88403614458	33.0	0.0	0.009
Myxine	GAT	D	E	0.0	0.744086021505	0.25	0.0714285714286	0.928571428571	0.424242424242	0.0606060606061	979.0	2.11180124224	33.0	0.0	0.001
Myxine	GAC	D	E	0.0	0.744086021505	0.25	0.0526315789474	0.842105263158	0.575757575758	0.0606060606061	979.0	1.77777777778	35.0	0.0	0.001
Ciona	GAT	D	E	0.0	0.16	0.25	0.0434782608696	0.869565217391	0.851851851852	0.0740740740741	958.0	1.83553875236	33.0	0.0	0.033
Ciona	GAC	D	E	0.0	0.16	0.5	0.25	0.75	0.148148148148	0.0740740740741	958.0	2.55434782609	35.0	0.0	0.06
Homo	GAC	D	E	0.0	0.727956989247	0.5	0.0869565217391	0.913043478261	0.741935483871	0.0645161290323	978.0	2.06902985075	35.0	0.0	0.009
