### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Aphrocallistes_vastus	CAT	H	Q	0.0	0.197916666667	0.142857142857	0.047619047619	0.857142857143	0.411764705882	0.0196078431373	1349.0	0.0574572127139	49.0	0.0	0.0
Schistosoma	CAT	H	Q	0.0	0.529411764706	0.142857142857	0.0277777777778	0.861111111111	0.947368421053	0.0263157894737	1325.0	0.100286532951	49.0	0.0	0.0
Fasciola	CAT	H	Q	0.0	0.515151515152	0.142857142857	0.027027027027	0.837837837838	0.948717948718	0.025641025641	1332.0	0.136585365854	49.0	0.0	0.0
Trichobilharzia_regenti	CAT	H	Q	0.0	0.530303030303	0.142857142857	0.0285714285714	0.857142857143	0.945945945946	0.027027027027	1324.0	0.075624082232	49.0	0.0	0.0
Versteria_mustelae	CAT	H	Q	0.0	0.000537495545219	0.285714285714	0.05	0.8	1.0	0.05	1328.0	0.0870406189555	49.0	0.0	0.03
Haplorchis_taichui	CAT	H	Q	0.0	0.573529411765	0.142857142857	0.030303030303	0.848484848485	0.825	0.025	1320.0	0.0774042220485	49.0	0.0	0.0
Lumbricus	CAC	H	Q	0.0	0.327346938776	0.222222222222	0.0606060606061	0.909090909091	0.647058823529	0.0392156862745	1350.0	0.242038216561	51.0	0.0	0.0
Echinococcus_equinus	CAC	H	Q	0.0	0.0882352941176	0.333333333333	0.333333333333	0.666666666667	0.0769230769231	0.0512820512821	1331.0	1.28813559322	51.0	0.0	0.006
Echinococcus_equinus	CAT	H	Q	0.0	0.0882352941176	0.166666666667	0.0277777777778	0.833333333333	0.923076923077	0.0512820512821	1331.0	0.0336917562724	49.0	0.0	0.0
Taenia_crassiceps	CAT	H	Q	0.0	0.000537495545219	0.285714285714	0.0512820512821	0.820512820513	0.975	0.05	1333.0	0.132760898283	49.0	0.0	0.03
Suberites_domuncula	CAC	H	Q	0.0	0.776134453782	0.142857142857	0.0714285714286	0.928571428571	0.274509803922	0.0588235294118	1351.0	0.227360308285	51.0	0.0	0.0
Suberites_domuncula	CAT	H	Q	0.0	0.776134453782	0.25	0.0540540540541	0.945945945946	0.725490196078	0.0588235294118	1351.0	0.143758765778	49.0	0.0	0.0
Geodia	CAT	H	Q	1.0	0.625	0.125	0.0277777777778	0.972222222222	0.75	0.0208333333333	1350.0	0.0648414985591	49.0	0.0	0.0
Metridium	CAT	H	Q	4.0	0.591836734694	0.125	0.025	0.975	0.816326530612	0.0204081632653	1351.0	0.0456026058632	49.0	0.0	0.051
Tetrancistrum_nebulosi	CAT	H	Q	0.0	0.621212121212	0.142857142857	0.0357142857143	0.857142857143	0.756756756757	0.027027027027	1333.0	0.097516099356	49.0	0.0	0.0
Acropora	CAT	H	Q	4.0	0.571428571429	0.125	0.0238095238095	0.97619047619	0.857142857143	0.0204081632653	1350.0	0.0583488516449	49.0	0.0	0.051
Pseudogarypus_banksi	CAT	H	Q	0.0	0.581395348837	0.125	0.027027027027	0.945945945946	0.840909090909	0.0227272727273	1347.0	0.119915848527	49.0	0.0	0.0
Benedenia_hoshinai	CAT	H	Q	0.0	0.558823529412	0.142857142857	0.0277777777778	0.805555555556	0.9	0.025	1333.0	-0.0150537634409	49.0	0.0	0.0
Epigonichthys	CAT	H	Q	0.0	0.673469387755	0.142857142857	0.03125	0.96875	0.65306122449	0.0204081632653	1351.0	0.0603096984515	49.0	0.0	0.0
Strigamia_maritima	CAC	H	Q	3.0	0.239583333333	0.166666666667	0.0416666666667	0.916666666667	0.489795918367	0.0204081632653	1351.0	-0.0109529025192	51.0	0.0	0.055
Homo	CAC	H	Q	0.0	0.591836734694	0.125	0.0243902439024	0.951219512195	0.82	0.02	1351.0	0.010094637224	51.0	0.0	0.0
