### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Andalucia	GGG	G	P	0.0	0.0738440229529	0.2	0.0909090909091	0.818181818182	0.0632183908046	0.0114942528736	1783.0	-1.36477987421	42.0	0.0
Andalucia	GGA	G	P	0.0	0.0738440229529	0.0833333333333	0.016393442623	0.901639344262	0.350574712644	0.0114942528736	1783.0	-1.83295711061	40.0	0.0
Seculomonas	GGT	G	P	0.0	0.655063172048	0.0833333333333	0.00854700854701	0.923076923077	0.684210526316	0.00584795321637	1784.0	-1.8304180255	41.0	0.0
Schistosoma	GGT	G	P	0.0	0.448614853124	0.181818181818	0.025641025641	0.679487179487	0.595419847328	0.0229007633588	1688.0	-1.66387295986	41.0	0.0
Schistosoma	GGA	G	P	0.0	0.448614853124	0.2	0.0526315789474	0.526315789474	0.145038167939	0.0229007633588	1688.0	-1.40108892922	40.0	0.0
Fasciola	GGT	G	P	0.0	0.781634863018	0.0833333333333	0.0128205128205	0.628205128205	0.549295774648	0.0140845070423	1701.0	-1.85002205558	41.0	0.0
Fasciola	GGG	G	P	0.0	0.781634863018	0.1	0.0181818181818	0.690909090909	0.387323943662	0.0140845070423	1701.0	-1.88707653701	42.0	0.0
Lumbricus	GGG	G	P	0.0	0.903869507994	0.1	0.0196078431373	0.901960784314	0.36170212766	0.0141843971631	1781.0	-1.84604996624	42.0	0.0
Lumbricus	GGA	G	P	0.0	0.903869507994	0.0833333333333	0.0263157894737	0.947368421053	0.269503546099	0.0141843971631	1781.0	-1.77	40.0	0.0
Halocynthia	GGT	G	P	0.0	0.835915032276	0.0909090909091	0.0169491525424	0.728813559322	0.526785714286	0.0178571428571	1746.0	-1.69338794617	41.0	0.0
Halocynthia	GGG	G	P	0.0	0.835915032276	0.1	0.03125	0.78125	0.285714285714	0.0178571428571	1746.0	-1.74252136752	42.0	0.0
Caenorhabditis	GGT	G	P	0.0	0.8592840283	0.166666666667	0.0307692307692	0.846153846154	0.528455284553	0.0162601626016	1755.0	-1.67940552017	41.0	0.0
Axinella	GGG	G	P	0.0	0.740853569065	0.0909090909091	0.0111111111111	0.933333333333	0.520231213873	0.00578034682081	1777.0	-1.8563789152	42.0	0.0
Jbahamiensis	GGT	G	P	0.0	0.494836901638	0.181818181818	0.019801980198	0.881188118812	0.570621468927	0.0112994350282	1784.0	-1.80529755762	41.0	0.0
Bfloridae	GGA	G	P	0.0	0.145296383188	0.222222222222	0.0869565217391	0.869565217391	0.221153846154	0.0192307692308	1085.0	-1.60233918129	40.0	0.0
Katharina	GGT	G	P	0.0	0.557170791814	0.125	0.0344827586207	0.827586206897	0.179012345679	0.0123456790123	1781.0	-1.67928994083	41.0	0.0
Katharina	GGG	G	P	0.0	0.557170791814	0.1	0.0172413793103	0.913793103448	0.358024691358	0.0123456790123	1781.0	-1.81845597105	42.0	0.0
Geodia	GGT	G	P	0.0	0.221212076224	0.0833333333333	0.0217391304348	0.913043478261	0.255555555556	0.00555555555556	1780.0	-1.82908545727	41.0	0.0
Metridium	GGA	G	P	0.0	0.839393883944	0.111111111111	0.0172413793103	0.896551724138	0.327683615819	0.00564971751412	1783.0	-1.81335718545	40.0	0.0
Acropora	GGT	G	P	0.0	0.39221553475	0.1	0.027027027027	0.864864864865	0.2	0.00540540540541	1781.0	-1.79566854991	41.0	0.0
Trichinella	GGT	G	P	0.0	0.00855499591842	0.142857142857	0.03125	0.78125	0.248062015504	0.031007751938	1759.0	-1.67510548523	41.0	0.0
Trichinella	GGG	G	P	0.0	0.00855499591842	0.5	0.176470588235	0.764705882353	0.131782945736	0.031007751938	1759.0	-0.810865191147	42.0	0.0
Reclinomonas	GGT	G	P	0.0	0.168951017652	0.0833333333333	0.00684931506849	0.904109589041	0.853801169591	0.0116959064327	1784.0	-1.84298888626	41.0	0.0
Reclinomonas	GGA	G	P	0.0	0.168951017652	0.1	0.0434782608696	0.95652173913	0.134502923977	0.0116959064327	1784.0	-1.67310549777	40.0	0.0
Drosophila	GGT	G	P	0.0	0.0969094791495	0.1	0.0444444444444	0.888888888889	0.284810126582	0.0126582278481	1783.0	-1.62813688213	41.0	0.0
Jlibera	GGT	G	P	0.0	0.287079029066	0.181818181818	0.030303030303	0.893939393939	0.381502890173	0.0115606936416	1784.0	-1.73193717277	41.0	0.0
Ciona	GGA	G	P	0.0	0.777777701055	0.125	0.0555555555556	0.611111111111	0.473684210526	0.0263157894737	1767.0	-1.44022770398	40.0	0.0
Epigonichthys	GGG	G	P	0.0	0.69204812913	0.181818181818	0.0298507462687	0.925373134328	0.389534883721	0.0116279069767	1783.0	-1.80812757202	42.0	0.0
Blanceolatum	GGG	G	P	0.0	0.524591898334	0.222222222222	0.05	0.9	0.392156862745	0.0196078431373	1083.0	-1.73294018534	42.0	0.0

### Alignment improvement:
