### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Metaseiulus_occidentalis	ATA	I	W	0.0	0.0701754143681	0.1	0.0227272727273	0.159090909091	0.330827067669	0.00751879699248	1280.0	-1.80362361192	4.0	0.0	0.154
Aphrocallistes_vastus	ATA	I	W	0.0	0.696721206767	0.0833333333333	0.010989010989	0.395604395604	0.659420289855	0.00724637681159	1349.0	-2.26897133221	4.0	0.0	0.255
Schistosoma	ATT	I	W	0.0	0.780938757939	0.111111111111	0.0222222222222	0.288888888889	0.441176470588	0.0196078431373	1325.0	-2.19178082192	5.0	0.0	0.0
Schistosoma	ATA	I	W	0.0	0.780938757939	0.0833333333333	0.0192307692308	0.403846153846	0.509803921569	0.0196078431373	1325.0	-2.16	4.0	0.0	0.264
Fasciola	ATT	I	W	0.0	0.620689524214	0.1	0.0222222222222	0.466666666667	0.692307692308	0.0153846153846	1332.0	-2.29638139001	5.0	0.0	0.0
Trichobilharzia_regenti	ATT	I	W	0.0	0.106951871658	0.2	0.0487804878049	0.341463414634	0.482352941176	0.0235294117647	1324.0	-1.929375	5.0	0.0	0.0
Versteria_mustelae	ATT	I	W	0.0	0.739130344716	0.1	0.0232558139535	0.53488372093	0.398148148148	0.00925925925926	1328.0	-2.12934131737	5.0	0.0	0.0
Suberites_domuncula	ATA	I	W	0.0	0.696721311475	0.1	0.0175438596491	0.631578947368	0.612903225806	0.010752688172	1351.0	-2.39928218932	4.0	0.0	0.255
Geodia	ATA	I	W	0.0	0.233333258528	0.1	0.0212765957447	0.531914893617	0.494736842105	0.0105263157895	1350.0	-2.27588075881	4.0	0.0	0.255
Amphimedon_queenslandica	ATA	I	W	0.0	0.720338886497	0.0833333333333	0.0178571428571	0.571428571429	0.595744680851	0.0106382978723	1351.0	-2.33500455789	4.0	0.0	0.255
Trichinella	ATT	I	W	0.0	0.00953045707308	0.0909090909091	0.0243902439024	0.439024390244	0.299270072993	0.036496350365	1343.0	-2.10944340213	5.0	0.0	0.001
Trichinella	ATA	I	W	0.0	0.00953045707308	0.272727272727	0.0714285714286	0.125	0.408759124088	0.036496350365	1343.0	-1.31615278417	4.0	0.0	0.035
Acropora	ATC	I	W	0.0	0.0573770293707	0.142857142857	0.111111111111	0.666666666667	0.103448275862	0.0114942528736	1350.0	-1.65363128492	7.0	0.0	0.0
Pseudogarypus_banksi	ATT	I	W	0.0	0.185245869944	0.0833333333333	0.0106382978723	0.436170212766	0.559523809524	0.0119047619048	1347.0	-2.34805124012	5.0	0.0	0.0
Pseudogarypus_banksi	ATA	I	W	0.0	0.185245869944	0.0909090909091	0.0196078431373	0.137254901961	0.303571428571	0.0119047619048	1347.0	-1.70331325301	4.0	0.0	0.168
Benedenia_hoshinai	ATT	I	W	0.0	0.790635888502	0.2	0.03125	0.328125	0.547008547009	0.025641025641	1333.0	-1.95692431562	5.0	0.0	0.0
Benedenia_hoshinai	ATA	I	W	0.0	0.790635888502	0.1	0.0204081632653	0.367346938776	0.418803418803	0.025641025641	1333.0	-2.20857292211	4.0	0.0	0.12
Ciona	ATT	I	W	0.0	0.131638387065	0.0909090909091	0.0117647058824	0.611764705882	0.607142857143	0.0142857142857	1348.0	-2.31257521059	5.0	0.0	0.0
Ciona	ATA	I	W	0.0	0.131638387065	0.0909090909091	0.0204081632653	0.102040816327	0.35	0.0142857142857	1348.0	-1.80041797283	4.0	0.0	0.192
Caenorhabditis	ATC	I	W	0.0	0.104651142718	0.2	0.1	0.4	0.0840336134454	0.00840336134454	1346.0	-1.25255102041	7.0	0.0	0.0
Ascidiella_aspersa	ATT	I	W	0.0	0.0974310637413	0.0909090909091	0.0147058823529	0.617647058824	0.612612612613	0.018018018018	1350.0	-2.32918082295	5.0	0.0	0.0
Ascidiella_aspersa	ATA	I	W	0.0	0.0974310637413	0.0909090909091	0.0344827586207	0.0689655172414	0.261261261261	0.018018018018	1350.0	-1.64476021314	4.0	0.0	0.182
