### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
CgallA	TCA	S	C	0.0	0.753846068861	0.0833333333333	0.0123456790123	0.777777777778	0.48502994012	0.0059880239521	2247.0	-1.00708103855	28.0	0.0	0.0
CsantA	AGT	S	C	0.0	0.52451609963	0.0909090909091	0.0128205128205	0.692307692308	0.440677966102	0.0112994350282	2220.0	-0.9686997221	9.0	0.0	0.0
CsantA	TCA	S	C	0.0	0.52451609963	0.125	0.0322580645161	0.741935483871	0.175141242938	0.0112994350282	2220.0	-0.777400746522	28.0	0.0	0.0
CtropB	TCA	S	C	0.0	0.819875714209	0.0909090909091	0.0166666666667	0.95	0.352941176471	0.00588235294118	2250.0	-0.819449346982	28.0	0.0	0.0
CtropA	TCA	S	C	0.0	0.816770123075	0.0833333333333	0.016393442623	0.950819672131	0.358823529412	0.00588235294118	2250.0	-0.815013869626	28.0	0.0	0.0
OanguA	TCA	S	C	0.0	0.755101956264	0.0769230769231	0.0119047619048	0.845238095238	0.48	0.00571428571429	2248.0	-0.893800938503	28.0	0.0	0.0
CalaiA	AGT	S	C	0.0	0.435714226528	0.1	0.0185185185185	0.87037037037	0.343949044586	0.00636942675159	2056.0	-0.858765228164	9.0	0.0	0.0
CviswA	TCA	S	C	0.0	0.798780418333	0.0769230769231	0.0147058823529	0.955882352941	0.386363636364	0.00568181818182	2249.0	-0.932871439569	28.0	0.0	0.0
MstarA	TCT	S	C	0.0	0.613360709641	0.0909090909091	0.025	0.725	0.216216216216	0.0108108108108	2249.0	-0.878600269179	29.0	0.0	0.0
MstarA	AGT	S	C	0.0	0.613360709641	0.0833333333333	0.0135135135135	0.756756756757	0.4	0.0108108108108	2249.0	-0.916316736653	9.0	0.0	0.0
CtetrA	TCA	S	C	0.0	0.809815885258	0.0833333333333	0.015625	0.953125	0.363636363636	0.00568181818182	2249.0	-0.877131394183	28.0	0.0	0.0
LstarA	TCT	S	C	0.0	0.806122382043	0.142857142857	0.0188679245283	0.698113207547	0.392592592593	0.00740740740741	1834.0	-0.767362590541	29.0	0.0	0.0
MfariB	AGT	S	C	0.0	0.414110379672	0.0909090909091	0.0196078431373	0.901960784314	0.286516853933	0.00561797752809	2250.0	-0.713274336283	9.0	0.0	0.0
CphanA	TCA	S	C	0.0	0.753846068861	0.0833333333333	0.0117647058824	0.741176470588	0.518292682927	0.00609756097561	2247.0	-0.957872499068	28.0	0.0	0.0
ScryoA	TCA	S	C	0.0	0.798387027167	0.166666666667	0.027027027027	0.648648648649	0.349056603774	0.00943396226415	1424.0	-0.939096774194	28.0	0.0	0.0
CneerA	TCA	S	C	0.0	0.453703645096	0.0909090909091	0.0161290322581	0.870967741935	0.354285714286	0.00571428571429	2249.0	-0.899564080209	28.0	0.0	0.0
HuvarA	TCA	S	C	0.0	0.771428492513	0.166666666667	0.02	0.62	0.47619047619	0.00952380952381	1361.0	-1.02502387775	28.0	0.0	0.0
CfrijA	TCA	S	C	0.0	0.444785215707	0.0833333333333	0.0151515151515	0.848484848485	0.368715083799	0.00558659217877	2249.0	-0.862397160832	28.0	0.0	0.0
PpastA	TCA	S	C	0.0	0.701298598171	0.0769230769231	0.00884955752212	0.805309734513	0.597883597884	0.00529100529101	2248.0	-0.908959398206	28.0	0.0	0.0
SjapoA	TCT	S	C	0.0	0.680327758484	0.142857142857	0.016393442623	0.622950819672	0.586538461538	0.00961538461538	1423.0	-0.981906098893	29.0	0.0	0.0
MmagnB	AGT	S	C	0.0	0.843065639248	0.0909090909091	0.0196078431373	0.823529411765	0.289772727273	0.00568181818182	2249.0	-0.684430742127	9.0	0.0	0.0
MmagnA	AGT	S	C	0.0	0.839416002952	0.0909090909091	0.0188679245283	0.811320754717	0.301136363636	0.00568181818182	2249.0	-0.718973496003	9.0	0.0	0.0
MtetrA	AGT	S	C	0.0	0.667910412978	0.1	0.030303030303	0.787878787879	0.194117647059	0.00588235294118	2248.0	-0.625657894737	9.0	0.0	0.0
CsaraA	TCA	S	C	0.0	0.478787822292	0.0833333333333	0.0178571428571	0.946428571429	0.32	0.00571428571429	2249.0	-0.7510564733	28.0	0.0	0.0
