### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
WmucoA	ATT	I	E	0.0	0.638461413639	0.0769230769231	0.00581395348837	0.813953488372	0.696356275304	0.00404858299595	2246.0	-2.80831482069	5.0	0.0	0.0
OanguA	ATA	I	E	0.0	0.0657142630262	0.1	0.0263157894737	0.578947368421	0.158333333333	0.00416666666667	2248.0	-2.59363177806	4.0	0.0	0.12
CbohiA	ATA	I	E	0.0	0.724056508503	0.0769230769231	0.0077519379845	0.899224806202	0.556034482759	0.00431034482759	2250.0	-2.77921201384	4.0	0.0	0.199
CneerA	ATT	I	E	4.0	0.376712260189	0.0769230769231	0.0103092783505	0.886597938144	0.399176954733	0.00411522633745	2249.0	-2.77695167286	5.0	0.0	0.051
CjiufA	ATA	I	E	0.0	0.10321097354	0.0909090909091	0.0208333333333	0.916666666667	0.206008583691	0.00429184549356	2231.0	-2.73437119922	4.0	0.0	0.173
CmetaB	ATT	I	E	0.0	0.727876012243	0.0769230769231	0.00763358778626	0.931297709924	0.555084745763	0.00423728813559	2250.0	-2.8363461075	5.0	0.0	0.0
CmetaC	ATT	I	E	0.0	0.727876012243	0.0769230769231	0.00763358778626	0.931297709924	0.555084745763	0.00423728813559	2250.0	-2.8363461075	5.0	0.0	0.0
CmetaA	ATT	I	E	0.0	0.727876012243	0.0769230769231	0.00763358778626	0.931297709924	0.555084745763	0.00423728813559	2250.0	-2.8363461075	5.0	0.0	0.0
CmetaF	ATT	I	E	0.0	0.727876012243	0.0769230769231	0.00763358778626	0.931297709924	0.555084745763	0.00423728813559	2250.0	-2.8363461075	5.0	0.0	0.0
CfrijA	ATC	I	E	4.0	0.0477272562492	0.142857142857	0.0434782608696	0.869565217391	0.092	0.004	2249.0	-2.48336933045	7.0	0.0	0.06
CmetaD	ATT	I	E	0.0	0.727876012243	0.0769230769231	0.00763358778626	0.931297709924	0.555084745763	0.00423728813559	2250.0	-2.8363461075	5.0	0.0	0.0
CmetaE	ATT	I	E	0.0	0.727876012243	0.0769230769231	0.00763358778626	0.931297709924	0.555084745763	0.00423728813559	2250.0	-2.8363461075	5.0	0.0	0.0
CalbiE	ATT	I	E	0.0	0.392241333177	0.2	0.03125	0.9375	0.258064516129	0.00806451612903	1183.0	-2.73557251908	5.0	0.0	0.0
CalbiD	ATC	I	E	0.0	0.40533975806	0.111111111111	0.0166666666667	0.933333333333	0.277777777778	0.00462962962963	2058.0	-2.77402826855	7.0	0.0	0.0
CalbiC	ATT	I	E	0.0	0.400900854245	0.1	0.016393442623	0.967213114754	0.262931034483	0.00431034482759	2250.0	-2.79673353453	5.0	0.0	0.0
CalbiB	ATT	I	E	0.0	0.400900854245	0.1	0.016393442623	0.967213114754	0.262931034483	0.00431034482759	2250.0	-2.79673353453	5.0	0.0	0.0
CalbiA	ATT	I	E	0.0	0.135922283169	0.111111111111	0.0175438596491	0.964912280702	0.263888888889	0.00462962962963	2058.0	-2.79533728263	5.0	0.0	0.0
CparaA	ATA	I	E	0.0	0.217277440817	0.111111111111	0.0192307692308	0.961538461538	0.268041237113	0.00515463917526	1816.0	-2.78707224335	4.0	0.0	0.156
CcoryA	ATA	I	E	0.0	0.559748956287	0.0909090909091	0.021978021978	0.923076923077	0.452736318408	0.00995024875622	2250.0	-2.72652642381	4.0	0.0	0.199
CparaC	ATA	I	E	0.0	0.217777730209	0.1	0.015873015873	0.968253968254	0.270386266094	0.00429184549356	2250.0	-2.77293705003	4.0	0.0	0.156
CparaB	ATA	I	E	0.0	0.217777730209	0.1	0.015873015873	0.968253968254	0.270386266094	0.00429184549356	2250.0	-2.77293705003	4.0	0.0	0.156
CparaE	ATA	I	E	0.0	0.217777730209	0.1	0.015873015873	0.968253968254	0.270386266094	0.00429184549356	2250.0	-2.77293705003	4.0	0.0	0.156
CparaD	ATA	I	E	0.0	0.217777730209	0.1	0.015873015873	0.968253968254	0.270386266094	0.00429184549356	2250.0	-2.77293705003	4.0	0.0	0.156
CparaF	ATA	I	E	0.0	0.217777730209	0.1	0.015873015873	0.968253968254	0.270386266094	0.00429184549356	2250.0	-2.77293705003	4.0	0.0	0.156
LelonA	ATT	I	E	0.0	0.804651095346	0.0833333333333	0.0105263157895	0.873684210526	0.405982905983	0.0042735042735	2249.0	-2.79613758428	5.0	0.0	0.0
CchauA	ATT	I	E	1.0	0.831374794896	0.0909090909091	0.0133333333333	0.92	0.373134328358	0.00995024875622	2250.0	-2.80065021428	5.0	0.0	0.0
CchauA	ATA	I	E	1.0	0.831374794896	0.0769230769231	0.0108695652174	0.880434782609	0.457711442786	0.00995024875622	2250.0	-2.75809158475	4.0	0.0	0.199
CbuenA	ATT	I	E	0.0	0.764285632905	0.0833333333333	0.00970873786408	0.95145631068	0.461883408072	0.00448430493274	2248.0	-2.81239874716	5.0	0.0	0.0
CdublA	ATC	I	E	0.0	0.0837320285074	0.125	0.0263157894737	0.894736842105	0.171945701357	0.00452488687783	2058.0	-2.71506999726	7.0	0.0	0.0
CorthB	ATT	I	E	0.0	0.690582852814	0.0769230769231	0.00689655172414	0.944827586207	0.625	0.00431034482759	2250.0	-2.84731703736	5.0	0.0	0.0
