### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	ATT	I	L	0.0	0.696840488482	0.75	0.244444444444	0.688888888889	0.489130434783	0.20652173913	1436.0	2.15900383142	5.0	0.0
Paracentrotus	ATC	I	L	0.0	0.696840488482	0.333333333333	0.166666666667	0.833333333333	0.130434782609	0.20652173913	1436.0	2.02473498233	7.0	0.0
Paracentrotus	ATA	I	L	0.0	0.696840488482	0.363636363636	0.171428571429	0.771428571429	0.380434782609	0.20652173913	1436.0	2.12333736397	4.0	0.0
Schistosoma	ATT	I	L	0.0	0.388632709738	1.0	0.357142857143	0.309523809524	0.42	0.28	1278.0	1.575	5.0	0.0
Schistosoma	ATC	I	L	0.0	0.388632709738	0.333333333333	0.2	0.6	0.05	0.28	1278.0	1.36363636364	7.0	0.0
Schistosoma	ATA	I	L	0.0	0.388632709738	0.8	0.22641509434	0.358490566038	0.53	0.28	1278.0	1.10488958991	4.0	0.0
Fasciola	ATT	I	L	0.0	0.132495253593	0.454545454545	0.133333333333	0.4	0.681818181818	0.181818181818	1341.0	1.12961210974	5.0	0.0
Fasciola	ATC	I	L	0.0	0.132495253593	1.0	1.0	0.0	0.030303030303	0.181818181818	1341.0	2.97916666667	7.0	0.0
Fasciola	ATA	I	L	0.0	0.132495253593	0.5	0.210526315789	0.368421052632	0.287878787879	0.181818181818	1341.0	1.42888888889	4.0	0.0
Patiria	ATT	I	L	0.0	0.135098589167	0.555555555556	0.176470588235	0.705882352941	0.326923076923	0.259615384615	1534.0	2.04911838791	5.0	0.0
Patiria	ATC	I	L	0.0	0.135098589167	0.166666666667	0.125	0.8125	0.153846153846	0.259615384615	1534.0	2.05585106383	7.0	0.0
Patiria	ATA	I	L	0.0	0.135098589167	0.833333333333	0.351851851852	0.611111111111	0.519230769231	0.259615384615	1534.0	2.27861089187	4.0	0.0
Lumbricus	ATT	I	L	0.0	1.28320828277e-05	0.636363636364	0.15873015873	0.746031746032	0.496062992126	0.275590551181	1525.0	1.99382292382	5.0	0.0
Lumbricus	ATC	I	L	0.0	1.28320828277e-05	0.454545454545	0.333333333333	0.545454545455	0.259842519685	0.275590551181	1525.0	2.10180412371	7.0	0.0
Lumbricus	ATA	I	L	0.0	1.28320828277e-05	0.875	0.451612903226	0.129032258065	0.244094488189	0.275590551181	1525.0	1.90495867769	4.0	0.0
