### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	TGT	C	A	0.0	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.375	0.0625	1926.0	0.0696202531646	25.0	0.0
Caenorhabditis	TGT	C	A	0.0	0.00255102040816	0.272727272727	0.153846153846	0.115384615385	0.962962962963	0.148148148148	1865.0	0.0941974378297	25.0	0.0
Schistosoma	TGC	C	A	0.0	0.0787878787879	0.25	0.166666666667	0.333333333333	0.142857142857	0.190476190476	1800.0	-0.25	27.0	0.0
Schistosoma	TGT	C	A	0.0	0.0787878787879	0.5	0.194444444444	0.0277777777778	0.857142857143	0.190476190476	1800.0	0.11013215859	25.0	0.0
Fasciola	TGC	C	A	0.0	0.7	0.333333333333	0.2	0.0	0.0833333333333	0.1	1825.0	0.694980694981	27.0	0.0
Fasciola	TGT	C	A	0.0	0.7	0.25	0.0909090909091	0.0727272727273	0.916666666667	0.1	1825.0	-0.278283012004	25.0	0.0
Dunaliella_salina	TGT	C	A	0.0	0.00595238095238	0.5	0.25	0.125	1.0	0.25	1392.0	0.8325	25.0	0.0
Patiria	TGT	C	A	0.0	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.333333333333	0.0555555555556	1926.0	0.445161290323	25.0	0.0
Pseudendoclonium_akinetum	TGC	C	A	0.0	0.393939393939	0.25	0.2	0.8	0.227272727273	0.181818181818	1930.0	0.456349206349	27.0	0.0
Pseudendoclonium_akinetum	TGT	C	A	0.0	0.393939393939	0.285714285714	0.176470588235	0.176470588235	0.772727272727	0.181818181818	1930.0	0.508379888268	25.0	0.0
Lumbricus	TGT	C	A	0.0	0.107142857143	0.428571428571	0.3	0.1	0.555555555556	0.166666666667	1920.0	0.613725490196	25.0	0.0
Halocynthia	TGT	C	A	0.0	0.00595238095238	0.7	0.285714285714	0.142857142857	0.933333333333	0.266666666667	1893.0	0.639262934089	25.0	0.0
Limulus	TGC	C	A	0.0	0.5	0.25	0.2	0.4	0.263157894737	0.105263157895	1919.0	0.31640625	27.0	0.0
Limulus	TGT	C	A	0.0	0.5	0.166666666667	0.0714285714286	0.142857142857	0.736842105263	0.105263157895	1919.0	-0.283727399166	25.0	0.0
Bracteacoccus_aerius	TGC	C	A	0.0	0.714285714286	0.333333333333	0.166666666667	0.333333333333	0.4	0.266666666667	1789.0	-0.0647249190939	27.0	0.0
Bracteacoccus_aerius	TGT	C	A	0.0	0.714285714286	0.6	0.333333333333	0.222222222222	0.6	0.266666666667	1789.0	0.689277899344	25.0	0.0
Pycnococcus_provasolii	TGT	C	A	4.0	0.708333333333	0.333333333333	0.25	0.625	0.615384615385	0.153846153846	1930.0	0.527315914489	25.0	0.0
Polytoma_uvella	TGC	C	A	0.0	0.125	0.4	0.230769230769	0.0	0.866666666667	0.2	1394.0	0.677224736048	27.0	0.0
Axinella	TGT	C	A	0.0	0.571428571429	0.2	0.1	0.5	0.833333333333	0.0833333333333	1924.0	0.0628683693517	25.0	0.0
Prototheca_wickerhamii	TGT	C	A	1.0	0.0133928571429	0.142857142857	0.0625	0.4375	1.0	0.0625	1924.0	-0.0810488676996	25.0	0.0
Terebratulina	TGC	C	A	0.0	0.1875	0.2	0.111111111111	0.277777777778	0.75	0.125	1915.0	0.0280777537797	27.0	0.0
Terebratulina	TGT	C	A	0.0	0.1875	0.2	0.166666666667	0.0	0.25	0.125	1915.0	0.608280254777	25.0	0.0
Bfloridae	TGC	C	A	2.0	0.75	0.333333333333	0.333333333333	0.666666666667	0.333333333333	0.222222222222	1192.0	0.913043478261	27.0	0.0
Bfloridae	TGT	C	A	2.0	0.75	0.25	0.166666666667	0.0	0.666666666667	0.222222222222	1192.0	0.009375	25.0	0.0
Katharina	TGC	C	A	0.0	0.5	0.166666666667	0.111111111111	0.222222222222	0.473684210526	0.105263157895	1917.0	0.03125	27.0	0.0
Katharina	TGT	C	A	0.0	0.5	0.125	0.1	0.2	0.526315789474	0.105263157895	1917.0	0.25	25.0	0.0
Geodia	TGT	C	A	0.0	0.571428571429	0.142857142857	0.0769230769231	0.384615384615	0.928571428571	0.0714285714286	1925.0	-0.0842105263158	25.0	0.0
Metridium	TGT	C	A	0.0	0.642857142857	0.25	0.142857142857	0.571428571429	0.538461538462	0.0769230769231	1928.0	0.192307692308	25.0	0.0
Chlamydomonas_reinhardtii	TGC	C	A	0.0	0.75	0.333333333333	0.125	0.125	0.666666666667	0.25	1389.0	-0.306791569087	27.0	0.0
Chlamydomonas_reinhardtii	TGT	C	A	0.0	0.75	0.666666666667	0.5	0.0	0.333333333333	0.25	1389.0	1.79	25.0	0.0
Acropora	TGT	C	A	0.0	0.571428571429	0.166666666667	0.0909090909091	0.454545454545	0.916666666667	0.0833333333333	1926.0	0.121951219512	25.0	0.0
Trichinella	TGT	C	A	0.0	0.0107142857143	0.125	0.05	0.2	0.769230769231	0.0384615384615	1883.0	-0.412423625255	25.0	0.0
Bracteacoccus_minor	TGT	C	A	0.0	0.00255102040816	0.428571428571	0.333333333333	0.444444444444	0.5	0.166666666667	1686.0	0.666666666667	25.0	0.0
Chromochloris_zofingiensis	TGT	C	A	0.0	0.214285714286	0.444444444444	0.16	0.08	0.892857142857	0.142857142857	1522.0	-0.0121488230828	25.0	0.0
Balanoglossus	TGC	C	A	0.0	0.732142857143	0.285714285714	0.181818181818	0.272727272727	0.647058823529	0.176470588235	1926.0	0.0690846286701	27.0	0.0
Balanoglossus	TGT	C	A	0.0	0.732142857143	0.2	0.166666666667	0.333333333333	0.352941176471	0.176470588235	1926.0	0.0690789473684	25.0	0.0
Drosophila	TGT	C	A	0.0	0.00446428571429	0.2	0.15	0.25	1.0	0.15	1919.0	0.262230919765	25.0	0.0
Myxine	TGT	C	A	0.0	0.75	0.25	0.125	0.25	0.533333333333	0.0666666666667	1919.0	0.280193236715	25.0	0.0
Ciona	TGC	C	A	0.0	0.2	0.5	0.5	0.0	0.105263157895	0.105263157895	1891.0	1.38461538462	27.0	0.0
Ciona	TGT	C	A	0.0	0.2	0.111111111111	0.0588235294118	0.176470588235	0.894736842105	0.105263157895	1891.0	-0.00231481481481	25.0	0.0
Epigonichthys	TGT	C	A	0.0	0.285714285714	0.25	0.142857142857	0.142857142857	0.736842105263	0.105263157895	1918.0	0.134986225895	25.0	0.0
Daphnia	TGC	C	A	0.0	0.285714285714	0.333333333333	0.285714285714	0.285714285714	0.388888888889	0.166666666667	1916.0	0.775568181818	27.0	0.0
Daphnia	TGT	C	A	0.0	0.285714285714	0.142857142857	0.0909090909091	0.272727272727	0.611111111111	0.166666666667	1916.0	-0.131059245961	25.0	0.0
Homo	TGC	C	A	0.0	0.583333333333	0.142857142857	0.1	0.4	0.833333333333	0.0833333333333	1920.0	0.151750972763	27.0	0.0
Blanceolatum	TGT	C	A	2.0	0.75	0.5	0.285714285714	0.142857142857	0.7	0.2	1187.0	0.448369565217	25.0	0.0
Saccoglossus	TGT	C	A	0.0	0.00765306122449	0.25	0.142857142857	0.357142857143	0.823529411765	0.117647058824	1924.0	0.337931034483	25.0	0.0

### Alignment improvement:
