### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Schistosoma	ATT	I	P	0.0	0.868937718425	0.111111111111	0.0238095238095	0.309523809524	0.42	0.04	1278.0	-2.37	5.0	0.0
Schistosoma	ATA	I	P	0.0	0.868937718425	0.2	0.0566037735849	0.358490566038	0.53	0.04	1278.0	-2.15772870662	4.0	0.0
Fasciola	ATT	I	P	0.0	0.296296296296	0.0909090909091	0.0222222222222	0.4	0.681818181818	0.030303030303	1341.0	-2.35193945128	5.0	0.0
Fasciola	ATA	I	P	0.0	0.296296296296	0.166666666667	0.0526315789474	0.368421052632	0.287878787879	0.030303030303	1341.0	-2.18444444444	4.0	0.0
Halocynthia	ATT	I	P	0.0	0.748392665908	0.2	0.0344827586207	0.689655172414	0.610526315789	0.0210526315789	1418.0	-2.47941176471	5.0	0.0
Limulus	ATA	I	P	0.0	0.0657894509701	0.1	0.0285714285714	0.257142857143	0.257352941176	0.00735294117647	1521.0	-2.50245098039	4.0	0.0
Caenorhabditis	ATT	I	P	0.0	0.383304343926	0.166666666667	0.0238095238095	0.440476190476	0.631578947368	0.0225563909774	1433.0	-2.52373737374	5.0	0.0
Caenorhabditis	ATA	I	P	0.0	0.383304343926	0.0909090909091	0.0243902439024	0.121951219512	0.308270676692	0.0225563909774	1433.0	-2.29989764585	4.0	0.0
Terebratulina	ATT	I	P	0.0	0.272727204723	0.0909090909091	0.0212765957447	0.531914893617	0.356060606061	0.00757575757576	1487.0	-2.59617137648	5.0	0.0
Metridium	ATA	I	P	0.0	0.278571386648	0.0909090909091	0.0357142857143	0.571428571429	0.264150943396	0.00943396226415	1534.0	-2.65846153846	4.0	0.0
Acropora	ATT	I	P	0.0	0.724637586089	0.0833333333333	0.0185185185185	0.685185185185	0.534653465347	0.00990099009901	1532.0	-2.67700875099	5.0	0.0
Trichinella	ATA	I	P	0.0	0.0181818119045	0.25	0.0363636363636	0.127272727273	0.390070921986	0.0141843971631	1259.0	-2.32123552124	4.0	0.0
Drosophila	ATT	I	P	0.0	0.564102413607	0.0909090909091	0.0108695652174	0.728260869565	0.707692307692	0.00769230769231	1523.0	-2.71178637201	5.0	0.0
Myxine	ATT	I	P	0.0	0.779999924044	0.1	0.0204081632653	0.65306122449	0.333333333333	0.00680272108844	1533.0	-2.65968586387	5.0	0.0
Ciona	ATC	I	P	0.0	0.00492216057935	0.2	0.222222222222	0.444444444444	0.0652173913043	0.0217391304348	1411.0	-0.74537037037	7.0	0.0
Ciona	ATA	I	P	0.0	0.00492216057935	0.0909090909091	0.0238095238095	0.214285714286	0.304347826087	0.0217391304348	1411.0	-2.5537525355	4.0	0.0

### Alignment improvement:
