### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	ATG	M	L	0.0	0.0185185185185	0.636363636364	0.19512195122	0.682926829268	1.0	0.19512195122	1784.0	2.16440677966	6.0	0.0
Andalucia	ATG	M	L	0.0	0.0145299145299	0.583333333333	0.229166666667	0.583333333333	1.0	0.229166666667	1783.0	1.91774891775	6.0	0.0
Seculomonas	ATG	M	L	0.0	0.015	0.666666666667	0.229166666667	0.604166666667	1.0	0.229166666667	1784.0	1.97476568133	6.0	0.0
Schistosoma	ATG	M	L	0.0	0.00123456790123	0.818181818182	0.228070175439	0.245614035088	1.0	0.228070175439	1688.0	0.878386514148	6.0	0.0
Fasciola	ATG	M	L	0.0	0.0025641025641	0.8	0.285714285714	0.244897959184	1.0	0.285714285714	1701.0	1.36961130742	6.0	0.0
Patiria	ATG	M	L	0.0	0.0185185185185	0.545454545455	0.19512195122	0.682926829268	1.0	0.19512195122	1784.0	2.19762510602	6.0	0.0
Lumbricus	ATG	M	L	0.0	0.0176470588235	0.333333333333	0.181818181818	0.590909090909	1.0	0.181818181818	1781.0	1.72985781991	6.0	0.0
Halocynthia	ATG	M	L	0.0	0.00175438596491	0.888888888889	0.375	0.416666666667	1.0	0.375	1746.0	1.99134199134	6.0	0.0
Limulus	ATG	M	L	0.0	0.0111111111111	0.333333333333	0.266666666667	0.533333333333	1.0	0.266666666667	1781.0	2.03890160183	6.0	0.0
Caenorhabditis	ATG	M	L	0.0	0.00909090909091	0.625	0.388888888889	0.222222222222	1.0	0.388888888889	1755.0	1.80566037736	6.0	0.0
Axinella	ATG	M	L	0.0	0.0229166666667	0.333333333333	0.121951219512	0.658536585366	1.0	0.121951219512	1777.0	1.9255499154	6.0	0.0
Terebratulina	ATG	M	L	0.0	0.0166666666667	0.375	0.214285714286	0.642857142857	1.0	0.214285714286	1783.0	2.12436548223	6.0	0.0
Jbahamiensis	ATG	M	L	0.0	0.00921985815603	0.75	0.309090909091	0.545454545455	1.0	0.309090909091	1784.0	2.08723135272	6.0	0.0
Bfloridae	ATG	M	L	1.0	0.00909090909091	0.375	0.266666666667	0.466666666667	1.0	0.266666666667	1085.0	1.54147465438	6.0	0.0
Katharina	ATG	M	L	0.0	0.0272727272727	0.2	0.0909090909091	0.909090909091	1.0	0.0909090909091	1781.0	2.14426229508	6.0	0.0
Geodia	ATG	M	L	0.0	0.0287356321839	0.181818181818	0.0571428571429	0.771428571429	1.0	0.0571428571429	1780.0	1.92779426311	6.0	0.0
Metridium	ATG	M	L	0.0	0.0189189189189	0.545454545455	0.177777777778	0.644444444444	1.0	0.177777777778	1783.0	2.03382013836	6.0	0.0
Acropora	ATG	M	L	0.0	0.021568627451	0.5	0.153846153846	0.717948717949	1.0	0.153846153846	1781.0	2.10384959714	6.0	0.0
Trichinella	ATG	M	L	0.0	0.0121212121212	0.714285714286	0.405405405405	0.189189189189	1.0	0.405405405405	1759.0	1.43196347032	6.0	0.0
Balanoglossus	ATG	M	L	0.0	0.0235294117647	0.5	0.125	0.725	1.0	0.125	1784.0	2.1190269331	6.0	0.0
Reclinomonas	ATG	M	L	0.0	0.0133333333333	0.666666666667	0.244897959184	0.571428571429	1.0	0.244897959184	1784.0	1.99223712068	6.0	0.0
Jlibera	ATG	M	L	0.0	0.00952380952381	0.666666666667	0.288461538462	0.519230769231	1.0	0.288461538462	1784.0	2.16389073951	6.0	0.0
Myxine	ATG	M	L	0.0	0.02	0.333333333333	0.166666666667	0.666666666667	1.0	0.166666666667	1783.0	1.90773809524	6.0	0.0
Ciona	ATG	M	L	0.0	0.00952380952381	0.444444444444	0.357142857143	0.642857142857	1.0	0.357142857143	1767.0	2.46	6.0	0.0
Epigonichthys	ATG	M	L	0.0	0.0263157894737	0.222222222222	0.0952380952381	0.809523809524	1.0	0.0952380952381	1783.0	1.88186356073	6.0	0.0
Daphnia	ATG	M	L	0.0	0.02	0.375	0.166666666667	0.666666666667	1.0	0.166666666667	1783.0	2.09126213592	6.0	0.0
Homo	ATG	M	L	0.0	0.0128205128205	0.4	0.222222222222	0.5	1.0	0.222222222222	1782.0	1.85242718447	6.0	0.0
Blanceolatum	ATG	M	L	0.0	0.0142857142857	0.571428571429	0.235294117647	0.588235294118	1.0	0.235294117647	1083.0	2.14343434343	6.0	0.0
Saccoglossus	ATG	M	L	0.0	0.0232323232323	0.4	0.128205128205	0.717948717949	1.0	0.128205128205	1784.0	2.10695187166	6.0	0.0

### Alignment improvement:
