### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SarboA	GAT	D	T	0.0	0.5375	0.2	0.027027027027	0.972972972973	0.925	0.025	1429.0	-0.843693107932	33.0	0.0	0.0
NbaciA	GAT	D	T	0.0	0.0280169828301	0.2	0.027027027027	0.972972972973	1.0	0.027027027027	1428.0	-0.861693861694	33.0	0.0	0.0
LstarA	GAT	D	T	0.0	0.559523809524	0.142857142857	0.025	0.9	0.888888888889	0.0222222222222	1834.0	-0.890924464487	33.0	0.0	0.0
CcastA	GAT	D	T	0.0	0.512820512821	0.2	0.025	0.925	0.975609756098	0.0243902439024	1428.0	-0.857349049796	33.0	0.0	0.0
CglabA	GAT	D	T	0.0	0.0295088523976	0.2	0.025641025641	0.974358974359	1.0	0.025641025641	1413.0	-0.852152521525	33.0	0.0	0.0
HuvarA	GAT	D	T	0.0	0.546875	0.2	0.0263157894737	0.736842105263	0.904761904762	0.0238095238095	1361.0	-0.781763071483	33.0	0.0	0.0
MtetrA	GAC	D	T	6.0	0.583333333333	0.1	0.0208333333333	0.916666666667	0.827586206897	0.0	2248.0	-0.897062225307	35.0	0.0	0.051
AgossB	GAT	D	T	9.0	0.0280169828301	0.2	0.027027027027	0.972972972973	1.0	0.027027027027	1427.0	-0.853664853665	33.0	0.0	0.055
NdelpA	GAT	D	T	0.0	0.0280169828301	0.2	0.027027027027	0.972972972973	1.0	0.027027027027	1412.0	-0.85236985237	33.0	0.0	0.0
SpastA	GAT	D	T	0.0	0.551282051282	0.2	0.0285714285714	0.971428571429	0.897435897436	0.025641025641	1429.0	-0.83734939759	33.0	0.0	0.0
ScereC	GAT	D	T	0.0	0.512820512821	0.2	0.0263157894737	0.973684210526	0.974358974359	0.025641025641	1429.0	-0.84804045512	33.0	0.0	0.0
ScereA	GAT	D	T	0.0	0.512820512821	0.2	0.0263157894737	0.973684210526	0.974358974359	0.025641025641	1429.0	-0.84804045512	33.0	0.0	0.0
ScereD	GAT	D	T	0.0	0.512820512821	0.2	0.0263157894737	0.973684210526	0.974358974359	0.025641025641	1429.0	-0.84804045512	33.0	0.0	0.0
ScereE	GAT	D	T	0.0	0.512820512821	0.2	0.0263157894737	0.973684210526	0.974358974359	0.025641025641	1429.0	-0.84804045512	33.0	0.0	0.0
AgossA	GAT	D	T	9.0	0.0280169828301	0.2	0.027027027027	0.972972972973	1.0	0.027027027027	1427.0	-0.853664853665	33.0	0.0	0.055
ScastA	GAT	D	T	0.0	0.0302539282756	0.2	0.0238095238095	0.928571428571	1.0	0.0238095238095	1426.0	-0.840778923253	33.0	0.0	0.0
