### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	TTA	L	R	0.0	0.616197050589	0.142857142857	0.00636942675159	0.687898089172	0.785	0.005	1424.0	-2.1464835367	20.0	0.0	0.0
LstarA	TTA	L	R	0.0	0.572368273411	0.1	0.00436681222707	0.847161572052	0.857677902622	0.00374531835206	1834.0	-2.08154047885	20.0	0.0	0.0
CphanA	TTA	L	R	0.0	0.522033733285	0.0769230769231	0.003003003003	0.843843843844	0.956896551724	0.00287356321839	2247.0	-2.10338490326	20.0	0.0	0.0
ScryoA	TTA	L	R	0.0	0.666666551582	0.142857142857	0.00735294117647	0.713235294118	0.666666666667	0.00490196078431	1424.0	-2.14500354359	20.0	0.0	0.0
HuvarA	CTA	L	R	0.0	0.0230769204211	0.166666666667	0.0434782608696	0.0434782608696	0.111111111111	0.0048309178744	1361.0	-1.07804674457	52.0	0.0	0.0
SjapoA	TTA	L	R	0.0	0.637681034328	0.142857142857	0.00653594771242	0.647058823529	0.725118483412	0.00473933649289	1423.0	-2.11079723792	20.0	0.0	0.0
YlipoB	TTA	L	R	0.0	0.545918210573	0.0769230769231	0.00315457413249	0.839116719243	0.916184971098	0.0028901734104	2247.0	-2.10274092484	20.0	0.0	0.0
YlipoA	TTA	L	R	0.0	0.545918210573	0.0769230769231	0.00315457413249	0.839116719243	0.916184971098	0.0028901734104	2247.0	-2.10274092484	20.0	0.0	0.0
CalimA	TTA	L	R	0.0	0.53061208284	0.0769230769231	0.00308641975309	0.848765432099	0.936416184971	0.0028901734104	2247.0	-2.09211752926	20.0	0.0	0.0
SoctoA	TTA	L	R	0.0	0.610344693056	0.142857142857	0.0062893081761	0.704402515723	0.787128712871	0.0049504950495	1425.0	-2.14213044268	20.0	0.0	0.0
CdefoA	TTA	L	R	0.0	0.544067639198	0.0769230769231	0.00314465408805	0.842767295597	0.916426512968	0.0028818443804	2247.0	-2.09775119785	20.0	0.0	0.0
