### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction	probability
Schistosoma	ATA	I	F	0.0	0.557560450146	0.4	0.09375	0.5	0.492307692308	0.0461538461538	842.0	0.066401062417	4.0	0.0	0.103
Fasciola	ATT	I	F	0.0	0.769807692308	0.2	0.0571428571429	0.485714285714	0.648148148148	0.0555555555556	878.0	-0.307692307692	5.0	0.0	0.009
Fasciola	ATA	I	F	0.0	0.769807692308	0.2	0.0555555555556	0.333333333333	0.333333333333	0.0555555555556	878.0	-0.261282660333	4.0	0.0	0.163
Lumbricus	ATA	I	F	0.0	0.0399999861898	0.25	0.0714285714286	0.214285714286	0.175	0.0125	977.0	0.196261682243	4.0	0.0	0.401
Halocynthia	ATT	I	F	0.0	0.0618116566355	0.2	0.0212765957447	0.744680851064	0.61038961039	0.0519480519481	963.0	-0.156791248861	5.0	0.0	0.112
Halocynthia	ATA	I	F	0.0	0.0618116566355	0.6	0.12	0.4	0.324675324675	0.0519480519481	963.0	0.502564102564	4.0	0.0	0.285
Caenorhabditis	ATT	I	F	0.0	0.657926711166	0.4	0.0377358490566	0.603773584906	0.6625	0.025	959.0	-0.0676328502415	5.0	0.0	0.005
Terebratulina	ATC	I	F	1.0	0.136734674853	0.2	0.0285714285714	0.742857142857	0.443037974684	0.0253164556962	977.0	-0.0185185185185	7.0	0.0	0.047
Terebratulina	ATA	I	F	1.0	0.136734674853	0.166666666667	0.0588235294118	0.235294117647	0.215189873418	0.0253164556962	977.0	-0.148614609572	4.0	0.0	0.282
Bfloridae	ATT	I	F	0.0	0.0902255545646	0.5	0.0714285714286	0.785714285714	0.583333333333	0.125	321.0	0.174927113703	5.0	0.0	0.082
Bfloridae	ATA	I	F	0.0	0.0902255545646	1.0	0.4	0.4	0.208333333333	0.125	321.0	1.72950819672	4.0	0.0	0.263
Katharina	ATC	I	F	0.0	0.177966081214	0.5	0.125	0.75	0.106666666667	0.0133333333333	976.0	0.724489795918	7.0	0.0	0.049
Metridium	ATA	I	F	0.0	0.284313688257	0.2	0.0588235294118	0.588235294118	0.239436619718	0.0140845070423	979.0	0.175572519084	4.0	0.0	0.261
Acropora	ATA	I	F	0.0	0.264150878254	0.2	0.04	0.76	0.378787878788	0.0151515151515	978.0	0.0545144804089	4.0	0.0	0.278
Trichinella	ATT	I	F	0.0	0.148193489006	0.25	0.0384615384615	0.538461538462	0.247619047619	0.0666666666667	866.0	0.0114942528736	5.0	0.0	0.048
Trichinella	ATC	I	F	0.0	0.148193489006	0.2	0.0571428571429	0.428571428571	0.333333333333	0.0666666666667	866.0	-0.090799031477	7.0	0.0	0.051
Trichinella	ATA	I	F	0.0	0.148193489006	0.4	0.0909090909091	0.159090909091	0.419047619048	0.0666666666667	866.0	0.287657920311	4.0	0.0	0.211
Drosophila	ATA	I	F	0.0	0.00901639146166	0.333333333333	0.0909090909091	0.227272727273	0.247191011236	0.0224719101124	979.0	0.307843137255	4.0	0.0	0.39
Myxine	ATT	I	F	0.0	0.441729295273	0.2	0.0322580645161	0.677419354839	0.303921568627	0.0294117647059	979.0	-0.150704225352	5.0	0.0	0.005
Myxine	ATC	I	F	0.0	0.441729295273	0.2	0.0227272727273	0.590909090909	0.43137254902	0.0294117647059	979.0	-0.00778967867575	7.0	0.0	0.005
Myxine	ATA	I	F	0.0	0.441729295273	0.2	0.037037037037	0.259259259259	0.264705882353	0.0294117647059	979.0	0.252351097179	4.0	0.0	0.222
Ciona	ATA	I	F	0.0	0.0154183332006	0.6	0.0909090909091	0.242424242424	0.340206185567	0.0309278350515	958.0	0.171206225681	4.0	0.0	0.389
Homo	ATC	I	F	1.0	0.0406656807711	0.4	0.0416666666667	0.729166666667	0.510638297872	0.0425531914894	978.0	-0.0115658362989	7.0	0.0	0.136
Homo	ATA	I	F	1.0	0.0406656807711	0.25	0.111111111111	0.277777777778	0.191489361702	0.0425531914894	978.0	0.542372881356	4.0	0.0	0.378
Blanceolatum	ATC	I	F	0.0	0.107894723214	0.5	0.142857142857	0.571428571429	0.291666666667	0.0833333333333	321.0	0.561403508772	7.0	0.0	0.094
Blanceolatum	ATA	I	F	0.0	0.107894723214	0.5	0.25	0.5	0.166666666667	0.0833333333333	321.0	1.02083333333	4.0	0.0	0.267
Epigonichthys	ATA	I	F	0.0	0.00846944656167	0.5	0.111111111111	0.333333333333	0.236842105263	0.0263157894737	978.0	0.386091127098	4.0	0.0	0.419
