### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	GGT	G	E	4.0	0.63829787234	0.142857142857	0.0114942528736	0.770114942529	0.737288135593	0.00847457627119	1424.0	-1.7339550192	41.0	0.0	0.051
CgallA	GGA	G	E	0.0	0.201183368622	0.0769230769231	0.0147058823529	0.897058823529	0.371584699454	0.00546448087432	2247.0	-1.75738048854	40.0	0.0	0.0
CphanA	GGA	G	E	0.0	0.198224852071	0.0769230769231	0.0144927536232	0.95652173913	0.377049180328	0.00546448087432	2247.0	-1.79674675422	40.0	0.0	0.0
ScryoA	GGA	G	E	5.0	0.199999945486	0.142857142857	0.025	0.725	0.34188034188	0.00854700854701	1424.0	-1.50262279447	40.0	0.0	0.055
YlipoB	GGA	G	E	0.0	0.18235288228	0.0833333333333	0.015873015873	0.904761904762	0.342391304348	0.0054347826087	2247.0	-1.73044447985	40.0	0.0	0.0
YlipoA	GGA	G	E	0.0	0.18235288228	0.0833333333333	0.0161290322581	0.91935483871	0.338797814208	0.00546448087432	2247.0	-1.73520350251	40.0	0.0	0.0
CalimA	GGA	G	E	0.0	0.194117584101	0.0833333333333	0.0144927536232	0.884057971014	0.375	0.0054347826087	2247.0	-1.7680335229	40.0	0.0	0.0
SoctoA	GGA	G	E	5.0	0.223958277589	0.166666666667	0.025	0.75	0.34188034188	0.00854700854701	1425.0	-1.60940841055	40.0	0.0	0.055
CdefoA	GGA	G	E	0.0	0.165680420257	0.0909090909091	0.0178571428571	0.910714285714	0.306010928962	0.00546448087432	2247.0	-1.74892627058	40.0	0.0	0.0
BcustA	GGA	G	E	0.0	0.709090808653	0.0909090909091	0.00925925925926	0.87962962963	0.590163934426	0.00546448087432	2247.0	-1.75822464473	40.0	0.0	0.0
